Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0315100000320000139;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0315100000320000139;Подача заявок;Выполнение работ по объекту: «Капитальный ремонт автомобильнойдорогиМ-7  «Волга» Москва -Владимир- Нижний Новгород - Казань  - Уфа, подъезд к г. Пермь, км 371+000- км 378+400, Пермский край»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";11.12.2020;948 516 860,00 ₽;;;;;;;;;;;;;;
№ 0348100006020000066;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000066;Подача заявок;"Оказание услуг по содержанию искусственных дорожных сооружений на сети автомобильныхдорогобщего пользования федерального значения: автомобильнаядорогаМ-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа, на участке км 94+052 - км 340+660,Владимирскаяобласть; автомобильнаядорогаМ-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа, на участке км 340+660 км 399+000, Нижегородская область.";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;174 478 583,81 ₽;;;;;;;;;;;;;;
№ 0348100006020000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000065;Подача заявок;"...  автомобильныхдорогобщего пользования федерального значения:автомобильнаядорогаМ-7 ""Волга"" Москва -Владимир... .Владимируна участке км 0+000 - км 32+239; автомобильнаядорога...  М-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань ... +660; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново -Владимир- Гусь ... +840,Владимирскаяобласть; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново -Владимир...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;51 739 634,32 ₽;;;;;;;;;;;;;;
№ 0336100012520000142;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000142;Работа комиссии;Подготовка проектной документации и выполнение инженерных изысканий. Капитальный ремонт моста через реку Медведица на км 51+500 автомобильнойдорогиР-132 «Золотое кольцо» Ярославль – Кострома – Иваново –Владимир– Гусь-Хрустальный – Рязань – Михайлов – Тула – Калуга – Вязьма – Ржев – Тверь – Углич - Ярославль, Калязин - Кашин - Горицы - Кушалино, Тверская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";09.12.2020;9 363 867,50 ₽;;;;;;;;;;;;;;
№ 0128300005320000202;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128300005320000202;Работа комиссии;Ямочный ремонт автомобильныхдорогпо ул. Интернациональная, ул. Калинина, ул. Курловская, ул. Славнова, пр. Теплицкий, пр. 50 лет Советской Власти, ул. Каховского, ул. Пролетарская г. Гусь-ХрустальныйВладимирскойобласти;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ГУСЬ-ХРУСТАЛЬНЫЙВЛАДИМИРСКОЙОБЛАСТИ;21.12.2020;200 000,00 ₽;;;;;;;;;;;;;;
№ 0128300005320000208;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128300005320000208;Подача заявок;Текущее содержание и ремонт сетей уличного освещения муниципального образования город Гусь-ХрустальныйВладимирскойобласти в феврале, марте 2021 года;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ГУСЬ-ХРУСТАЛЬНЫЙВЛАДИМИРСКОЙОБЛАСТИ;31.12.2020;220 000,00 ₽;;;;;;;;;;;;;;
№ 0315100000320000143;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0315100000320000143;Подача заявок;Выполнение работ по объекту: «Ремонт автомобильнойдорогиМ-7 «Волга» Москва –Владимир– Нижний Новгород – Казань – Уфа, подъезд к г. Пермь, км 477+644 – км 509+867, Пермский край»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";30.12.2020;1 331 692 260,00 ₽;;;;;;;;;;;;;;
№ 0328300032820000729;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0328300032820000729;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения в городеВладимире;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДАВЛАДИМИРА;30.12.2020;3 997 319,61 ₽;;;;;;;;;;;;;;
№ 0328300032820000728;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0328300032820000728;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения в городеВладимире;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДАВЛАДИМИРА;30.12.2020;3 997 319,61 ₽;;;;;;;;;;;;;;
№ 0832200006620001153;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0832200006620001153;Подача заявок;"Содержаниеавтодороги22 ОП РЗ 22К-0101 М-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа, подъезд к г. Нижний Новгород, км 399+000-км 405+000  в городах областного значения Дзержинск, Нижний Новгород Нижегородской области";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗМЕЩЕНИЯ ЗАКАЗА НИЖЕГОРОДСКОЙ ОБЛАСТИ""";29.12.2020;8 980 506,00 ₽;;;;;;;;;;;;;;
