Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32009875696;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875696;Закупка завершена;Оказание услуг по поставке электроэнергии для нуждВоронежскогоотряда филиала ФГП ВО ЖДТ России на Юго-Восточной железнойдороге(СК ст. Грязи, ПП ст. Грязи);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";31.12.2020;623 425,12 ₽;;;;;;;;;;;;;;
№ 32009875685;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875685;Закупка завершена;Оказание услуг по поставке электроэнергии для нуждВоронежскогоотряда филиала ФГП ВО ЖДТ России на Юго-Восточной железнойдороге(СК ст. Елец, ПК ст. Елец);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";31.12.2020;708 111,00 ₽;;;;;;;;;;;;;;
№ 0354100008420000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100008420000117;Подача заявок;Оказание услуг по содержанию систем видеоконтроля (камер фото-видеофиксации нарушений правил дорожного движения) на автомобильныхдорогахобщего пользования федерального значения вВоронежскойобласти;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;21 099 977,00 ₽;;;;;;;;;;;;;;
№ 32009800618;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009800618;Подача заявок;Конкурс в электронной форме на право заключения договора на выполнение работ по модернизации сети передачи данных автомобильнойдорогиМ-4 «Дон» от Москвы черезВоронеж, Ростов-на-Дону, Краснодар до Новороссийска км 21 – км 225, Московская и Тульская области (участниками которого могут являться только субъекты малого и среднего предпринимательства);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ПЛАТНЫЕДОРОГИ""";14.12.2020;27 834 830,40 ₽;;;;;;;;;;;;;;
№ 0131300045220000201;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300045220000201;Подача заявок;"Осуществление строительного контроля по объекту: ""Строительство автомобильнойдороги«М «Дон» - Бобров - Таловая – Новохоперск» - КФХ Колесников Ю.Н в Бобровском муниципальном районеВоронежскойобласти""";АДМИНИСТРАЦИЯ БОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;30.12.2020;4 890 682,00 ₽;;;;;;;;;;;;;;
№ 0131300045220000199;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300045220000199;Подача заявок;Строительство и реконструкция подъездной автомобильнойдорогик ЖК Соколовка;АДМИНИСТРАЦИЯ БОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;30.12.2020;282 811 105,00 ₽;;;;;;;;;;;;;;
№ 32009743796;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009743796;Работа комиссии;Запрос котировок в электронной форме № 4387/ЗКТЭ-ДЖВ/20 на право заключения договора оказания услуг по пожарной безопасности (вокзалы Липецк, Грязи-Воронежские, Елец, Тамбов, Мичуринск-Уральский, Богоявленск, Кирсанов);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";30.11.2020;787 440,00 ₽;;;;;;;;;;;;;;
№ 0131300045220000198;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300045220000198;Подача заявок;Ремонт автомобильныхдорогобщего пользования местного значения на территории Бобровского муниципального районаВоронежскойобласти (I этап);АДМИНИСТРАЦИЯ БОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;29.12.2020;86 048 025,00 ₽;;;;;;;;;;;;;;
№ 0131300045220000196;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300045220000196;Определение поставщика отменено;Ремонт автомобильныхдорогобщего пользования местного значения на территории Бобровского муниципального районаВоронежскойобласти (I этап).;АДМИНИСТРАЦИЯ БОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;29.12.2020;86 048 025,00 ₽;;;;;;;;;;;;;;
№ 0131300045220000197;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300045220000197;Подача заявок;Ремонт автомобильныхдорогобщего пользования местного значения на территории Бобровского муниципального районаВоронежскойобласти (II этап);АДМИНИСТРАЦИЯ БОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;29.12.2020;55 980 637,00 ₽;;;;;;;;;;;;;;
