Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0348100006020000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000065;Подача заявок;"...  на сети автомобильныхдорогобщего пользования федерального значения:автомобильнаядорогаМ-7 ""Волга ...  - км 32+239; автомобильнаядорогаМ-7 ""Волга"" Москва - Владимир ...  - км 20+660; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль - ...  - Михайлов - Тула -Калуга- Вязьма - Ржев - ...  226+840, Владимирская область; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль - ...  - Михайлов - Тула -Калуга- Вязьма - Ржев - ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;51 739 634,32 ₽;;;;;;;;;;;;;;
№ 0336100012520000142;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000142;Работа комиссии;Подготовка проектной документации и выполнение инженерных изысканий. Капитальный ремонт моста через реку Медведица на км 51+500 автомобильнойдорогиР-132 «Золотое кольцо» Ярославль – Кострома – Иваново – Владимир – Гусь-Хрустальный – Рязань – Михайлов – Тула –Калуга– Вязьма – Ржев – Тверь – Углич - Ярославль, Калязин - Кашин - Горицы - Кушалино, Тверская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";09.12.2020;9 363 867,50 ₽;;;;;;;;;;;;;;
№ 32009792938;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009792938;Закупка завершена;Право заключения Договора на выполнение работ согласно техническому заданию по объекту: «ПИР «Реконструкция ВЛ-10кВ № 9 ПС «Ворсино», ВЛ-10кВ №7 ПС «Вега» по объекту: «Внешняя инженерная инфраструктура. Внеплощадочная подъездная автомобильнаядорога.I этап по адресу: Калужская область, Боровский район, д. Ильино и д. Козельское», на основании договора о снятии ограничений по использованию земельного участка № 401034036 от 16.04.2020 г» для нужд филиала «Калугаэнерго» ПАО «МРСК Центра и Приволжья»;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЦЕНТРА И ПРИВОЛЖЬЯ""";11.12.2020;915 098,40 ₽;;;;;;;;;;;;;;
№ 32009864663;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009864663;Подача заявок;...  геоинформационной системы автомобильныхдорогГосударственной компании «Российские автомобильныедороги»: М-1 «Беларусь» Москва ...  Республикой Белоруссия, М-3 «Украина» Москва –Калуга– Брянск – граница с Украиной, М-4 ... , М-11 «Москва-Санкт-Петербург», А 105 «Подъезднаядорогаот Москвы к аэропорту Домодедово ...;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";29.12.2020;18 269 254,00 ₽;;;;;;;;;;;;;;
№ 32009781088;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009781088;Работа комиссии;Конкурс в электронной форме на право заключения Договора на оказание услуг по защите объектов транспортной инфраструктуры мост через реку Угра км 177+100 (левый, правый), расположенного на автомобильнойдорогеМ-3 «Украина» Москва -Калуга- Брянск - граница с Украиной в Калужской области с использованием инженерно-технических средств (систем) обеспечения транспортной безопасности;"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";09.12.2020;12 070 000,00 ₽;;;;;;;;;;;;;;
№ 32009740196;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009740196;Подача заявок;Конкурс в электронной форме на право заключения Договора на разработку проектно-сметной и технической документации по объекту: «АвтомобильнаядорогаМ-3 «Украина» Москва -Калуга- Брянск - граница с Украиной. Капитальный ремонт моста через реку Гбень на км 418+200, Брянская область» (участниками которого могут являться только субъекты малого и среднего предпринимательства);"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";30.11.2020;3 589 650,00 ₽;;;;;;;;;;;;;;
№ 32009744224;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009744224;Подача заявок;"Конкурс в электронной форме на право заключения Договора на разработку проектно-сметной и технической документации по объекту: ""АвтомобильнаядорогаМ-3 «Украина» Москва -Калуга- Брянск - граница с Украиной. Ремонт моста через реку Брынь на км 253+906, Калужская область"" (участниками которого могут являться только субъекты малого и среднего предпринимательства)";"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";30.11.2020;2 132 250,00 ₽;;;;;;;;;;;;;;
№ 32009830318;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009830318;Подача заявок;Конкурс в электронной форме на право заключения Договора на разработку проектно-сметной и технической документации по объекту: «АвтомобильнаядорогаМ-3 «Украина» Москва -Калуга-Брянск - граница с Украиной. Капитальный ремонт водопропускных труб на км 396+350, км 435+350, км 454+700, км 465+200, км 470+100, км 472+500, км 477+150, км 478+800, км 480+100, Брянская область» (участниками которого могут являться только субъекты малого и среднего предпринимательства);"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";22.12.2020;13 406 680,00 ₽;;;;;;;;;;;;;;
№ 0354100008420000108;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100008420000108;Определение поставщика завершено;"Оказание услуг по содержанию автомобильныхдорог: М-2 «Крым» Москва - Тула - Орел - Курск - Белгород - граница с Украиной на участках км 108+000 - км 177+292, км 160+472 - км 304+300, подъезды к г. Тула км 0+000 - км 7+492, км 28+720 - км 37+700, км 41+460 - км 46+880; Р-92Калуга- Перемышль - Белев - Орел на участках км 42+719 – км 60+004, км 61+561 - км 97+680, км 102+670 - км 132+1190; Р-132Калуга- Тула - Михайлов - Рязань на участках км 57+143 - км 98+680, км 119+700 – км 209+546, Тульская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";04.12.2020;326 842 245,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354100008420000108;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР""";;326 842 245,00;;;;;;
№ 32009803743;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009803743;Закупка завершена;Выполнение работ согласно техническому заданию по объекту: «СМР Реконструкциядорогипо ул. Веры Андриановой в г.Калуга»;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЦЕНТРА И ПРИВОЛЖЬЯ""";15.12.2020;55 669 049,22 ₽;;;;;;;;;;;;;;
