Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0372100009920000118;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009920000118;Работа комиссии;Лот № 107: Оказание услуг по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения: автомобильнаядорогаА-215 Лодейное Поле – Вытегра – Прокшино – Плесецк – Брин-Наволок, Лодейнопольский и Подпорожский районы,Ленинградскаяобласть;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.12.2020;139 718 324,00 ₽;;;;;;;;;;;;;;
№ 0345300138920000057;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0345300138920000057;Определение поставщика завершено;"Выполнение работ по полугодовому обслуживанию средств организации дорожного движения в 2021г. на территории МО ""Муринское городское поселение"".";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СОДЕРЖАНИЕ И РАЗВИТИЕ ТЕРРИТОРИИ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУРИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" ВСЕВОЛОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ";08.12.2020;4 500 861,79 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0345300138920000057;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СОДЕРЖАНИЕ И РАЗВИТИЕ ТЕРРИТОРИИ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУРИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" ВСЕВОЛОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВА ЗНАК""";;4 475 000,00;;;;;;
№ 0145300017220000085;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300017220000085;Определение поставщика завершено;Выполнение работ по содержанию улично-дорожной сети МО «Светогорское городское поселение»;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СВЕТОГОРСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" ВЫБОРГСКОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ";26.12.2020;8 090 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0145300017220000085;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СВЕТОГОРСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" ВЫБОРГСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ-97""";;8 090 000,00;;;;;;
№ 0145300017420000028;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300017420000028;Определение поставщика завершено;Выполнение работ по механизированной уборке и содержаниюдорогв п. Никольский;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""НИКОЛЬСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ  ПОДПОРОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ""";25.12.2020;252 080,12 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0145300017420000028;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""НИКОЛЬСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ПОДПОРОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";;;;;;;;;;;;
№ 0145300008920000515;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0145300008920000515;Подача заявок;"Благоустройство территории ул. Соборная от пр. 25-го Октября до Гатчинского кафедрального собора святого апостола Павла. 4 этап, г. Гатчина, ""ул. Соборная"" (от. ул. Горького до ул. Красной)";АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГАТЧИНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОНЛЕНИНГРАДСКОЙОБЛАСТИ;31.12.2020;54 007 604,00 ₽;;;;;;;;;;;;;;
№ 0145300010320000431;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300010320000431;Определение поставщика завершено;"Выполнение мероприятий по повышению безопасности дорожного движения, включая обустройство элементов автомобильныхдорог, на территории МО ""Кингисеппское городское поселение"" в 2021 году.";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КИНГИСЕППСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";22.12.2020;3 529 910,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0145300010320000431;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ГОРОДСКОГО ХОЗЯЙСТВА"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КИНГИСЕППСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КИНГИСЕППСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН"" ЛЕНИНГРАДСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ЧИСТО""";;3 529 910,00;;;;;;
№ 0145300010020000226;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300010020000226;Работа комиссии;Содержание технических средств организации дорожного движения в г. Лодейное Поле;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЛОДЕЙНОПОЛЬСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОНЛЕНИНГРАДСКОЙОБЛАСТИ;24.12.2020;358 549,07 ₽;;;;;;;;;;;;;;
№ 0145300019120000041;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300019120000041;Работа комиссии;Оказание услуг по кадастрированию автомобильныхдорогна территории МО Аннинское городское поселение;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АННИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ЛОМОНОСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ;22.12.2020;94 000,00 ₽;;;;;;;;;;;;;;
№ 0145300019120000040;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300019120000040;Определение поставщика завершено;Содержаниедороги проездов МО Аннинское городское поселение;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АННИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ЛОМОНОСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ;18.12.2020;5 048 096,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0145300019120000040;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АННИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ЛОМОНОСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННОЕ ПРЕДПРИЯТИЕ ПО УБОРКЕ И БЛАГОУСТРОЙСТВУ ТЕРРИТОРИИ ""ЭНЕРГИЯ""";1 - Победитель;4 921 893,60;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТПЕТРОСТРОЙ""";2 - Второй номер;4 921 893,60;;;;;;
№ 0145300010120000060;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300010120000060;Определение поставщика завершено;Содержание автомобильныхдорогобщего пользования местного значения в границах населенных пунктов муниципального образования «Полянское сельское поселение» Выборгского районаЛенинградскойобласти в 2021 году.;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОЛЯНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" ВЫБОРГСКОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ";23.11.2020;14 000 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0145300010120000060;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОЛЯНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" ВЫБОРГСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛСПЕЦТРАНС""";;13 930 000,00;;;;;;
