Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0311100007220000156;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007220000156;Подача заявок;"Ремонт автомобильнойдорогиА-295 Йошкар-Ола - Зеленодольск - автомобильнаядорогаМ-7 ""Волга"" на участке км 14+308 - км 27+000, РеспубликаМарийЭл";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;602 002 920,00 ₽;;;;;;;;;;;;;;
№ 0311100007220000152;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0311100007220000152;Подача заявок;"Капитальный ремонт автомобильнойдорогиР-176 ""Вятка"" Чебоксары – Йошкар-Ола – Киров - Сыктывкар на участке км 31+500 - км 40+500, РеспубликаМарийЭл";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";28.12.2020;992 672 020,00 ₽;;;;;;;;;;;;;;
№ 32009799645;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009799645;Закупка завершена;договор субподряда на выполнение работ по заготовке древесины с использованием трактора КХ-451 (Харвестер) в общем объеме 11 63,63 м³ и трелевочной машины Форвардер (Амкадор), в общем объеме 561,0 м³ (расчистка полосы отвода на объекте: «Реконструкция автомобильнойдорогиОдобеляк-Куженер-Параньга на участке км 4+879- км 9+072».;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАРИЙЭЛ ДОРСТРОЙ""";14.12.2020;574 946,05 ₽;;;;;;;;;;;;;;
№ 0308200000120000118;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0308200000120000118;Определение поставщика завершено;Ремонт автомобильнойдорогиЙошкар-Ола-Уржум на участке км 41+433 – км 58+200;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИМАРИЙЭЛ ""МАРИЙСКАВТОДОР""";09.12.2020;436 113 176,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0308200000120000118;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МАРИЙ ЭЛ ""МАРИЙСКАВТОДОР""";Согласование не проводилось;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАРИЙ ЭЛ ДОРСТРОЙ""";;;;;;;
№ 0340200003320014541;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003320014541;Определение поставщика завершено;Выполнение работ по ремонту автомобильнойдорогиКиров-Советск-Яранск-Лошкари-граница РеспубликиМарийЭл в Советском районе;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";10.12.2020;48 545 563,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0340200003320014541;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДОРОЖНЫЙ КОМИТЕТ КИРОВСКОЙ ОБЛАСТИ""";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОТРАНС-С""";1 - Победитель;48 060 107,36;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИРОВТРАНССТРОЙ""";2 - Второй номер;48 300 000,00;;;;;;
№ 0108300003120000015;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0108300003120000015;Подача заявок;"Разработка проектной и рабочей документации на строительство объекта «АвтомобильнаядорогаКупсола - Кораксола Куженерского района""";АДМИНИСТРАЦИЯ КУЖЕНЕРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;23.12.2020;2 478 557,00 ₽;;;;;;;;;;;;;;
№ 0108300003120000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0108300003120000014;Подача заявок;"Разработка проектной и рабочей документации на строительство объекта «АвтомобильнаядорогаБольшой Ляждур - Мари-Олма Куженерского района""";АДМИНИСТРАЦИЯ КУЖЕНЕРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;22.12.2020;3 243 600,00 ₽;;;;;;;;;;;;;;
№ 0308200000120000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0308200000120000117;Определение поставщика завершено;Ремонт автомобильнойдорогиСернур – Казанское - Кукнур на участке км 31+000 – км 43+738;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИМАРИЙЭЛ ""МАРИЙСКАВТОДОР""";08.12.2020;163 312 258,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0308200000120000117;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МАРИЙ ЭЛ ""МАРИЙСКАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРОЖНИК""";1 - Победитель;153 513 522,52;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАРИЙ ЭЛ ДОРСТРОЙ""";2 - Второй номер;154 330 083,81;;;;;;
№ 0108300012220000002;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0108300012220000002;Определение поставщика завершено;Текущий ремонт объектов уличного освещения д. Большое Пызаково ул. Центральная и д. Малое Пызаково ул. Центральная Новоторъяльского района РеспубликиМарийЭл;ЧУКСОЛИНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ НОВОТОРЪЯЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;07.12.2020;154 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0108300012220000002;ЧУКСОЛИНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ НОВОТОРЪЯЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МАРИЙ ЭЛ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИОМС-ГРУПП""";1 - Победитель;152 460,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНТЕХРЕМОНТ""";2 - Второй номер;154 000,00;;;;;;
№ 0308200000120000114;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0308200000120000114;Определение поставщика завершено;Выполнение работ по обработке автомобильныхдорогобщего пользования республиканского значения РеспубликиМарийЭл пескосоляной смесью в период неблагоприятных погодных условий;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИМАРИЙЭЛ ""МАРИЙСКАВТОДОР""";01.12.2020;18 213 055,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0308200000120000114;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МАРИЙ ЭЛ ""МАРИЙСКАВТОДОР""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАРИЙ ЭЛ ДОРСТРОЙ""";;18 213 055,00;;;;;;
