Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0372100009920000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009920000117;Определение поставщика завершено;"...  автомобильныхдорогобщего пользования федерального значения в Ленинградской области: автомобильнаядорогаР-23 ...  Республикой Белоруссия, Гатчинский  район; автомобильнаядорогаА-120 «Санкт-Петербургское южное полукольцо» Кировск ... , Ломоносовский и Кировский районы; автомобильнаядорогаА-121 «Сортавала» Санкт-Петербург - Сортавала ...  - автомобильнаядорогаР-21 «Кола», Приозерский район; автомобильная ...дорогаА-181 «Скандинавия» Санкт-Петербург - Выборг  ...  Финляндской Республикой, Выборгский район; автомобильнаядорогаМ-10 «Россия» Москва - Тверь ...  - Санкт-Петербург, Тосненский район; автомобильнаядорогаА-180 «Нарва» Санкт-Петербург - граница ...  районы; автомобильнаядорогаР-21 «Кола» Санкт-Петербург - Петрозаводск -Мурманск- Печенга ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;128 058 371,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0372100009920000117;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТРАНССТРОЙ""";;128 058 371,00;;;;;;
№ 32009870445;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009870445;Подача заявок;"... /6 кВ № 301 г.Мурманск, ПС 35/6 кВ № 304 ... /6 кВ № 316 г.Мурманск, ПС 35/6 кВ № 321 ...  35/10 кВ № 342 аэропорт ""Мурманск"", ПС 35/6 кВ № 372 ... /6 кВ № 389 г.Мурманск, ПС 35/6 кВ № 400 ... /6 кВ № 401 28 кмавтодороги «Мурманск– гос. граница», ПС 35 ...  от дуговых замыканий» для нуждМурманскогофилиала ПАО «МРСК Северо-Запада»";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ СЕВЕРО-ЗАПАДА""";30.12.2020;16 760 088,82 ₽;;;;;;;;;;;;;;
№ 32009867707;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867707;Подача заявок;Открытый конкурс в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства № 3840/ОКЭ-АО «РЖДстрой»/2020/Д на право заключения договора для выполнения комплекса строительно-монтажных работ на объектах Октябрьской железнойдороги.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";29.12.2020;;;;;;;;;;;;;;;
№ 32009867601;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867601;Подача заявок;Запрос котировок в электронной форме № 3692/ЗКТЭ-АО «РЖДстрой»/2020 на право заключения договора,  на  выполнение  комплекса строительно-монтажных работ на объектах Октябрьской ж. д.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";29.12.2020;;;;;;;;;;;;;;;
№ 0149200002320008979;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008979;Подача заявок;выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения Октябрьского административного округа городаМурманска;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;29.12.2020;191 665 900,80 ₽;;;;;;;;;;;;;;
№ 0149200002320008976;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008976;Подача заявок;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения Первомайского административного округа городаМурманска;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;29.12.2020;159 367 017,60 ₽;;;;;;;;;;;;;;
№ 0149200002320008974;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008974;Подача заявок;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения Ленинского административного округа городаМурманска;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;29.12.2020;167 726 244,00 ₽;;;;;;;;;;;;;;
№ 0149200002320008553;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008553;Определение поставщика завершено;Выполнение работ по ремонту автомобильнойдорогиМишуково - Снежногорск, км 0 - км 25 (выборочно);КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;16.12.2020;49 686 857,82 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0149200002320008553;ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПО УПРАВЛЕНИЮ АВТОМОБИЛЬНЫМИ ДОРОГАМИ МУРМАНСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МУРМАНСКОЕ ДОРОЖНОЕ УПРАВЛЕНИЕ""";1 - Победитель;49 189 989,24;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙМОНТАЖ""";2 - Второй номер;49 438 423,53;;;;;;
№ 0149200002320008554;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008554;Определение поставщика завершено;Выполнение работ по ремонту автомобильнойдорогиСнежногорск - Гаджиево, км 0 - км 6+850;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;16.12.2020;68 959 991,26 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0149200002320008554;ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПО УПРАВЛЕНИЮ АВТОМОБИЛЬНЫМИ ДОРОГАМИ МУРМАНСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСКОЕ ДОРОЖНОЕ УПРАВЛЕНИЕ""";1 - Победитель;68 270 391,34;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙМОНТАЖ""";2 - Второй номер;68 270 391,34;;;;;;
№ 0149200002320008604;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008604;Определение поставщика завершено;Выполнение работ по устройству недостающих тротуаров на автомобильнойдорогеЗаполярный-Сальмиярви, км 33+250 - км 33+800.;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;17.12.2020;4 401 779,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0149200002320008604;ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПО УПРАВЛЕНИЮ АВТОМОБИЛЬНЫМИ ДОРОГАМИ МУРМАНСКОЙ ОБЛАСТИ;;По результатам рассмотрения вторых частей заявок принято решение о соответствии указанным требованиям только одной второй части заявки на участие в нем (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС-КОМПАНИЯ""";;4 269 725,60;;;;;;
