Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32109890355;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109890355;Закупка завершена;Аренда канатно-буксировочныхдорогс прилегающими земельными участками (гора Айкуайвенчорр);"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕМУРМАНСКОЙОБЛАСТИ ""КИРОВСКАЯ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ГОРНОЛЫЖНОМУ СПОРТУ""";14.01.2021;3 091 528,00 ₽;;;;;;;;;;;;;;
№ 32109886491;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109886491;Закупка завершена;Аренда канатно-буксировочныхдорогс прилегающими земельными участками  (гора Кукисвумчорр);"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕМУРМАНСКОЙОБЛАСТИ ""КИРОВСКАЯ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ГОРНОЛЫЖНОМУ СПОРТУ""";13.01.2021;2 764 000,00 ₽;;;;;;;;;;;;;;
№ 32009870445;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009870445;Подача заявок;"... /6 кВ № 301 г.Мурманск, ПС 35/6 кВ № 304 ... /6 кВ № 316 г.Мурманск, ПС 35/6 кВ № 321 ...  35/10 кВ № 342 аэропорт ""Мурманск"", ПС 35/6 кВ № 372 ... /6 кВ № 389 г.Мурманск, ПС 35/6 кВ № 400 ... /6 кВ № 401 28 кмавтодороги «Мурманск– гос. граница», ПС 35 ...  от дуговых замыканий» для нуждМурманскогофилиала ПАО «МРСК Северо-Запада ...";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ СЕВЕРО-ЗАПАДА""";30.12.2020;16 760 088,82 ₽;;;;;;;;;;;;;;
№ 32009867707;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867707;Подача заявок;Открытый конкурс в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства № 3840/ОКЭ-АО «РЖДстрой»/2020/Д на право заключения договора для выполнения комплекса строительно-монтажных работ на объектах Октябрьской железнойдороги.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";29.12.2020;;;;;;;;;;;;;;;
№ 32009867601;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867601;Подача заявок;Запрос котировок в электронной форме № 3692/ЗКТЭ-АО «РЖДстрой»/2020 на право заключения договора,  на  выполнение  комплекса строительно-монтажных работ на объектах Октябрьской ж. д.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";29.12.2020;;;;;;;;;;;;;;;
№ 0149200002320008979;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008979;Подача заявок;выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения Октябрьского административного округа городаМурманска;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;29.12.2020;191 665 900,80 ₽;;;;;;;;;;;;;;
№ 0149200002320008976;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008976;Подача заявок;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения Первомайского административного округа городаМурманска;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;29.12.2020;159 367 017,60 ₽;;;;;;;;;;;;;;
№ 0149200002320008974;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002320008974;Работа комиссии;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения Ленинского административного округа городаМурманска;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;29.12.2020;167 726 244,00 ₽;;;;;;;;;;;;;;
№ 0149300005020000092;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149300005020000092;Определение поставщика завершено;Выполнение работ по содержанию улично-дорожной сети муниципального образования ЗАТО г. Островной на февраль 2021 года;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ  ГОРОД ОСТРОВНОЙМУРМАНСКОЙОБЛАСТИ;26.12.2020;3 705 551,85 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0149300005020000092;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ГОРОДСКОГО ХОЗЯЙСТВА ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ОСТРОВНОЙ МУРМАНСКОЙ ОБЛАСТИ""";;;;;;;;;;;;
№ 0372100009920000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009920000117;Определение поставщика завершено;"...  автомобильныхдорогобщего пользования федерального значения в Ленинградской области: автомобильнаядорогаР ...  Республикой Белоруссия, Гатчинский  район; автомобильнаядорогаА-120 «Санкт-Петербургское южное ... , Ломоносовский и Кировский районы; автомобильнаядорогаА-121 «Сортавала» Санкт-Петербург ...  - Сортавала - автомобильнаядорогаР-21 «Кола», Приозерский район ... ; автомобильнаядорогаА-181 «Скандинавия» Санкт-Петербург ...  Финляндской Республикой, Выборгский район; автомобильнаядорогаМ-10 «Россия» Москва - Тверь ...  - Санкт-Петербург, Тосненский район; автомобильнаядорогаА-180 «Нарва» Санкт-Петербург ...  районы; автомобильнаядорогаР-21 «Кола» Санкт-Петербург - Петрозаводск -Мурманск- Печенга - граница ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;128 058 371,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0372100009920000117;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТРАНССТРОЙ""";;128 058 371,00;;;;;;
