Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32009844655;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009844655;Подача заявок;Конкурс в электронной форме на право заключения договора на оказание услуг по проведению лабораторных испытаний дорожно-строительных материалов, применяемых на объектах Государственной компании «Российские автомобильныедороги» на строящейся автомобильнойдорогеМ-12 «Москва- НижнийНовгород-Казань» в Республике Татарстан (участниками которого могут являться только субъекты малого и среднего предпринимательства);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ИНЖИНИРИНГ""";24.12.2020;19 070 143,27 ₽;;;;;;;;;;;;;;
№ 0132300007520001007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300007520001007;Определение поставщика завершено;Выполнение работ по комплексному благоустройству общественной территории «Сквер имени Луначарского (ул. Трамвайная, у дома № 11 А)» в Ленинском районе города НижнегоНовгорода.;Департамент экономического развития и закупок администрации города НижнегоНовгорода;14.12.2020;7 154 754,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0132300007520001007;АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА НИЖНЕГО НОВГОРОДА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРСТРОЙ""";2 - Второй номер;5 330 291,22;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦДОРСТРОЙ""";1 - Победитель;5 294 517,44;;;;;;
№ 0132300007520001004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300007520001004;Определение поставщика завершено;Выполнение работ по комплексному благоустройству общественной территории «Сквер (пер. Трамвайный, напротив домов № 21-23)» в Ленинском районе города НижнегоНовгорода.;Департамент экономического развития и закупок администрации города НижнегоНовгорода;14.12.2020;21 338 578,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0132300007520001004;АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА НИЖНЕГО НОВГОРОДА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРС""";2 - Второй номер;17 497 634,46;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРСТРОЙ""";1 - Победитель;17 390 941,56;;;;;;
№ 0360200054020000129;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0360200054020000129;Работа комиссии;Выполнение работ по разработке проектной документации на ремонт автомобильнойдороги«Р-158 «НижнийНовгород– Арзамас – Саранск – Исса – Пенза – Саратов» – «Березовка – Студеный» на участке км 0+000 – км 25+355, на участке км 0+000 – км 17+800 в Петровском районе Саратовской области;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";20.11.2020;5 604 792,00 ₽;;;;;;;;;;;;;;
№ 0350300001620000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0350300001620000013;Подача заявок;Выполнение работ по содержаниюдорогв населенных пунктах Неболчского сельского поселения Любытинского районаНовгородскойобласти;АДМИНИСТРАЦИЯ НЕБОЛЧСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;24.12.2020;600 000,00 ₽;;;;;;;;;;;;;;
№ 0350300011820000234;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0350300011820000234;Подача заявок;Выполнение работ по ремонту проспекта Мира в ВеликомНовгороде;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ И ЗЕМЕЛЬНЫМИ РЕСУРСАМИ ВЕЛИКОГОНОВГОРОДА;16.12.2020;200 855 848,00 ₽;;;;;;;;;;;;;;
№ 0348100006020000064;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000064;Подача заявок;"Оказание услуг по содержанию автомобильнойдорогиобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г. Саранск, км 78+370 - км 89+020, Республика Мордовия. Оказание услуг по содержанию искусственных дорожных сооружений на автомобильнойдорогеобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г. Саранск, км 78+370 - км 89+020, Республика Мордовия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙНОВГОРОДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;33 683 342,39 ₽;;;;;;;;;;;;;;
№ 0348100006020000063;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000063;Подача заявок;"Оказание услуг по содержанию искусственных сооружений: Автомобильнаядорогаобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г. Саранск, км 0+000 - км 78+730; Автомобильнаядорогаобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, подъезд к г.Саранск, обход г.Краснослободск, км 78+650 - км 89+850";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙНОВГОРОДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;8 633 683,97 ₽;;;;;;;;;;;;;;
№ 0132300007520001006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300007520001006;Определение поставщика завершено;Выполнение работ по комплексному благоустройству общественной территории «Сквер по ул. Премудрова» (у здания ДК «Красная Этна») в Ленинском районе города НижнегоНовгорода.;Департамент экономического развития и закупок администрации города НижнегоНовгорода;14.12.2020;4 999 730,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0132300007520001006;АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА НИЖНЕГО НОВГОРОДА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСТРОЙ""";2 - Второй номер;3 999 784,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРСТРОЙ""";1 - Победитель;3 999 784,00;;;;;;
№ 0832200006620001142;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0832200006620001142;Подача заявок;Cодержание сетей наружного освещения на автомобильныхдорогахобщего пользования регионального или межмуниципального значения в Кстовском районе и городе областного значения НижнийНовгородНижегородской области;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗМЕЩЕНИЯ ЗАКАЗА НИЖЕГОРОДСКОЙ ОБЛАСТИ""";23.12.2020;3 747 890,00 ₽;;;;;;;;;;;;;;
