Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0157200000320001044;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157200000320001044;Определение поставщика завершено;Ремонт автомобильнойдорогиНеелово – Кудина Гора – Печоры на участке км 19+470 - км 27+245 в Печорском районеПсковскойобласти (идентификационный номер: 1100-А-ГЗ (5));КОМИТЕТ ПО ЗАКУПКАМПСКОВСКОЙОБЛАСТИ;30.10.2020;111 903 176,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157200000320001044;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙСЕРВИС""";1 - Победитель;110 224 628,76;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙКОМ""";2 - Второй номер;110 784 144,64;;;;;;
№ 0857200000220000319;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0857200000220000319;Определение поставщика завершено;Легковые автомобили;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕПСКОВСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ ПСКОВСКОЙОБЛАСТИ""";30.10.2020;2 405 700,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0857200000220000319;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";;;;;;;;;;;;
№ 0157300006920000103;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157300006920000103;Определение поставщика завершено;"Разработка проекта реконструкции моста через реку Многа на автомобильнойдороге""от а/д Череха-Назимово до Песчанка"" в Ядровской волостиПсковскогорайонаПсковскойобласти";АДМИНИСТРАЦИЯПСКОВСКОГОРАЙОНА;30.10.2020;2 933 252,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157300006920000103;АДМИНИСТРАЦИЯ ПСКОВСКОГО РАЙОНА;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНДЭКСПРО""";1 - Победитель;2 480 333,74;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВГОРОДАВТОМОСТПРОЕКТ""";2 - Второй номер;2 495 000,00;;;;;;
№ 0157300003520000030;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157300003520000030;Определение поставщика завершено;Ремонт автомобильнойдорогиГдов-Тишино (участок км 0+350-км 0+950) Гдовского районаПсковскойобласти;АДМИНИСТРАЦИЯ ГДОВСКОГО РАЙОНА;30.10.2020;4 040 400,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157300003520000030;АДМИНИСТРАЦИЯ ГДОВСКОГО РАЙОНА;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРСУ-1""";;4 040 400,00;;;;;;
№ 0157300002320000038;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157300002320000038;Определение поставщика завершено;Ремонт автомобильнойдорогиобщего пользования местного значения Улица д. Петелино в Куньинском районеПсковскойобласти (выборочно);АДМИНИСТРАЦИЯ КУНЬИНСКОГО РАЙОНАПСКОВСКОЙОБЛАСТИ;28.10.2020;2 187 821,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157300002320000038;АДМИНИСТРАЦИЯ КУНЬИНСКОГО РАЙОНА ПСКОВСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙТЕХ""";1 - Победитель;1 553 352,62;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕАЛ""";2 - Второй номер;1 564 291,73;;;;;;
№ 0157200000320001036;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157200000320001036;Определение поставщика завершено;Дизельное топливо наливом (идентификационный номер: 1104-А-ГЗ);КОМИТЕТ ПО ЗАКУПКАМПСКОВСКОЙОБЛАСТИ;28.10.2020;27 642 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157200000320001036;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИЙСКАЯ ДИЗЕЛЬНАЯ КОМПАНИЯ""";1 - Победитель;25 845 270,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОПЛИВО РУ""";2 - Второй номер;25 983 480,00;;;;;;
№ 0857200000220000318;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0857200000220000318;Определение поставщика завершено;Добавка для предотвращения налипания битум содержащих смесей;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕПСКОВСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ ПСКОВСКОЙОБЛАСТИ""";28.10.2020;282 500,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0857200000220000318;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЕНА""";;282 500,00;;;;;;
№ 0157200000320001034;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157200000320001034;Определение поставщика завершено;Ремонт автомобильнойдорогиСтарый Изборск – Палкино - Остров на участке км 13+340 – км 20+105  в Палкинском  районеПсковскойобласти (идентификационный номер: 1099-А-ГЗ (5));КОМИТЕТ ПО ЗАКУПКАМПСКОВСКОЙОБЛАСТИ;27.10.2020;110 482 533,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157200000320001034;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙСЕРВИС""";1 - Победитель;97 777 042,19;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭГЛЕ""";2 - Второй номер;98 329 454,86;;;;;;
№ 0157200000320001031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157200000320001031;Определение поставщика завершено;Ремонт автомобильнойдорогиОпочка-Красногородск-граница с Латвийской Республикой на участке км 10+800- км 22+625 в Опочецком и Красногородском районахПсковскойобласти (идентификационный номер: 1095-А-ГЗ (5));КОМИТЕТ ПО ЗАКУПКАМПСКОВСКОЙОБЛАСТИ;26.10.2020;201 936 933,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157200000320001031;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМОБИЛЬНЫЕ ДОРОГИ ПСКОВА""";1 - Победитель;193 859 456,24;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙКОМ""";2 - Второй номер;194 869 140,91;;;;;;
№ 0157200000320001028;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0157200000320001028;Определение поставщика завершено;Подготовка проектной документации и выполнение инженерных изысканий капитального ремонта водопропускных труб на км 37+680, км 43+014 автомобильнойдорогиобщего пользования регионального значения Остров – Вышгородок – граница с Латвийской Республикой в Пыталовском районеПсковскойобласти (идентификационный номер: 1096-А-ГЗ);КОМИТЕТ ПО ЗАКУПКАМПСКОВСКОЙОБЛАСТИ;26.10.2020;3 800 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0157200000320001028;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ПСКОВСКОЙ ОБЛАСТИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНДЭКСПРО""";1 - Победитель;2 467 319,53;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСЕРВИС""";2 - Второй номер;2 505 319,53;;;;;;
