Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32009638523;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009638523;Закупка завершена;Конкурентный отбор в электронной форме № 151/КОТЭ-ДЖВ/20 на право заключения договора оказания услуг по техническому обслуживанию и аварийно - восстановительному ремонту автоматических дверей и распашных калиток вокзалов(Ростов-Главный и Анапа);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";30.10.2020;1 958 648,78 ₽;;;;;;;;;;;;;;
№ 32009875561;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875561;Подача заявок;Конкурентный отбор в электронной форме № 177/КОТЭ-ДЖВ/20 на право заключения договора оказания услуг технического обслуживания парковки (вокзалРостов-Главный);"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.12.2020;561 600,00 ₽;;;;;;;;;;;;;;
№ 32009875415;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875415;Закупка завершена;закупка у единственного поставщика услуг по дезинсекции и дератизации объектов и территории и по акарицидной обработке от клещей территорий Дирекции аварийно-восстановительных средств Северо-Кавказской железнойдорогиСеверо - Кавказского Дорожного филиала по железнодорожному транспорту ФБУЗ «ЦГиЭ в РО»;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ ВРОСТОВСКОЙОБЛАСТИ""";31.12.2020;332 137,80 ₽;;;;;;;;;;;;;;
№ 0358300284520000132;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000132;Работа комиссии;Ремонт пр. М. Нагибина (ул. Текучева - ул. Плиева);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;133 474 590,00 ₽;;;;;;;;;;;;;;
№ 0358300284520000133;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000133;Работа комиссии;Ремонт пер. Силикатный (ул. Разина - ул. Некрасовская);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;5 589 897,00 ₽;;;;;;;;;;;;;;
№ 0358300284520000134;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000134;Работа комиссии;Ремонт ул. Фурмановская (ул. Плиева - ул. Раздорская);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;47 586 738,00 ₽;;;;;;;;;;;;;;
№ 0358300284520000135;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000135;Работа комиссии;Ремонт ул. Мадояна (ул. Доватора – ул. Малаховская);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;38 130 492,00 ₽;;;;;;;;;;;;;;
№ 0358300284520000136;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000136;Работа комиссии;Ремонт ул. Оганова (ул. Особенная - ул. Таганрогская);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;50 852 931,00 ₽;;;;;;;;;;;;;;
№ 0358300284520000137;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000137;Работа комиссии;Ремонт ул. Майкопская (ул. Некрасовская - ул. Майкопская, дом №17);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;3 203 197,00 ₽;;;;;;;;;;;;;;
№ 0358300284520000138;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300284520000138;Работа комиссии;Ремонт ул. Казахская (ул. Чистопольская - пер. Беломорский);"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";15.12.2020;48 559 364,00 ₽;;;;;;;;;;;;;;
