Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0842100000920000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0842100000920000014;Определение поставщика завершено;Оказание услуг по дезинфекции, дезинсекции, дератизации спецвагонов модели 61-4495 для нужд филиала ФКУ «ГЦСП МВД России» «ЦСП МВД России на Куйбышевской железнойдороге» в период 01.01.2021 - 30.11.2021 на ст.Самара;"ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ГЛАВНЫЙ ЦЕНТР СПЕЦИАЛЬНЫХ ПЕРЕВОЗОК МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ"" ""ЦЕНТР СПЕЦИАЛЬНЫХ ПЕРЕВОЗОК  МВД РОССИИ НА КУЙБЫШЕВСКОЙ ЖЕЛЕЗНОЙДОРОГЕ""";16.12.2020;31 241,76 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0842100000920000014;"ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ГЛАВНЫЙ ЦЕНТР СПЕЦИАЛЬНЫХ ПЕРЕВОЗОК МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ"" ""ЦЕНТР СПЕЦИАЛЬНЫХ ПЕРЕВОЗОК МВД РОССИИ НА КУЙБЫШЕВСКОЙ ЖЕЛЕЗНОЙ ДОРОГЕ""";;По окончании срока подачи заявок не подано ни одной заявки (ч. 16 ст. 66 44-ФЗ);;;;;;;;;;
№ 32009808522;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808522;Закупка завершена;Оказание услуг по предоставлению стрелкового объекта (тира) для проведения учебно-тренировочных занятий по огневой подготовке (стрельбе) из боевого нарезного огнестрельного оружия для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г. Тольятти);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;19 996,80 ₽;;;;;;;;;;;;;;
№ 32009808657;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808657;Закупка завершена;Оказание услуг по проведению периодических проверок на пригодность к действиям в условиях, связанных с применением огнестрельного оружия и специальных средств для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г. Сызрань);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;148 992,00 ₽;;;;;;;;;;;;;;
№ 32009803755;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009803755;Работа комиссии;"Выполнение кадастровых работ в отношении границ охранных зон, границ публичного сервитута, изготовлению технического плана по объекту: «Реконструкция КВЛ- 35 кВ Кряжская-1 в части пролетов опор №18-19-20 с заменой и установкой опор на пересечении с проектируемойавтодорогой» для нужд филиала ПАО ""Россети Волга""-""СамарскиеРС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ВОЛГА""";15.12.2020;910 896,97 ₽;;;;;;;;;;;;;;
№ 32009808330;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808330;Закупка завершена;Оказание услуг по предоставлению стрелкового объекта (тира) для проведения учебно-тренировочных занятий по огневой подготовке (стрельбе) из боевого нарезного огнестрельного оружия для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г.Самара);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;94 080,00 ₽;;;;;;;;;;;;;;
№ 32009808443;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808443;Закупка завершена;Оказание услуг по предоставлению стрелкового объекта (тира) для проведения учебно-тренировочных занятий по огневой подготовке (стрельбе) из боевого нарезного огнестрельного оружия  для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г. Сызрань);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;46 800,00 ₽;;;;;;;;;;;;;;
№ 0348100006020000064;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000064;Подача заявок;"Оказание услуг по содержанию автомобильнойдорогиобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза -Самара- Уфа - Челябинск, подъезд к г. Саранск, км 78+370 - км 89+020, Республика Мордовия. Оказание услуг по содержанию искусственных дорожных сооружений на автомобильнойдорогеобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза -Самара- Уфа - Челябинск, подъезд к г. Саранск, км 78+370 - км 89+020, Республика Мордовия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;33 683 342,39 ₽;;;;;;;;;;;;;;
№ 0348100006020000063;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000063;Подача заявок;"Оказание услуг по содержанию искусственных сооружений: Автомобильнаядорогаобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза -Самара- Уфа - Челябинск, подъезд к г. Саранск, км 0+000 - км 78+730; Автомобильнаядорогаобщего пользования федерального значения М-5 ""Урал"" Москва - Рязань - Пенза -Самара- Уфа - Челябинск, подъезд к г.Саранск, обход г.Краснослободск, км 78+650 - км 89+850";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;8 633 683,97 ₽;;;;;;;;;;;;;;
№ 0142300040820000156;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0142300040820000156;Определение поставщика завершено;Благоустройство  (асфальтирование ) дворовых территорий многоквартирных домов муниципального района Сергиевский;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА СЕРГИЕВСКИЙСАМАРСКОЙОБЛАСТИ;10.12.2020;4 723 823,05 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0142300040820000156;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА-ЗАСТРОЙЩИКА,АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА"" МУНИЦИПАЛЬНОГО РАЙОНА СЕРГИЕВСКИЙ САМАРСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУС-ИНВЕСТ""";2 - Второй номер;3 858 285,28;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРСПЕКТИВА""";1 - Победитель;3 834 666,16;;;;;;
№ 0142300002720000075;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0142300002720000075;Подача заявок;Оказание услуг по техническому обслуживанию приборов учета тепловой энергии в государственных  образовательных учреждениях, административных  зданиях  городского округа ОктябрьскСамарскойобласти;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ОКТЯБРЬСКСАМАРСКОЙОБЛАСТИ;18.12.2020;177 940,00 ₽;;;;;;;;;;;;;;
