Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0163200000320008965;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008965;Подача заявок;(1843-аэф/у) Оказание услуг по ремонту и техническому обслуживанию автомобилей КамАЗ, МАЗ, ЗиЛ;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;25 000 000,00 ₽;;;;;;;;;;;;;;
№ 32009871840;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009871840;Закупка завершена;Поставка пескосоляной смеси;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";30.12.2020;248 900,00 ₽;;;;;;;;;;;;;;
№ 32009871808;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009871808;Закупка завершена;Аренда транспортного средства с экипажем;"СМОЛЕНСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХДОРОГ""";30.12.2020;337 500,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008817;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008817;Подача заявок;-(4705-аэф/т) Поставка колосников чугунных;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;25.12.2020;113 400,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008948;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008948;Подача заявок;-(4782-аэф/т) Поставка компонентов для производства битумных эмульсий;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;2 850 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008947;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008947;Подача заявок;-(4783-аэф/т) Поставка крана переставного;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;171 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008946;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008946;Подача заявок;-(4779-аэф/т) Поставка весового комплекса;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;5 500 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008945;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008945;Подача заявок;-(4785-аэф/т) Запасные части для комбинированных дорожных машин;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;3 100 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008944;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008944;Подача заявок;-(4780-аэф/т) Поставка весового комплекса;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;5 500 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320008943;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008943;Подача заявок;-(4781-аэф/т) Поставка весового комплекса;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;30.12.2020;5 500 000,00 ₽;;;;;;;;;;;;;;
№ 32009830041;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009830041;Работа комиссии;Запрос ценовых предложений на право заключения договора выполнения монтажных и пусконаладочных работ основного и вспомогательного оборудования котельной п. ВерхнеднепровскийДорогобужскогорайон;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМОЛЕНСКАЯРЕГИОНАЛЬНАЯ ТЕПЛОЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ ""СМОЛЕНСКРЕГИОНТЕПЛОЭНЕРГО""";22.12.2020;19 048 737,60 ₽;;;;;;;;;;;;;;
№ 0163300041620000084;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300041620000084;Подача заявок;Приобретение коммунальной техники для уборки городскихдорог;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД ДЕСНОГОРСК""СМОЛЕНСКОЙОБЛАСТИ";30.12.2020;9 847 882,00 ₽;;;;;;;;;;;;;;
№ 0163300012920000125;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300012920000125;Определение поставщика завершено;Оказание услуг по разработке ПСД на строительстводорогул. Дуброво, ул. Звездная, ул. Речная, ул. Рябиновая, ул. Радужная, ул. Южная, ул. Яблоневая, пер. Рябиновый в г. ЯрцевоСмоленскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЯРЦЕВСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";21.12.2020;900 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163300012920000125;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЯРЦЕВСКИЙ РАЙОН"" СМОЛЕНСКОЙ ОБЛАСТИ";;;;;;;;;;;;
№ 0163200000320008922;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008922;Подача заявок;-(4712-аэф/т) Поставка нерудного материала для нужд СОГБУ «Смоленскавтодор»;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;29.12.2020;452 000 000,00 ₽;;;;;;;;;;;;;;
№ 0163300017720000304;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300017720000304;Определение поставщика завершено;Благоустройство дворовых территорий жилых домов: поселок ТЭЦ д.2, поселок ТЭЦ  д.3, поселок ТЭЦ  д.4  в г. РославльСмоленскойобласти.;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РОСЛАВЛЬСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";18.12.2020;1 789 988,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163300017720000304;"КОМИТЕТ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА,ЭНЕРГЕТИКИ,ДОРОГ И ТРАНСПОРТА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РОСЛАВЛЬСКИЙ РАЙОН"" СМОЛЕНСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЛАГОУСТРОЙСТВО""";1 - Победитель;1 431 990,40;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРСТ""";2 - Второй номер;1 440 940,34;;;;;;
№ 0163200000320008580;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008580;Работа комиссии;-(4606-аэф/т) Поставка угля для нужд СОГБУ «Смоленскавтодор»;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;16.12.2020;1 590 349,20 ₽;;;;;;;;;;;;;;
№ 0163200000320008645;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008645;Определение поставщика завершено;1796-аэф/у Оказание услуг по техническому обслуживанию оборудования и программного обеспечения автоматизированной системы управления дорожным движением г.Смоленска(АСУДД);ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;18.12.2020;9 500 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163200000320008645;"СМОЛЕНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХ ДОРОГ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Дорохов Д. Н.;;13 557,00;;;;;;
№ 0163200000320008661;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008661;Определение поставщика завершено;(1826-аэф/у) Оказание услуг по проведению технического осмотра транспортных средств;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;21.12.2020;671 510,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163200000320008661;"СМОЛЕНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХ ДОРОГ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХКОНТРОЛЬ""";;671 510,00;;;;;;
№ 0163300025020000323;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300025020000323;Определение поставщика завершено;Выполнение работ по ремонту дворового проезда по ул. Парижской коммуны д. 8 в г. ВязьмаСмоленскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";18.12.2020;590 463,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163300025020000323;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ РАЙОН"" СМОЛЕНСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМОЛГОРСТРОЙ""";1 - Победитель;572 749,68;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕР""";2 - Второй номер;575 702,00;;;;;;
№ 0163200000320008874;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000320008874;Подача заявок;-(4595-аэф/т) Поставка технических газов;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;28.12.2020;1 620 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000320007919;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0163200000320007919;Определение поставщика завершено;78-эк Оказание услуг по обязательному страхованию гражданской ответственности владельцев опасных объектов;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;27.11.2020;203 300,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0163200000320007919;"СМОЛЕНСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБЛАСТНЫХ АВТОМОБИЛЬНЫХ ДОРОГ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФАСТРАХОВАНИЕ""";1 - Победитель;121 980,00;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВОЕ ОБЩЕСТВО ГАЗОВОЙ ПРОМЫШЛЕННОСТИ""";2 - Второй номер;167 355,00;;;;;;
