Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 0813500000120017933;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017933;Определение поставщика завершено;№ зз-49916-2020 Выполнение работ по ремонту автомобильнойдорогиобщего пользования местного значения в Балезинском районеУдмуртскойРеспублики Сергино-Коровино для обеспечения безопасности дорожного движения;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";04.12.2020;20 000 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017933;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""БАЛЕЗИНСКИЙ РАЙОН""";ЗАМЫСЛОВСКАЯАННААЛЕКСАНДРОВНА;1 - Победитель;18 700 000,00;КасимовСтаниславШайхуллович;2 - Второй номер;20 000 000,00;;;;;;
№ 32009799306;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009799306;Закупка завершена;...  попадающих в зону реконструкции автомобильнойдорогиКиясово-Лутоха (Заявитель ООО ...  «МРСК Центра и Приволжья» - филиалУдмуртэнерго.;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЦЕНТРА И ПРИВОЛЖЬЯ""";14.12.2020;2 104 228,80 ₽;;;;;;;;;;;;;;
№ 0813500000120019379;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120019379;Подача заявок;"№ зз-50004-2020 Выполнение работ по устройству тротуара от ул. Садовая до ул. Механизаторов в с. Завьялово в рамках реализации государственной программыУдмуртскойРеспублики ""Формирование современной городской среды на территорииУдмуртскойРеспублики""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";28.12.2020;1 892 760,00 ₽;;;;;;;;;;;;;;
№ 0813500000120018888;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120018888;Определение поставщика завершено;№ зз-40946-2020 Уплотнитель Маршалла для изготовления образцов 101,6 мм и 152,4мм.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";18.12.2020;2 216 025,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120018888;"КАЗЁННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ УДМУРТСКОЙ РЕСПУБЛИКИ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФРАТЕСТ""";;2 216 025,00;;;;;;
№ 0813500000120018830;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120018830;Работа комиссии;"№ зз-52339-2020 Услуги по поверке и калибровке стационарных АПК ""АвтоУраган""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";17.12.2020;6 308 666,67 ₽;;;;;;;;;;;;;;
№ 0813500000120019282;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120019282;Подача заявок;"№ зз-54082-2020 Оказание услуг по комплексному техническому обслуживанию АПК ""Автоураган""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";25.12.2020;9 073 600,00 ₽;;;;;;;;;;;;;;
№ 0813500000120018799;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120018799;Определение поставщика завершено;№ зз-49462-2020 Содержание школьных автобусных маршрутов с асфальтобетонным и гравийным покрытием, грунтовыхавтодорогв Ярском районеУдмуртскойРеспублики;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";17.12.2020;2 753 939,62 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120018799;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЯРСКИЙ РАЙОН""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УДМУРТСКОЕ АВТОДОРОЖНОЕ ПРЕДПРИЯТИЕ""";;2 753 939,62;;;;;;
№ 0813500000120019085;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120019085;Подача заявок;№ зз-52764-2020 Автоматическая машина для нарезки образцов;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";23.12.2020;3 841 500,00 ₽;;;;;;;;;;;;;;
№ 0340200003320015132;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0340200003320015132;Подача заявок;Разработка проектной документации по устройству недостающего электроосвещения и тротуаров в д. Чуваши на автомобильнойдорогеКиров – Кирово-Чепецк – Зуевка – Фаленки – границаУдмуртскойРеспублики в Кирово-Чепецком районе;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";23.12.2020;2 640 758,00 ₽;;;;;;;;;;;;;;
№ 0813500000120017272;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017272;Определение поставщика завершено;№ зз-50345-2020 Ремонт автомобильныхдорогобщего пользования регионального или межмуниципального значенияУдмуртскойРеспублики в Кезском районеУдмуртскойРеспублики (ремонт участка автомобильнойдорогиКез-Кулига-Карсовай  км 0+000 - км 49+957 в Кезском районе, ремонт участка автомобильнойдорогиКез-Старая Гыя-Медьма км 0+000 км 35+858 в Кезском районе;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";25.11.2020;43 015 248,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017272;"КАЗЁННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ УДМУРТСКОЙ РЕСПУБЛИКИ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРМИНЖСЕЛЬСТРОЙ""";1 - Победитель;39 358 952,65;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИК""";2 - Второй номер;40 864 486,36;;;;;;
№ 0813500000120017268;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017268;Определение поставщика завершено;"№ зз-50275-2020 Ремонт  автомобильныхдорогобщего пользования регионального или межмуниципального значенияУдмуртскойРеспублики в Воткинском, Дебесском, Шарканском районахУдмуртскойРеспублики (ремонт  участка автомобильнойдорогиДебесы-Уйвай  км 0+000 - км 17+000 в Дебесском районе; ремонт участка автомобильнойдорогиДебесы-Шаркан км 26+887 - км 45+758 в Шарканском районе; ремонт участка автомобильнойдорогиПервомайский-Черепановка км 0+000-км 7+400 в Воткинском районе";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";25.11.2020;91 474 467,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017268;"КАЗЁННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ УДМУРТСКОЙ РЕСПУБЛИКИ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УДМУРТСКОЕ АВТОДОРОЖНОЕ ПРЕДПРИЯТИЕ""";1 - Победитель;91 474 467,60;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРМИНЖСЕЛЬСТРОЙ""";2 - Второй номер;83 699 137,85;;;;;;
№ 0813500000120017269;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017269;Определение поставщика завершено;№ зз-50220-2020 Ремонт участка автомобильнойдороги(Ижевск-Ува)-Лудорвай-Ильинка км 0+000 – км 3+800 в Завьяловском районе,   ремонт автомобильнойдороги(Ижевск-Ува)-Капустино км 0+000 – км 7+826 в Завьяловском районе;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";25.11.2020;165 299 529,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017269;"КАЗЁННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ УДМУРТСКОЙ РЕСПУБЛИКИ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УДМУРТСКОЕ АВТОДОРОЖНОЕ ПРЕДПРИЯТИЕ""";1 - Победитель;165 299 529,60;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДОРОЖНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЛИДЕР""";2 - Второй номер;164 968 930,54;;;;;;
№ 0813500000120017063;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017063;Определение поставщика завершено;"№ зз-49641-2020 Выполнение работ по ремонту автомобильныхдорогмуниципального образования ""Завьяловский район""УдмуртскойРеспублики в рамках федерального проекта ""Дорожная сеть"" на 2021 год, участокдороги: автомобильнаядорога(Ижевск - Ува) - Подшивалово - (Подшивалово - В.Лудзя) 1 участок км 0+00 - км 1+535; - 1,535 км ул.Советская с.Люк км 0+00 - км 2+407; - 2,407 км";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";23.11.2020;43 230 171,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017063;"УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И МУНИЦИПАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЗАВЬЯЛОВСКИЙ РАЙОН""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДОРОЖНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЛИДЕР""";1 - Победитель;43 230 171,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДОНЕЖ ДОРОЖНЫЕ КОНСТРУКЦИИ""";2 - Второй номер;43 230 171,00;;;;;;
№ 0813500000120017062;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017062;Определение поставщика завершено;"№ зз-49563-2020  Выполнение работ по ремонту автомобильныхдорогмуниципального образования ""Завьяловский район""УдмуртскойРеспублики в рамках федерального проекта ""Дорожная сеть"" на 2021 год, участокдороги: ул.Зои Федоровой д.Каменное км 0+00 - км 1+546; - 1,546 км ул.Полевая д.Каменное км 0+00 - км 0+320; - 0,320 км автомобильнаядорога""(Ижевск - Аэропорт) - Чемошур - Первомайский - Н.Вожой (до поворота на д.Нижний Вожой)"" км 0+00 - км 0+302, км 0+930 - км 0+982, км 2+550 - км 3+770. - 1,574 км";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";23.11.2020;42 609 647,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017062;"УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА И МУНИЦИПАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЗАВЬЯЛОВСКИЙ РАЙОН""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДОРОЖНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЛИДЕР""";1 - Победитель;42 609 647,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРУНД""";2 - Второй номер;40 053 068,00;;;;;;
№ 0813500000120017270;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0813500000120017270;Определение поставщика завершено;"№ зз-50294-2020 Ремонт автомобильныхдорогобщего пользования регионального или межмуниципального значенияУдмуртскойРеспублики в Вавожском районеУдмуртскойРеспублики (ремонт участка автомобильнойдороги(Вавож-Кильмезь) - Старое Жуё км 0+015 – км 31+111  в Вавожском районе; ремонт участка автомобильнойдороги(Ува-Вавож)-Лыстем км 0+034 - км 10+015 в Вавожском районе; ремонт участка автомобильнойдорогиОжги-Новые Какси км 0+000 - км 4+300 в Вавожском районе)";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";25.11.2020;55 891 537,20 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120017270;"КАЗЁННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ УДМУРТСКОЙ РЕСПУБЛИКИ""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРГАНИК""";;55 891 537,20;;;;;;
№ 0813500000120018200;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0813500000120018200;Определение поставщика завершено;№ зз-50578-2020 Оказание услуг электросвязи;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕУДМУРТСКОЙРЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОКУДМУРТСКОЙРЕСПУБЛИКИ""";08.12.2020;5 462 130,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0813500000120018200;"КАЗЁННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ УДМУРТСКОЙ РЕСПУБЛИКИ""";;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";;5 434 819,35;;;;;;
