Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0330100010521000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000013;Подача заявок;Установкакомплексов фотовидеофиксации нарушений правил дорожного движения на участках км456+570, км 484+600, км 572+700, автомобильнойдорогиобщего пользованияфедерального значения А-215 Лодейное Поле - Вытегра - Прокшино - Плесецк -Брин-Наволок (вАрхангельскойобласти);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;11 453 439,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000012;Подача заявок;"Выполнение работ по содержанию (устройство слоев износа) наавтомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельскна участке км 155+000 - км 160+900, Ярославская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;118 000 000,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000011;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000011;Подача заявок;"Выполнение работ в целях реализации проекта: ""Реконструкция автомобильнойдорогиА-114 Вологда - Новая Ладога до магистрали ""Кола"" (через Тихвин) на участке км 14+578 - км 35+000 в Вологодской области, 1 этап""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";09.02.2021;12 510 750,00 ₽;;;;;;;;;;;;;;
№ 0124300004921000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300004921000008;Подача заявок;Выполнение работ по устройству уличного освещения в пос. Черемушский, дер. Борки.;АДМИНИСТРАЦИЯ КОТЛАССКОГО МУНИЦИПАЛЬНОГО РАЙОНААРХАНГЕЛЬСКОЙОБЛАСТИ;08.02.2021;968 904,00 ₽;;;;;;;;;;;;;;
№ 32109969030;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109969030;Подача заявок;"Выполнение работ по объекту ""Ремонт объекта недвижимости ""Подъезднаядорога"" (Архангельскаяобласть, г.Няндома)";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКАЯ ТЕЛЕВИЗИОННАЯ И РАДИОВЕЩАТЕЛЬНАЯ СЕТЬ""";08.02.2021;7 438 175,00 ₽;;;;;;;;;;;;;;
№ 0124200000621000344;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124200000621000344;Подача заявок;Капитальный ремонт автомобильнойдорогиУсть-Ваеньга – Осиново – Фалюки, км 78+725, мостовой переход через реку Нижняя Тяржа в Виноградовском районеАрхангельскойобласти;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;08.02.2021;78 564 426,00 ₽;;;;;;;;;;;;;;
№ 0124300022121000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300022121000020;Определение поставщика отменено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПИНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""АРХАНГЕЛЬСКОЙОБЛАСТИ";05.02.2021;1 245 895,56 ₽;;;;;;;;;;;;;;
№ 0155300036921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300036921000001;Подача заявок;"Оказание услуг по очистке от снега и наледи автомобильнойдороги""с. Черкасское- с.Архангельск"", находящейся в собственности Пачелмского района, общей протяженностью 17,25 км (площадью 103500,0 м2)";АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ПАЧЕЛМСКИЙ РАЙОН ПЕНЗЕНСКОЙ ОБЛАСТИ;05.02.2021;110 000,00 ₽;;;;;;;;;;;;;;
№ 0124200000621000316;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124200000621000316;Подача заявок;Капитальный ремонт автомобильнойдорогиКоноша – Вельск на участке км 0+000 – км 2+885, автомобильнойдорогиКоноша – Няндома на участке км 0+000 – км 2+031, автомобильнойдорогиКоноша – Чублак – Толстая на участке км 0+000 – км 1+450 (устройство электроосвещения) в Коношском районеАрхангельскойобласти;КОНТРАКТНОЕ АГЕНТСТВОАРХАНГЕЛЬСКОЙОБЛАСТИ;05.02.2021;102 871 999,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000010;Подача заявок;"Выполнение работ по содержанию (устройство слоев износа) наавтомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль - Вологда -Архангельскна участке км 737+000 - км 755+000,Архангельскаяобласть";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСКФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";05.02.2021;165 000 000,00 ₽;;;;;;;;;;;;;;
