Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0351100008921000009;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0351100008921000009;Подача заявок;"Выполнение работ по ремонту автомобильнойдорогиР-256 ""Чуйский тракт"" Новосибирск -Барнаул- Горно-Алтайск - граница с Монголией на участке км 33+000 - км 38+000, Новосибирская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""СИБИРЬ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";11.02.2021;246 198 792,00 ₽;;;;;;;;;;;;;;
№ 0351100008921000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0351100008921000005;Подача заявок;"Оказание услуг по проведению строительного контроля за объектом ремонта автомобильнойдорогиР-256 ""Чуйский тракт"" Новосибирск -Барнаул- Горно-Алтайск - граница с Монголией на участке км 33+000 - км 38+000, Новосибирская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""СИБИРЬ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";11.02.2021;5 314 621,00 ₽;;;;;;;;;;;;;;
№ 32109975784;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975784;Подача заявок;Поставка автомобильных шин для нуждБарнаульскогоотряда филиала ФГП ВО ЖДТ России на Западно-Сибирской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;186 040,00 ₽;;;;;;;;;;;;;;
№ 32109975770;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975770;Подача заявок;Поставка уборочного инвентаря для нуждБарнаульскогоотряда филиала ФГП ВО ЖДТ России на Западно-Сибирской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;78 445,90 ₽;;;;;;;;;;;;;;
№ 32109975753;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975753;Подача заявок;Поставка автомобильных масел для нуждБарнаульскогоотряда филиала Предприятия на Западно-Сибирской железнойдороге.;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;180 322,00 ₽;;;;;;;;;;;;;;
№ 32109975737;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975737;Подача заявок;Оказание услуг по ремонту автомобиля УАЗ-315196 с заменой запасных частей для нуждБарнаульскогоотряда филиала ФГП ВО ЖДТ России на Западно-Сибирской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;85 614,91 ₽;;;;;;;;;;;;;;
№ 32109975709;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975709;Подача заявок;Поставка аккумуляторов автомобильных для нуждБарнаульскогоотряда филиала ФГП ВО ЖДТ России на Западно-Сибирской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;63 720,00 ₽;;;;;;;;;;;;;;
№ 0817200000321000744;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0817200000321000744;Подача заявок;Выполнение научно-исследовательской работы по разработке документов транспортного планирования Алтайского края, включаяБарнаульскуюи Бийскую городские агломерации на срок до 2031 года;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";08.02.2021;37 350 000,00 ₽;;;;;;;;;;;;;;
№ 0317100000521000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0317100000521000003;Подача заявок;"Ремонт автомобильнойдорогиР-256 ""Чуйский тракт"" Новосибирск -Барнаул- Горно-Алтайск - граница с Монголией на участке км 668+000 - км 684+000, Республика Алтай";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""АЛТАЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";08.02.2021;273 192 989,27 ₽;;;;;;;;;;;;;;
№ 32109966990;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109966990;Закупка завершена;Оказание услуг по проведению осмотра врача-психиатра, не связанного с лечебным процессом для нуждБарнаульскогоотряда филиала ФГП ВО ЖДТ России на Западно-Сибирской железнойдороге(г.Барнаул).;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";08.02.2021;49 500,00 ₽;;;;;;;;;;;;;;
