Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0101300001921000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0101300001921000013;Подача заявок;Оказание услуг по финансовой аренде (лизингу)  снегопогрузчик лаповый;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД НЕФТЕКАМСК РЕСПУБЛИКИБАШКОРТОСТАН;04.02.2021;6 301 121,00 ₽;;;;;;;;;;;;;;
№ 0101600002821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0101600002821000001;Подача заявок;Выполнение работ по ремонтудороггородского округа город Октябрьский РеспубликиБашкортостан(ямочный);ОТДЕЛ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ГОРОД ОКТЯБРЬСКИЙ РЕСПУБЛИКИБАШКОРТОСТАН;04.02.2021;20 000 000,00 ₽;;;;;;;;;;;;;;
№ 32109958236;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109958236;Подача заявок;Запрос предложений на выполнение буровзрывных работ на объекте «Реконструкция автомобильнойдорогиБирск – Тастуба – Сатка на участке обход с. Караидель до км 168,35 в Дуванском и Караидельском районах РеспубликиБашкортостан».;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРАВТОДОР""";04.02.2021;49 401 268,20 ₽;;;;;;;;;;;;;;
№ 0101300043321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0101300043321000001;Определение поставщика завершено;Выполнение работ по текущему содержаниюдорог(в чистоте) городского поселения город Мелеуз муниципального района Мелеузовский район РеспубликиБашкортостан;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ГОРОД МЕЛЕУЗ МУНИЦИПАЛЬНОГО РАЙОНА МЕЛЕУЗОВСКИЙ РАЙОН РЕСПУБЛИКИБАШКОРТОСТАН;03.02.2021;5 147 706,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0101300043321000001;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ГОРОД МЕЛЕУЗ МУНИЦИПАЛЬНОГО РАЙОНА МЕЛЕУЗОВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЗЕЛЕНОЕ ХОЗЯЙСТВО"" МУНИЦИПАЛЬНОГО РАЙОНА МЕЛЕУЗОВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";;5 147 706,00;;;;;;
№ 0301100012721000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0301100012721000002;Подача заявок;"Содержание действующей сетиавтомобильныхдорогобщего пользования федерального значения ( ...  «Устройство слоевизноса на автомобильнойдорогеА-305 Оренбург- Илек-граница ... ; Устройство слоев износа на автомобильнойдорогеА-305 Оренбург-Илек-граница ... ; Устройство слоев износа на автомобильнойдорогеМ-7 ""Волга"" Москва – Владимир ...  направление), РеспубликаБашкортостан; Устройство слоев износа на автомобильнойдорогеР-240 ...  178+000, РеспубликаБашкортостан;Устройство слоев износа на автомобильнойдорогеР-239 ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ПРИУРАЛЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА """;02.02.2021;360 895 796,00 ₽;;;;;;;;;;;;;;
№ 0301100012721000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0301100012721000001;Подача заявок;Содержание действующей сети автомобильныхдорогобщего пользования федерального значения. Замена парапетного ограждения научастке км 1441+000 – км 1450+000 автомобильнойдорогиМ-5 «Урал» Москва –Рязань – Пенза – Самара – Уфа – Челябинск по РеспубликеБашкортостан;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ПРИУРАЛЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА """;02.02.2021;269 867 456,00 ₽;;;;;;;;;;;;;;
№ 0801300014921000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0801300014921000003;Определение поставщика завершено;"Разработка проектно-сметной документации по объекту: ""Строительство подъездной автомобильнойдорогик школе и детскому саду с а/д М-5 ""Урал""-Иглино в Иглинском райне РеспубликиБашкортостан";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО РАЙОНА ИГЛИНСКИЙ РАЙОН РЕСПУБЛИКИБАШКОРТОСТАН""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И ОТЧЕТНОСТИ""";26.01.2021;2 979 333,33 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0801300014921000003;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ИГЛИНСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТНО-ИЗЫСКАТЕЛЬСКАЯ КОМПАНИЯ ""ЭКСПЕДИЦИЯ""";1 - Победитель;1 990 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛАВПРОЕКТ""";2 - Второй номер;2 005 103,33;;;;;;
№ 0101300088321000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0101300088321000002;Определение поставщика завершено;Зимнее содержаниедорогс асфальтобетонным покрытием в сельском поселении Чекмагушевский сельсовет муниципального района Чекмагушевский район РеспубликиБашкортостан;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧЕКМАГУШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА ЧЕКМАГУШЕВСКИЙ РАЙОН РЕСПУБЛИКИБАШКОРТОСТАН;25.01.2021;750 223,55 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0101300088321000002;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧЕКМАГУШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА ЧЕКМАГУШЕВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРАВТОДОР""";;750 223,55;;;;;;
№ 0101300088321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0101300088321000001;Определение поставщика завершено;Зимнее содержаниедорогс гравийным покрытием в сельском поселении Чекмагушевский сельсовет муниципального района Чекмагушевский район РеспубликиБашкортостан;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧЕКМАГУШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА ЧЕКМАГУШЕВСКИЙ РАЙОН РЕСПУБЛИКИБАШКОРТОСТАН;25.01.2021;580 002,65 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0101300088321000001;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧЕКМАГУШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА ЧЕКМАГУШЕВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Ахкямов И. И.;;580 002,65;;;;;;
№ 0101300037221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0101300037221000001;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорогобщего пользования местного значения сельского поселения Стерлибашевский сельсовет муниципального района Стерлибашевский район РеспубликиБашкортостан;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ СТЕРЛИБАШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА СТЕРЛИБАШЕВСКИЙ РАЙОН РЕСПУБЛИКИБАШКОРТОСТАН;20.01.2021;2 500 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0101300037221000001;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ СТЕРЛИБАШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА СТЕРЛИБАШЕВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СТЕРЛИБАШЕВСКИЙ ЖИЛИЩНО-КОММУНАЛЬНЫЙ СЕРВИС СЕЛЬСКОГО ПОСЕЛЕНИЯ СТЕРЛИБАШЕВСКИЙ СЕЛЬСОВЕТ МУНИЦИПАЛЬНОГО РАЙОНА СТЕРЛИБАШЕВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;2 500 000,00;;;;;;
