Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0126200000421000381;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0126200000421000381;Подача заявок;Выполнение работ по разработке проектной документации «Строительство автомобильныхдорогв микрорайоне ИЖС «Юго-Западный 2.1» в г.Белгород Белгородскойобласти»;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;10.02.2021;5 032 608,00 ₽;;;;;;;;;;;;;;
№ 0826600006321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0826600006321000004;Подача заявок;Выполнение работ по ремонту автомобильныхдорогШебекинского городского округаБелгородскойобласти;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫХ ЗАКУПОК ШЕБЕКИНСКОГО ГОРОДСКОГО ОКРУГА""";09.02.2021;19 523 410,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000377;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126200000421000377;Подача заявок;Выполнение комплекса работ по капитальному ремонту автомобильнойдорогиНовый Оскол-Валуйки-Ровеньки на участке км 6+100 - км 6+700 с. Серебрянка, на участке км 12+900 - км 13+700 с. Николаевка, протяженностью 1,4 км Новооскольского городского округаБелгородскойобласти по элементам обустройства: устройство недостающего электроосвещения;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;3 819 600,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000373;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0126200000421000373;Подача заявок;Выполнение работ по разработке проектной документации «Строительство автомобильныхдорогв микрорайоне ИЖС «Шишино-84» вБелгородскомрайонеБелгородскойобласти»;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;4 998 866,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000369;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126200000421000369;Подача заявок;Выполнение комплекса работ по капитальному ремонту автомобильнойдорогиКороча-Чернянка-Красное протяженностью 9,3 км в Красненском и Чернянском районахБелгородскойобласти по элементам обустройства: устройство недостающего электроосвещения;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;23 704 500,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000368;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126200000421000368;Подача заявок;Выполнение комплекса работ по капитальному ремонту автомобильнойдорогиНовосадовый - Севрюково на участке км 0+000 - км 4+000 (с.Ближняя Игуменка), протяженностью 4,0 км вБелгородскомрайонеБелгородскойобласти по элементам обустройства: устройство недостающего электроосвещения;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;9 386 600,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000367;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126200000421000367;Подача заявок;Выполнение комплекса работ по капитальному ремонту автомобильнойдорогиНезнамово-Терехово-гр.Курской области на участке км 13+600 - км 14+500 (с.Терехово), протяженностью 0,9 км в Старооскольском городском округеБелгородскойобласти по элементам обустройства: устройство недостающего электроосвещения;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;2 224 900,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000365;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126200000421000365;Подача заявок;Выполнение комплекса работ по капитальному ремонту автомобильнойдорогиБорисовка - Пролетарский на участке км 6+600 - км 8+700 (с.Крюково),протяженностью 2,1 км в Борисовском районеБелгородскойобласти по элементам обустройства: устройство недостающего электроосвещения;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;5 277 200,00 ₽;;;;;;;;;;;;;;
№ 0126200000421000364;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126200000421000364;Подача заявок;"Выполнение комплекса работ по капитальному ремонту автомобильнойдороги""""Крым""""-Веселая Лопань-Бессоновка на участке км 1+300 км 2+700 с. Веселая Лопань, протяженностью 1,4 кмБелгородскогорайонаБелгородскойобласти по элементам обустройства: устройство недостающего электроосвещения";УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯБЕЛГОРОДСКОЙОБЛАСТИ;09.02.2021;3 790 700,00 ₽;;;;;;;;;;;;;;
№ 0126300029121000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0126300029121000031;Подача заявок;"Выполнение строительно-монтажных работ по объекту: ""Ремонт автомобильнойдорогии площадки по ул. Луговая с. Новая НелидовкаБелгородскогорайонаБелгородскойобласти""";АДМИНИСТРАЦИЯБЕЛГОРОДСКОГОРАЙОНА;09.02.2021;13 400 000,00 ₽;;;;;;;;;;;;;;
