Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0527300000521000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0527300000521000005;Подача заявок;Ремонт автомобильнойдорогипо ул. Чапаева (от ул. Первомайская до ул. Садовая) в г. НовозыбковБрянскойобласти;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""БЛАГОУСТРОЙСТВО""";03.02.2021;1 518 935,64 ₽;;;;;;;;;;;;;;
№ 0127300013121000043;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000043;Подача заявок;Капитальный ремонтавтодорогипо пер. Металлистов (от ул. Комсомольской до ул. Болховской) в  Бежицком  районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;03.02.2021;24 093 660,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000042;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000042;Подача заявок;Капитальный ремонтавтодорогипо ул. Чайковского (от ул. Почтовой до границы г.Брянска)в Бежицком районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;03.02.2021;62 616 790,00 ₽;;;;;;;;;;;;;;
№ 0127300018721000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300018721000010;Подача заявок;Ремонт автомобильнойдорогипо ул. Киевская в г. Жуковка Жуковского муниципального округаБрянскойобласти (1 этап);АДМИНИСТРАЦИЯ ЖУКОВСКОГО РАЙОНА;03.02.2021;12 335 683,45 ₽;;;;;;;;;;;;;;
№ 0127300018721000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300018721000009;Подача заявок;Оказание услуг по очистке автомобильныхдороги  улично-дорожной сети муниципального значения в зимний период сельских населенных пунктов в границах Жуковского муниципального округаБрянскойобласти;АДМИНИСТРАЦИЯ ЖУКОВСКОГО РАЙОНА;03.02.2021;1 252 988,00 ₽;;;;;;;;;;;;;;
№ 0127300011721000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300011721000005;Подача заявок;Капитальный ремонт автомобильнойдорогипо ул. Октябрьская д. Телец Трубчевского районаБрянскойобласти;АДМИНИСТРАЦИЯ ТРУБЧЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;02.02.2021;2 676 256,80 ₽;;;;;;;;;;;;;;
№ 0127300013121000041;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000041;Подача заявок;Капитальный ремонтавтодорогипо ул. Клинцовской (от ул. Болховской до пер. Северного) в  Бежицком  районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;38 874 000,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000040;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000040;Подача заявок;Капитальный ремонтавтодорогипо пр-ту Московскому в Фокинском районе г.Брянска(обустройство);БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;54 789 876,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000039;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000039;Подача заявок;Капитальный ремонтавтодорогипо ул. Бузинова (от ул.БрянскойПролетарской Дивизии до ул. Камозина) в  Бежицком  районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;5 563 000,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000038;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000038;Подача заявок;Капитальный ремонтавтодорогипо ул. Желябова в Бежицком районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;30 602 000,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000037;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000037;Подача заявок;Капитальный ремонтавтодорогипо ул. Орджоникидзе (от пер. Рабочего до ул. Ленина)  в р.п. Радица-Крыловка в  Бежицком  районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;7 599 810,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000036;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000036;Подача заявок;Капитальный ремонтавтодорогипо ул. Ленина (от ул. Орджоникидзе до ул. Лесной) в р.п. Радица-Крыловка в Бежицком  районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;40 849 000,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000034;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000034;Подача заявок;Капитальный ремонтавтодорогипо ул. Медведева (от дома № 2 по ул. Медведева до ул. Литейной) в Бежицком районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;95 735 000,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000033;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000033;Подача заявок;Капитальный ремонтавтодорогипо ул. Островского (от ул. Делегатской до пер. Сургутского) в Бежицком районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;19 695 158,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000032;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000032;Подача заявок;Капитальный ремонтавтодорогипо ул. Орловской (от ул. 3-го Интернационала до ул. Металлистов) в  Бежицком  районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;23 479 283,00 ₽;;;;;;;;;;;;;;
№ 0127300011721000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300011721000004;Подача заявок;Капитальный ремонт автомобильнойдорогипо ул. Советской д. Городцы Трубчевского районаБрянскойобласти;АДМИНИСТРАЦИЯ ТРУБЧЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;02.02.2021;2 805 631,20 ₽;;;;;;;;;;;;;;
№ 0127300022921000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300022921000006;Подача заявок;Ремонт автомобильнойдорогипо улице Яньковской в с. Пятовск Стародубского муниципального округаБрянскойобласти;АДМИНИСТРАЦИЯ СТАРОДУБСКОГО МУНИЦИПАЛЬНОГО ОКРУГАБРЯНСКОЙОБЛАСТИ;01.02.2021;5 251 372,80 ₽;;;;;;;;;;;;;;
№ 0127300013121000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000031;Подача заявок;Капитальный ремонтавтодорогипо ул. Тюменской (от ул. Островского до границы г.Брянска)в Бежицком районе г.Брянска;БРЯНСКАЯГОРОДСКАЯ АДМИНИСТРАЦИЯ;01.02.2021;2 202 460,00 ₽;;;;;;;;;;;;;;
