Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32109936054;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109936054;Подача заявок;Оказание услуг по предоставлению материально-технической базы для проведения периодической проверки с огнестрельным оружием работников Бологовского отряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге(г.Великий Новгород);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";28.01.2021;1 295 420,00 ₽;;;;;;;;;;;;;;
№ 0336100012521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0336100012521000002;Подача заявок;Капитальный ремонт мостов через реку Мста на км 501+878 (левый, правый) автомобильнойдорогиМ-10 «Россия» Москва - Тверь -Великий Новгород- Санкт-Петербург,Новгородскаяобласть (Устройство локальных очистных сооружений);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";27.01.2021;36 659 930,00 ₽;;;;;;;;;;;;;;
№ 0350300011821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0350300011821000001;Работа комиссии;"Выполнение работ по ремонту Андреевская улица; улица Герасименко-Маницына; Гражданская улица;Знаменская улица; Иваньская улица; Ильменская улица; улица Королева; улицаЛаптева; улица Лени Голикова; Лесная улица; Молотковская улица; Народная улица;улица Панкратова; Парковая улица; Посольская улица; Проезжая улица; Пушкинскаяулица; Студенческая улица; улица Т.Фрунзе-Оловянка; улица Черемнова-Конюхова;Щитная улица вВеликом Новгороде";КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ И ЗЕМЕЛЬНЫМИ РЕСУРСАМИВЕЛИКОГО НОВГОРОДА;22.01.2021;160 133 863,05 ₽;;;;;;;;;;;;;;
№ 0336100012520000150;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000150;Работа комиссии;"Подготовка проектной документации и выполнение инженерных изысканий. Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Строительство акустического экрана на автомобильнойдорогеМ-10 ""Россия"" Москва – Тверь –Великий Новгород– Санкт-Петербург на участке км 174 – км 175 (лево), Тверская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;1 180 000,00 ₽;;;;;;;;;;;;;;
№ 0336100012520000149;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000149;Работа комиссии;Строительный контроль при проведении работ по объекту: «Ремонт моста через реку Ситня на км 102+022 автомобильнойдорогиР-56Великий Новгород– Сольцы – Порхов - Псков,Новгородскаяобласть»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;2 031 645,25 ₽;;;;;;;;;;;;;;
№ 0336100012520000148;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000148;Подача заявок;Строительный контроль при проведении работ по объекту: «Капитальный ремонт автомобильнойдорогиМ-10 «Россия» Москва – Тверь –Великий Новгород– Санкт-Петербург на участке км 271+000 – км 292+000, Тверская область. I этап км 271+000 – км 281+500.»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";28.12.2020;11 002 526,75 ₽;;;;;;;;;;;;;;
№ 0336100012520000147;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000147;Работа комиссии;Строительный контроль при проведении работ по объекту: «Ремонт автомобильнойдорогиР-56Великий Новгород– Сольцы – Порхов – Псков на участке км 90+000 – км 101+400,Новгородскаяобласть»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.12.2020;3 163 040,80 ₽;;;;;;;;;;;;;;
№ 0336100012520000146;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000146;Подача заявок;Капитальный ремонт автомобильнойдорогиМ-10 «Россия» Москва – Тверь –Великий Новгород– Санкт-Петербург на участке км 271+000 – км 292+000, Тверская область. I этап км 271+000 – км 281+500.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;1 352 044 311,00 ₽;;;;;;;;;;;;;;
№ 0372100009920000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009920000117;Определение поставщика завершено;"...  автомобильныхдорогобщего пользования федерального значения в Ленинградской области: автомобильнаядорогаР ...  Республикой Белоруссия, Гатчинский  район; автомобильнаядорогаА-120 «Санкт-Петербургское южное ... , Ломоносовский и Кировский районы; автомобильнаядорогаА-121 «Сортавала» Санкт-Петербург ...  - Сортавала - автомобильнаядорогаР-21 «Кола», Приозерский район ... ; автомобильнаядорогаА-181 «Скандинавия» Санкт-Петербург ...дорогаМ-10 «Россия» Москва - Тверь -Великий Новгород- Санкт-Петербург, Тосненский район; автомобильнаядорога... , Волосовский и Кингисеппский районы; автомобильнаядорогаР-21 «Кола» Санкт-Петербург ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;128 058 371,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0372100009920000117;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТРАНССТРОЙ""";;128 058 371,00;27.02.2023;28.01.2021;;125167, г. Москва, Ленинградский проспект д.37, пом. 46, комн. 21;7734590878;7-495-2801000coordinator@esp-plus.ru
№ 0336100012520000145;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000145;Работа комиссии;Строительный контроль при проведении работ по объекту: «Капитальный ремонт автомобильнойдорогиР-56Великий Новгород– Сольцы – Порхов – Псков на участке км 4+397 – км 38+650,Новгородскаяобласть. II этап км 17+667 – км 38+650»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.12.2020;23 923 839,40 ₽;;;;;;;;;;;;;;
№ 0336100012520000143;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000143;Определение поставщика завершено;Ремонт моста через реку Ситня на км 102+022 автомобильнойдорогиР-56Великий Новгород– Сольцы – Порхов - Псков,Новгородскаяобласть;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";16.12.2020;105 329 028,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0336100012520000143;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЕНИКС""";;105 329 028,00;;;;;;
