Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0330100010521000008;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000008;Подача заявок;"Оказание услуг по содержаниюавтомобильнойдорогиобщего пользования федерального значения Р-132""Золотое кольцо"" Ярославль - Кострома - Иваново -Владимир- ГусьХрустальный - Рязань - Михайлов - Тула - Калуга - Вязьма - Ржев - Тверь - Углич- Ярославль, Ярославская область (участок от границы Тверскойобласти - г. Ярославль)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";03.02.2021;23 926 732,00 ₽;;;;;;;;;;;;;;
№ 0128200000121000251;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000251;Подача заявок;Ремонт автомобильнойдорогипо ул.Перфильева - ул.Коссович (от дома №10  ул.Перфильева до дома №3 ул.Коссович, от дома №3 до дома №1 ул.Коссович) г.АлександровВладимирскойобласти в 2021 году;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙВЛАДИМИРСКОЙОБЛАСТИ;03.02.2021;4 483 468,00 ₽;;;;;;;;;;;;;;
№ 0128200000121000246;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000246;Подача заявок;Ремонт автомобильнойдорогипо ул.Гусева (от пересечения с ул.Нахимова до пересечения с ул.Матросова) г.АлександровВладимирскойобласти в 2021 году;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙВЛАДИМИРСКОЙОБЛАСТИ;03.02.2021;3 102 554,00 ₽;;;;;;;;;;;;;;
№ 0128200000121000243;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000243;Подача заявок;Ремонт автомобильнойдорогипо ул.3-я Краснорощинская — ул.Северная — ул.Железнодорожная (от дома №25 ул.Советская до дома №1а ул.Северная, от дома №23 ул.Краснорощинская до дома №19 ул.Железнодорожная) г.АлександровВладимирскойобласти в 2021 году;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙВЛАДИМИРСКОЙОБЛАСТИ;03.02.2021;7 542 586,00 ₽;;;;;;;;;;;;;;
№ 0128200000121000240;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000240;Подача заявок;Ремонт автомобильнойдорогиобщего пользования местного значения по ул. Калинина (от д.3 по ул. Калинина до д.2 по ул. Старых Большевиков, от ГТС на р. Гусь до памятника В.И. Ленина) муниципального образования город Гусь-ХрустальныйВладимирскойобласти;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙВЛАДИМИРСКОЙОБЛАСТИ;03.02.2021;7 264 899,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000007;Подача заявок;"Осуществление строительного контроля за объектом: Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Устройство стационарного электрического освещения на автомобильнойдорогеМ-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа на участках км 788+300 - км 794+650, км 796+600 - км 801+900, км 802+100 - км 806+400, км 809+300 - км 813+800, км 817+100 - км 826+930, Республика Татарстан";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;12 666 140,00 ₽;;;;;;;;;;;;;;
№ 0301100012721000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0301100012721000002;Подача заявок;"Содержание действующей сетиавтомобильныхдорогобщего пользования федерального значения ( ...  «Устройство слоевизноса на автомобильнойдорогеА-305 Оренбург- Илек-граница ... ; Устройство слоев износа на автомобильнойдорогеА-305 Оренбург-Илек-граница ...  износа на автомобильнойдорогеМ-7 ""Волга"" Москва –Владимир– Нижний Новгород – Казань ... ; Устройство слоев износа на автомобильнойдорогеР-240 Уфа -Оренбург на ... ;Устройство слоев износа на автомобильнойдорогеР-239 Казань - Оренбург -Акбулак ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ПРИУРАЛЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА """;02.02.2021;360 895 796,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000006;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000006;Подача заявок;"Осуществление строительного контроля за объектом: Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Строительство пешеходных переходов в разных уровнях на км 617+700, км 619+300 автомобильнойдорогиМ-7 ""Волга"" Москва -Владимир- Нижний Новгород - Казань - Уфа, Чувашская Республика";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;1 914 230,00 ₽;;;;;;;;;;;;;;
№ 0128200000121000179;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000179;Подача заявок;Ремонт автомобильнойдорогиобщего пользования местного значения п. Гусевский-3 ул. Главная (от д.8а до д.30, от д.1а по ул. Главная п. Гусевский-3 до д.1б по ул. Советская п. Гусевский) муниципального образования город Гусь-ХрустальныйВладимирскойобласти;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙВЛАДИМИРСКОЙОБЛАСТИ;02.02.2021;6 419 583,00 ₽;;;;;;;;;;;;;;
№ 0315100000321000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0315100000321000002;Подача заявок;Строительный контроль по объекту: «Ремонт автомобильнойдорогиМ-7 «Волга» Москва –Владимир– Нижний Новгород – Казань – Уфа, подъезд к г. Пермь, км 477+644 – км 509+867, Пермский край»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.02.2021;21 296 448,00 ₽;;;;;;;;;;;;;;
