Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0329600001321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0329600001321000001;Подача заявок;Зимнее содержание автомобильныхдорогс твердым покрытием в городском поселении г. Новоаннинский;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННАЯ СЛУЖБА И БЛАГОУСТРОЙСТВО"" ГОРОДСКОГО ПОСЕЛЕНИЯ Г. НОВОАННИНСКИЙ НОВОАННИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОЛГОГРАДСКОЙОБЛАСТИ";02.02.2021;644 371,86 ₽;;;;;;;;;;;;;;
№ 0853500000321000151;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0853500000321000151;Подача заявок;Ямочный ремонт асфальтобетонного покрытиядорогпо улицам: Карла Маркса, Фрунзе,  ... , Льва Толстого, Геологов, Староэлеваторская, Яновского,Волгоградская, Красноармейская, Автомобилистов, Киевская, Ворошилова, Энергетиков ...;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";02.02.2021;3 247 301,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000011;Подача заявок;Капитальный ремонтавтодорогипо ул. Володарского (от ул. Клары Цеткин до пер.Волгоградского)в Володарском районе г. Брянска;БРЯНСКАЯ ГОРОДСКАЯ АДМИНИСТРАЦИЯ;29.01.2021;21 161 140,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000006;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000006;Подача заявок;"Разработка проектной документации: ""Капитальный ремонт моста через реку Вяжля на км 31+810 автомобильнойдорогиА-298 автомобильнаядорогаР-208 ""Тамбов - Пенза"" - Саратов - Пристанное - Ершов - Озинки - граница с Республикой Казахстан, Тамбовская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";27.01.2021;3 895 927,00 ₽;;;;;;;;;;;;;;
№ 0129200005321000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0129200005321000015;Определение поставщика завершено;"Строительство автомобильнойдороги""Подъезд от автомобильнойдороги""Курганный – Клетская"" к х.Казачий"" в Клетском муниципальном районеВолгоградскойобласти";КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОКВОЛГОГРАДСКОЙОБЛАСТИ;26.01.2021;89 381 840,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0129200005321000015;КОМИТЕТ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА ВОЛГОГРАДСКОЙ ОБЛАСТИ;;;;;;;;;;;;
№ 0860400000321000006;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000321000006;Подача заявок;Выполнение работ по содержанию автомобильнойдорогиР-229 Самара-Пугачев-Энгельс-Волгоградна участке км 111+150 - км 509+760;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;1 104 080 379,00 ₽;;;;;;;;;;;;;;
№ 0860400000321000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000321000005;Подача заявок;Выполнение работ по объекту: «Устройство защитных слоев на автомобильнойдорогеР-228 Сызрань-Саратов-Волгоградна участке км 267+700 – 270+700 (старое направление с. Шевыревка), Саратовская область»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;18 866 019,00 ₽;;;;;;;;;;;;;;
№ 0860400000321000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000321000004;Подача заявок;Выполнение работ по объекту: «Устройство защитных слоев на автомобильнойдорогеР-228 Сызрань-Саратов-Волгоградна участке км 47+000 – 57+000, Саратовская область».;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;78 088 511,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000005;Подача заявок;Проведение строительного контроля при осуществлении капитального ремонта объекта: «Капитальный ремонтмоста через реку Хопер на км 615+182 автомобильнойдорогиР-22 «Каспий» автомобильнаядорогаМ-4 «Дон» – Тамбов –Волгоград– Астрахань, Воронежская область»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;30 130 705,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000004;Подача заявок;"Капитальный ремонт моста через реку Хопер на км 615+182 автомобильнойдорогиР-22 ""Каспий"" автомобильнаядорогаМ-4 ""Дон"" - Тамбов -Волгоград- Астрахань, Воронежская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАДФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;1 135 558 058,00 ₽;;;;;;;;;;;;;;
