Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0330100010521000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000007;Подача заявок;"Ремонтавтомобильнойдорогиобщего пользования федерального значения М-8""Холмогоры"" Москва - Ярославль -Вологда- Архангельск на участке км844+628 - км 862+000 в Архангельской области";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;344 639 186,00 ₽;;;;;;;;;;;;;;
№ 32109951336;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109951336;Подача заявок;Поставка двуокиси углерода газообразной (углекислота) для нуждВологодскогоотряда филиала ФГП ВО ЖДТ России на Северной железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";02.02.2021;224 125,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000006;Подача заявок;"Установкапешеходного ограждения на участках: км475+812 - 475+929 (справа), км475+782 -475+916 (слева) автомобильнойдорогиобщего пользования федерального значенияМ-8 ""Холмогоры"" Москва - Ярославль -Вологда- Архангельск,Вологодскаяобласть; установка светофорного объекта на пешеходном переходе (скнопкой вызова) с изменением схемы организации дорожного движения на км 475+864автомобильнойдорогиобщего пользования федерального значения М-8 ""Холмогоры""Москва - Ярославль -Вологда- Архангельск,Вологодскаяобласть";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";01.02.2021;2 400 000,00 ₽;;;;;;;;;;;;;;
№ 0130200002421000064;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130200002421000064;Подача заявок;Поставка средств автотранспортных;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАВОЛОГОДСКОЙОБЛАСТИ;27.01.2021;1 921 800,00 ₽;;;;;;;;;;;;;;
№ 0348100042421000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100042421000005;Подача заявок;"Выполнение работ по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки). Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль -Вологда- Архангельск на участке км 16+600 - км 20+200 (лево 1,2,3 полосы), Московская область; Устройство слоев износа на автомобильнойдорогеМ-8 ""Холмогоры"" Москва - Ярославль -Вологда- Архангельск на участке км 16+600 - км 20+200 (право 1,2,3 полосы), Московская область (лот 5)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.01.2021;125 972 220,81 ₽;;;;;;;;;;;;;;
№ 0130300005721000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0130300005721000002;Подача заявок;Выполнение работ по содержанию автомобильныхдорогв городе НикольскВологодскойобласти;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НИКОЛЬСК;26.01.2021;1 504 320,00 ₽;;;;;;;;;;;;;;
№ 32109920009;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109920009;Закупка завершена;Оказание услуг по обязательному психиатрическому освидетельствованию работников филиала ФГП ВО ЖДТ России на Северной железнойдороге(г.Вологда);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";25.01.2021;40 500,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000002;Подача заявок;"Ремонт мостачерез реку Печегда на км 181+319 автомобильнойдорогиМ-8 ""Холмогоры""Москва - Ярославль -Вологда- Архангельск, Ярославская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";25.01.2021;86 147 784,00 ₽;;;;;;;;;;;;;;
№ 32109919060;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109919060;Подача заявок;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 10/ЗКТЭ-СЕВ/21 на право заключения договора оказания услуг по техническому обслуживанию и текущему ремонту автомобилейВологодскогоучастка;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";25.01.2021;624 000,00 ₽;;;;;;;;;;;;;;
№ 0330300051921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330300051921000001;Работа комиссии;Благоустройство общественной территории – центральная площадь п. Можайское, 2 этап.;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РАСЧЕТНО-АНАЛИТИЧЕСКИЙ ЦЕНТРВОЛОГОДСКОГОМУНИЦИПАЛЬНОГО РАЙОНА""";22.01.2021;222 774,73 ₽;;;;;;;;;;;;;;
