Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0131300011221000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300011221000021;Подача заявок;Выполнение работ по нанесению дорожной разметки на улицах г. БорисоглебскаВоронежскойобласти;ОТДЕЛ ПО ФИНАНСАМ АДМИНИСТРАЦИИ БОРИСОГЛЕБСКОГО ГОРОДСКОГО ОКРУГАВОРОНЕЖСКОЙОБЛАСТИ;26.02.2021;3 470 869,00 ₽;;;;;;;;;;;;;;
№ 0131300041021000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300041021000019;Подача заявок;Организация пешеходных коммуникаций ( тротуар по адресу:Воронежскаяобласть, Новоусманский район, с. Рождественская Хава, ул. Карла Маркса);АДМИНИСТРАЦИЯ НОВОУСМАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;25.02.2021;1 889 539,20 ₽;;;;;;;;;;;;;;
№ 0131300000621000133;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300000621000133;Подача заявок;Выполнение работ по восстановлению изношенных верхних слоев асфальтобетонных покрытий;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДВОРОНЕЖ;25.02.2021;13 159 392,75 ₽;;;;;;;;;;;;;;
№ 0131300000621000132;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300000621000132;Подача заявок;Выполнение работ по восстановлению изношенных верхних слоев асфальтобетонных покрытий;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДВОРОНЕЖ;25.02.2021;5 065 196,40 ₽;;;;;;;;;;;;;;
№ 0131300000621000125;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300000621000125;Подача заявок;Выполнение работ по устройству и ремонту тротуаров, установке и замене бортового камня на территории Ленинского района городского округа городВоронеж;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДВОРОНЕЖ;25.02.2021;42 598 270,80 ₽;;;;;;;;;;;;;;
№ 0131200001021000743;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131200001021000743;Подача заявок;"2021-00694)) Ремонт асфальтового покрытия в ДОЛ ""Восход"".";УПРАВЛЕНИЕ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОКВОРОНЕЖСКОЙОБЛАСТИ;24.02.2021;987 000,00 ₽;;;;;;;;;;;;;;
№ 0131300000621000124;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300000621000124;Подача заявок;"Обустройство тротуара и велодорожки вдольавтодороги ""Воронеж-Шилово"" от ул.Курчатова до ул.Теплоэнергетиков";АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДВОРОНЕЖ;24.02.2021;9 777 000,00 ₽;;;;;;;;;;;;;;
№ 32110021753;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110021753;Подача заявок;Конкурс в электронной форме на право заключения Договора на выполнение работ по ремонту путепровода на км 1074+570 автомобильнойдорогиМ-4 «Дон» Москва -Воронеж- Ростов-на-Дону - Краснодар - Новороссийск, Ростовская область(участниками которого могут являться только субъекты малого и среднего предпринимательства);"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕДОРОГИ""";24.02.2021;95 466 540,00 ₽;;;;;;;;;;;;;;
№ 0131300039521000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300039521000010;Подача заявок;"Строительство подъездной автомобильнойдорогик фермам ООО ""Коммуна"" по откорму мелкого рогатого скота в Репьевском муниципальном районеВоронежскойобласти";АДМИНИСТРАЦИЯ РЕПЬЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;20.02.2021;96 664 762,54 ₽;;;;;;;;;;;;;;
№ 0131300041021000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300041021000018;Подача заявок;Устройство тротуарной дорожки по ул.Пролетарская с.Новая Усмань;АДМИНИСТРАЦИЯ НОВОУСМАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;20.02.2021;1 842 670,80 ₽;;;;;;;;;;;;;;
№ 0131300000621000120;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300000621000120;Подача заявок;Устройство тротуарных дорожек от развязки Северного моста до остановки ул. Березовая Роща;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДВОРОНЕЖ;20.02.2021;1 673 888,40 ₽;;;;;;;;;;;;;;
№ 0131300038021000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300038021000014;Подача заявок;Щебенение по ул.Орджоникидзе в г.Эртиль.городского поселения город-Эртиль Эртильского муниципального районаВоронежскойобласти;АДМИНИСТРАЦИЯ ЭРТИЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;20.02.2021;736 068,00 ₽;;;;;;;;;;;;;;
№ 0131300041021000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300041021000016;Подача заявок;Текущий ремонтдорогис. Рогачевка Новоусманского районаВоронежскойобласти;АДМИНИСТРАЦИЯ НОВОУСМАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;19.02.2021;2 801 395,20 ₽;;;;;;;;;;;;;;
№ 0131300016121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300016121000001;Подача заявок;Устройство тротуарной дорожки по ул. Заброденской с. Заброды Калачеевского муниципального районаВоронежскойобласти;АДМИНИСТРАЦИЯ ЗАБРОДЕНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КАЛАЧЕЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;19.02.2021;2 666 206,68 ₽;;;;;;;;;;;;;;
№ 0331300062021000023;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0331300062021000023;Подача заявок;Благоустройство тротуара от дома по адресу: ул. 50 лет ВЛКСМ, д. 5 до дома по адресу: ул. 50 лет Октября, д.15 в р.п. Рамонь Рамонского районаВоронежскойобласти.;ОТДЕЛ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ РАМОНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;18.02.2021;3 095 212,80 ₽;;;;;;;;;;;;;;
№ 0331300062021000022;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0331300062021000022;Подача заявок;Устройство тротуара от детского сада № 4 до ул. 50 лет Октября, р.п. Рамонь Рамонского муниципального районаВоронежскойобласти;ОТДЕЛ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ РАМОНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;18.02.2021;2 306 653,20 ₽;;;;;;;;;;;;;;
№ 0131300000621000102;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300000621000102;Подача заявок;Ремонт автомобильныхдорог: ул. Помяловского (от ул. 20-летия ВЛКСМ до сквера Помяловского);АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДВОРОНЕЖ;18.02.2021;4 667 237,96 ₽;;;;;;;;;;;;;;
№ 0331300155521000014;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0331300155521000014;Подача заявок;Приобретение дорожной краски (эмали) для разметкидорогАК-511;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ПОСЕЛЕНИЯ ГОРОД РОССОШЬ РОССОШАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ ""ГОРОДСКОЕ БЛАГОУСТРОЙСТВО""";17.02.2021;332 382,00 ₽;;;;;;;;;;;;;;
№ 0331300062021000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0331300062021000021;Работа комиссии;Ремонт автомобильныхдорог, расположенных на территории Рамонского городского поселения Рамонского муниципального районаВоронежскойобласти;ОТДЕЛ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ РАМОНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;16.02.2021;1 052 388,00 ₽;;;;;;;;;;;;;;
№ 0331300062021000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0331300062021000020;Подача заявок;Приобретение илососной машины ТКМ-621 (или эквивалент) на шасси КАМАЗ-53605 ЕВРО 5 (или эквивалент) для нужд администрации Рамонского городского поселения Рамонского муниципального районаВоронежскойобласти;ОТДЕЛ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ РАМОНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАВОРОНЕЖСКОЙОБЛАСТИ;16.02.2021;8 550 000,00 ₽;;;;;;;;;;;;;;
№ 0131300011221000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0131300011221000016;Определение поставщика завершено;Выполнение работ по ямочному ремонту автомобильныхдорогна территории г.Борисоглебска;ОТДЕЛ ПО ФИНАНСАМ АДМИНИСТРАЦИИ БОРИСОГЛЕБСКОГО ГОРОДСКОГО ОКРУГАВОРОНЕЖСКОЙОБЛАСТИ;16.02.2021;1 003 900,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0131300011221000016;АДМИНИСТРАЦИЯ БОРИСОГЛЕБСКОГО ГОРОДСКОГО ОКРУГА ВОРОНЕЖСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ БЛАГОУСТРОЙСТВА"" БОРИСОГЛЕБСКОГО ГОРОДСКОГО ОКРУГА";;1 003 900,00;;;;;;
