Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0330100010521000008;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000008;Подача заявок;"Оказание услуг по содержаниюавтомобильнойдорогиобщего пользования федерального значения Р-132""Золотое кольцо"" Ярославль - Кострома -Иваново- Владимир - ГусьХрустальный - Рязань - Михайлов - Тула - Калуга - Вязьма - Ржев - Тверь - Углич- Ярославль, Ярославская область (участок от границы Тверскойобласти - г. Ярославль)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";03.02.2021;23 926 732,00 ₽;;;;;;;;;;;;;;
№ 0136300004321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300004321000004;Подача заявок;Выполнение необходимого комплекса работ по объекту: «Ремонт автомобильнойдорогиобщего пользования местного значения «Крутец-Богатырево-Ивановское» с/пос. Киверичи Рамешковского района Тверской области»;АДМИНИСТРАЦИЯ РАМЕШКОВСКОГО РАЙОНА;02.02.2021;5 258 539,00 ₽;;;;;;;;;;;;;;
№ 0833600000821000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0833600000821000017;Подача заявок;Содержание, ремонт и установка ТСОДД;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ""";01.02.2021;1 990 327,99 ₽;;;;;;;;;;;;;;
№ 32109947481;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109947481;Закупка завершена;Поставка ГСМ для нужд филиала ФГП ВО ЖДТ России на Северной железнойдорогев Ярославской, Костромской,Ивановскойобластях;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";01.02.2021;2 373 855,50 ₽;;;;;;;;;;;;;;
№ 0171200001921000022;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0171200001921000022;Подача заявок;Выполнение работ по ремонтуавтодороги«Ярославль-Заячий Холм-а/д «Иваново-Писцово-Гаврилов-Ям-Ярославль»-д.Алексеевское»;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯРОСЛАВСКОЙ ОБЛАСТИ;01.02.2021;5 781 010,80 ₽;;;;;;;;;;;;;;
№ 0133300031421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0133300031421000001;Подача заявок;Выполнение работ по зимнему содержаниюдорогна территории Лухского городского поселения Лухского муниципального районаИвановскойобласти;УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА, БЛАГОУСТРОЙСТВА И ДОРОЖНОЙ ДЕЯТЕЛЬНОСТИ АДМИНИСТРАЦИИ ЛУХСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;29.01.2021;1 100 000,00 ₽;;;;;;;;;;;;;;
№ 0832200006621000008;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0832200006621000008;Подача заявок;"Выполнение работ по реконструкции объекта ""Ивановскийсъезд на территории Нижегородского Кремля""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ЦЕНТР РАЗМЕЩЕНИЯ ЗАКАЗА НИЖЕГОРОДСКОЙ ОБЛАСТИ""";29.01.2021;146 580 426,92 ₽;;;;;;;;;;;;;;
№ 0133200001721000055;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0133200001721000055;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиЗаволжск-Островское в Заволжском районеИвановскойобласти;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВИВАНОВСКОЙОБЛАСТИ;29.01.2021;220 469 350,00 ₽;;;;;;;;;;;;;;
№ 0833600000821000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0833600000821000015;Подача заявок;Текущий ремонтдорог;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ""";28.01.2021;5 396 478,82 ₽;;;;;;;;;;;;;;
№ 0133300020021000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0133300020021000005;Подача заявок;Содержание автомобильныхдорог;АДМИНИСТРАЦИЯИВАНОВСКОГОМУНИЦИПАЛЬНОГО РАЙОНА;27.01.2021;5 000 000,00 ₽;;;;;;;;;;;;;;
№ 0133300020021000004;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0133300020021000004;Подача заявок;Оказание услуг по разработке проекта организации дорожного движения на автомобильныедороги Ивановскогомуниципального района;АДМИНИСТРАЦИЯИВАНОВСКОГОМУНИЦИПАЛЬНОГО РАЙОНА;27.01.2021;200 000,00 ₽;;;;;;;;;;;;;;
