Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0105500000221000073;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000073;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Георгиевск – Буденновск – Улан Хол на участке км 300 – км 310;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;127 781 878,32 ₽;;;;;;;;;;;;;;
№ 0105500000221000072;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000072;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Утта – Юста – Цаган Аман на участке км 47 – км 59;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;142 653 024,18 ₽;;;;;;;;;;;;;;
№ 0105500000221000071;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000071;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Яшкуль – Комсомольский – Артезиан на участке км 40 – км 50;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;130 497 727,18 ₽;;;;;;;;;;;;;;
№ 0105500000221000070;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000070;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Яшалта – Соленое – Дивное на участке км 38 – км 48;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;99 395 339,63 ₽;;;;;;;;;;;;;;
№ 0105500000221000069;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000069;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Улан Хол – Лагань на участке км 18,281 – км 27;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;86 100 697,60 ₽;;;;;;;;;;;;;;
№ 0105500000221000068;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000068;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Подъезд от автомобильнойдорогифедерального значения Подъезд к г. Элиста от автомобильнойдорогифедерального значения Р-22 «Каспий» к с. Садовое км 0 – км 4,5;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;51 775 642,28 ₽;;;;;;;;;;;;;;
№ 0105500000221000067;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0105500000221000067;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиобщего пользования регионального значения Малые Дербеты – Большой Царын на участке км 47,5 – км 56,5;СЛУЖБА РЕГУЛИРОВАНИЯ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;102 815 360,08 ₽;;;;;;;;;;;;;;
№ 0105300004421000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0105300004421000002;Подача заявок;Выполнение работ по  содержанию автомобильныхдорогобщего пользования местного значения в чистоте и порядке, очистка их от мусора и посторонних предметов;АДМИНИСТРАЦИЯ ГОРОДОВИКОВСКОГО РАЙОННОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИКАЛМЫКИЯ;10.02.2021;302 120,00 ₽;;;;;;;;;;;;;;
№ 0105300000721000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0105300000721000002;Определение поставщика завершено;Ремонт автомобильнойдорогипо ул. Пашкова (от ул. Номинханова до ул. Юго-Западная) в г. Элисте РеспубликиКалмыкия.;АДМИНИСТРАЦИЯ ГОРОДА ЭЛИСТЫ;26.01.2021;29 858 420,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0105300000721000002;УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА,ТРАНСПОРТА И БЛАГОУСТРОЙСТВА АДМИНИСТРАЦИИ ГОРОДА ЭЛИСТЫ;;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ МОНТАЖ""";;29 709 127,90;;;;;;
№ 0105300000721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0105300000721000001;Определение поставщика завершено;Ремонт автомобильнойдорогипо ул. Номинханова в г. Элисте РеспубликиКалмыкия.;АДМИНИСТРАЦИЯ ГОРОДА ЭЛИСТЫ;26.01.2021;23 869 471,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0105300000721000001;УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА,ТРАНСПОРТА И БЛАГОУСТРОЙСТВА АДМИНИСТРАЦИИ ГОРОДА ЭЛИСТЫ;;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ МОНТАЖ""";;23 750 123,64;;;;;;
№ 0318100043421000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043421000003;Подача заявок;Оказание услуг по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения. Автомобильнаядорогаобщего пользования федерального значения Р-215 Астрахань - Кочубей - Кизляр - Махачкала на участке граница РеспубликиКалмыкия- н.п. Артезиан, РеспубликаКалмыкия, 3этап (ПК 0+000 - ПК 150+000);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;69 353 497,00 ₽;;;;;;;;;;;;;;
№ 0318100043421000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043421000002;Подача заявок;"Оказание услуг по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения. Содержание АСМО, ПУИД, ТПИ, ТПУ, СПВК, ЦУП ФКУ Упрдор ""Каспий"" и элементов обустройства автомобильныхдорогв Астраханской области и РеспубликеКалмыкия";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;204 236 502,00 ₽;;;;;;;;;;;;;;
№ 0318100043421000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318100043421000001;Подача заявок;Оказание услуг по содержанию действующей сети автомобильныхдорогобщего пользования федерального значения. Содержание АСМО, ПУИД, ТПИ, ТПУ, элементов обустройства автомобильныхдороги нанесение дорожной разметки в РеспубликеКалмыкия;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""КАСПИЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.01.2021;318 307 214,00 ₽;;;;;;;;;;;;;;
