Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32109939928;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109939928;Подача заявок;"Выполнение комплекса работ по ремонту лотков системы водоотведения ливневых поверхностных сточных вод, расположенных вдоль автомобильныхдорогобщего пользования местного значения в границах МО "" Город Обнинск"" на ул. Шацкого.";"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКАКАЛУЖСКОЙОБЛАСТИ ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО""";29.01.2021;2 812 525,57 ₽;;;;;;;;;;;;;;
№ 0137200001221000067;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0137200001221000067;Подача заявок;Выполнение работ по реконструкции автомобильнойдорогиКозельск-Ульяново-Дудоровский-Хвастовичи на участке с км 10+980 по км 13+365, с. Волконское в Козельском районе (устройство тротуаров);МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИКАЛУЖСКОЙОБЛАСТИ;28.01.2021;17 612 659,00 ₽;;;;;;;;;;;;;;
№ 0137200001221000064;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0137200001221000064;Подача заявок;Выполнение работ по реконструкции автомобильнойдорогиМалоярославец-Боровск в Боровском районе (устройство электроосвещения,  тротуаров и автобусных остановок на участке  с км 15+630 по км 17+100, д. Тимашово);МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИКАЛУЖСКОЙОБЛАСТИ;28.01.2021;22 043 436,00 ₽;;;;;;;;;;;;;;
№ 0127200000221000102;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127200000221000102;Подача заявок;"Выполнение подрядных работ по объекту: ""Капитальный ремонт автомобильнойдорогиБрянск - Дятьково - границаКалужскойобласти на участках  км 8+797-км 9+863, км 13+403-км 15+414, км 17+590-км 22+719, км 30+505-км 31+299, км 32+417-км 32+576, км 33+367-км 35+056  в Брянском и Дятьковском районах Брянской области""";УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;26.01.2021;176 974 073,16 ₽;;;;;;;;;;;;;;
№ 0348100042421000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100042421000004;Подача заявок;"Выполнение работ по ремонту действующей сети автомобильныхдорогобщего пользования федерального значения. Ремонт автомобильнойдорогиА-108 ""Московское большое кольцо""  Дмитров - Сергиев Посад - Орехово-Зуево - Воскресенск - Михнево - Балабаново - Руза - Клин - Дмитров. Подъезд к государственному комплексу ""Таруса"",Калужскаяобласть (лот 4)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";26.01.2021;88 202 781,00 ₽;;;;;;;;;;;;;;
№ 0169300024821000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300024821000018;Работа комиссии;Строительствоавтодорогиот с. Пашнино доавтодорогиКанашево-Калуга-Соловьевка в Красноармейском муниципальном районе Челябинской области;АДМИНИСТРАЦИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;26.01.2021;156 137 188,00 ₽;;;;;;;;;;;;;;
№ 32109915633;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109915633;Работа комиссии;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 8/ЗКТЭ-ДЖВ/21 на право заключения договора оказания услуг по вывозу и утилизации ртутных люминесцентных и ультрафиолетовых бактерицидных ламп на вокзалах Московской региональной дирекции железнодорожных вокзалов (вокзалы Белорусский, Казанский, Киевский, Павелецкий, Рижский, Савеловский, Ярославский, Брянск-Орловский,Калуга-1, Курск, Орел, Рязань-1,2, Смоленск, Тула).;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.01.2021;1 023 514,80 ₽;;;;;;;;;;;;;;
№ 32109911724;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109911724;Закупка завершена;Разработка годовых потребностей в ресурсах (трудовых, материальных, машин и механизмов), необходимых для содержания и ремонта автомобильныхдороги объектов благоустройства МО «Город Обнинск» на период 2021-2023г.г.;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКАКАЛУЖСКОЙОБЛАСТИ ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО""";21.01.2021;485 000,00 ₽;;;;;;;;;;;;;;
№ 0137300000321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0137300000321000004;Подача заявок;"Содержание автомобильныхдороггородского поселения ""Город Мещовск""  в 2021 году (Реестровый номер:08Э-09/21сб)";"АДМИНИСТРАЦИЯ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН) МУНИЦИПАЛЬНОГО РАЙОНА ""МЕЩОВСКИЙ РАЙОН""КАЛУЖСКОЙОБЛАСТИ";20.01.2021;3 200 569,20 ₽;;;;;;;;;;;;;;
№ 0137300000321000002;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0137300000321000002;Определение поставщика завершено;"Содержание автомобильныхдороггородского поселения ""Город Мещовск""  в 2021 году";"АДМИНИСТРАЦИЯ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН) МУНИЦИПАЛЬНОГО РАЙОНА ""МЕЩОВСКИЙ РАЙОН""КАЛУЖСКОЙОБЛАСТИ";12.01.2021;299 430,80 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0137300000321000002;"АДМИНИСТРАЦИЯ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН) МУНИЦИПАЛЬНОГО РАЙОНА ""МЕЩОВСКИЙ РАЙОН"" КАЛУЖСКОЙ ОБЛАСТИ";;По окончании срока подачи заявок подана только одна заявка (ч. 14 ст. 82.3 Закона № 44-ФЗ). Заявка соответствует требованиям.;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАВИЙ""";;299 430,00;;;;;;
