Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0306200005121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306200005121000001;Подача заявок;Поставка оборудования передвижных автоматизированных комплексов фото - видеофиксации нарушений правил дорожного движения РФ;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";02.02.2021;24 934 000,00 ₽;;;;;;;;;;;;;;
№ 0106300002621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0106300002621000001;Подача заявок;выполнение работ по содержанию автомобильныхдорогместного значения в границах населенных пунктов Вяртсильского городского поселения РеспубликиКарелия, обеспечению безопасности дорожного движения и необходимого транспортно-эксплуатационного состояния автомобильныхдорогна 2021 год;АДМИНИСТРАЦИЯ ВЯРТСИЛЬСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;27.01.2021;1 072 895,00 ₽;;;;;;;;;;;;;;
№ 0124300016420000229;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0124300016420000229;Определение поставщика завершено;Выполнение работ по содержаниюавтодороги«Развилка на п. Унежма - граница с РеспубликойКарелия»;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";27.12.2020;748 450,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0124300016420000229;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ИНФРАСТРУКТУРНОМУ РАЗВИТИЮ И ЖИЛИЩНО-КОММУНАЛЬНОМУ ХОЗЯЙСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОНЕЖСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Бармин П. Г.;;748 450,00;07.02.2022;02.02.2021;;164892, Архангельская область. Онежский район, п. Золотуха, ул. Октябрьская, д. 17, кв. 2.;Да;8-911-6885274barmin_pavel65@mail.ru
№ 0106300009120000105;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0106300009120000105;Определение поставщика завершено;Оказание услуг по текущему содержанию автомобильныхдорогв границах Олонецкого городского поселения РеспубликиКарелияв зимний период;АДМИНИСТРАЦИЯ ОЛОНЕЦКОГО НАЦИОНАЛЬНОГО МУНИЦИПАЛЬНОГО РАЙОНА;10.12.2020;999 180,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0106300009120000105;АДМИНИСТРАЦИЯ ОЛОНЕЦКОГО НАЦИОНАЛЬНОГО МУНИЦИПАЛЬНОГО РАЙОНА;;;;;;;;;;;;
№ 0306200005120000120;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306200005120000120;Определение поставщика завершено;Оказание услуг по комплексной уборке помещений зданий, расположенных по адресу: г. Петрозаводск, ул. Гоголя, д.28 и ул. Шотмана, 10А, а также прилегающей к ним территорий;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";07.12.2020;1 647 199,07 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0306200005120000120;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ КАРЕЛИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИНИНГ ПТЗ""";1 - Победитель;1 177 292,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗАРТ""";2 - Второй номер;1 185 528,00;31.12.2021;28.12.2020;;185014, РЕСП КАРЕЛИЯ 10, Г ПЕТРОЗАВОДСК, УЛ ДРЕВЛЯНКА (ДРЕВЛЯНКА Р-Н), ДОМ 5, КОРПУС 1, КВАРТИРА 41;1001340210;субъект малого предпринимательства
№ 0306200005120000119;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306200005120000119;Определение поставщика завершено;Разработка проектов организации дорожного движения на обустройство автомобильныхдорогобщего пользования регионального или межмуниципального значения РеспубликиКарелия;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";03.12.2020;9 999 966,46 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0306200005120000119;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ КАРЕЛИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМЕР ПК""";1 - Победитель;5 000 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРНАДЗОР""";2 - Второй номер;9 500 000,00;31.10.2021;12.01.2021;;163000, ОБЛ АРХАНГЕЛЬСКАЯ 29, Г АРХАНГЕЛЬСК, УЛ СВОБОДЫ, ДОМ 29, ОФИС 7;2901230388;субъект малого предпринимательства
№ 0306200005120000118;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306200005120000118;Определение поставщика завершено;Поставка компьютерной техники и расходных материалов;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";02.12.2020;2 491 600,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0306200005120000118;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ КАРЕЛИЯ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;Соловьев А. Ю.;;2 491 600,00;31.12.2020;21.12.2020;;СОЛОВЬЕВ АЛЕКСАНДР ЮРЬЕВИЧИндивидуальный предпринимательИНН:100116985060Датапостановкина учет:02.09.2015;Да;Республика Карелия 10, Город Петрозаводск
№ 0306200005120000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306200005120000117;Определение поставщика завершено;Ремонт участка автомобильнойдорогиОлонец – Питкяранта – Леппясилта, км 73+050 – км 155+720 (выборочно участками) и автомобильнойдорогиСалми – ст. Салми;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";02.12.2020;828 415 540,67 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0306200005120000117;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ КАРЕЛИЯ""";Согласование получено;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВАД""";;30.09.2022;29.12.2020;;30.09.2022;7802059185;29.12.2020
№ 0306200005120000116;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306200005120000116;Определение поставщика завершено;Ремонт автомобильнойдорогиЗаозерье – Пиньгуба, км 0+000 – км 13+400, участка автомобильнойдорогиСоломенное-Ялгуба-Суйсарь (выборочно участками) и автомобильнойдорогиПодъезд к м. Падас;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";02.12.2020;711 076 390,60 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0306200005120000116;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ КАРЕЛИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙПРИРОДРЕСУРС""";1 - Победитель;707 521 008,64;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНДОПОЖСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";2 - Второй номер;711 076 390,60;30.09.2022;11.01.2021;;30.09.2022;3525287729;11.01.2021
№ 0306200005120000115;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0306200005120000115;Определение поставщика завершено;Ремонт автомобильнойдорогиПетрозаводск - Лососинное, км 5+804 - км 17+017,  автомобильнойдорогиЛососинное - Машезеро, км 0+000 - км 11+500 и автомобильнойдорогиМашезеро - Шапшезеро;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИКАРЕЛИЯ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИКАРЕЛИЯ""";02.12.2020;749 000 924,18 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0306200005120000115;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАРЕЛИЯ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ КАРЕЛИЯ""";Согласование получено;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОСТРОЙ""";;30.09.2022;29.12.2020;;30.09.2022;7813250320;29.12.2020
