Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0339300000121000062;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0339300000121000062;Подача заявок;"Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения: ул. Ишимская, от ул. Мариинская до ул. Суворова; ул. Шахтерская, от ул. Ишимская до пер. Клубный; пер. Клубный, от ул. Артельная до ул. Шахтерская; ул. Горноспасательная, от ул. Варшавская до ул. Артельная  в г.Кемерово";АДМИНИСТРАЦИЯ ГОРОДАКЕМЕРОВО;10.02.2021;86 863 182,00 ₽;;;;;;;;;;;;;;
№ 0319100010321000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0319100010321000007;Подача заявок;"Выполнение работ по расходам на  подготовку документации по планировке территории и обоснования инвестиций в целях создания объектов капитального строительства федеральной собственности. АвтомобильнаядорогаР-255 ""Сибирь"" Новосибирск -Кемерово- Красноярск - Иркутск на участке км 852+000 - км 878+000, Красноярский край";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЕНИСЕЙ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;6 292 000,00 ₽;;;;;;;;;;;;;;
№ 0339300000121000059;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0339300000121000059;Подача заявок;"Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения: ул ...  до ул. Декабрьская; автомобильнаядорогаот ул. Декабрьская до ...  Бухарская, 68 в г.Кемерово";АДМИНИСТРАЦИЯ ГОРОДАКЕМЕРОВО;10.02.2021;152 400 557,00 ₽;;;;;;;;;;;;;;
№ 32109975695;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975695;Подача заявок;Поставка материалов для зарядки и ремонта огнетушителей для нужд пожарного поезда на ст.Кемерово-Сортировочное Кузбасского отряда филиала ФГП ВО ЖДТ России на Западно-Сибирской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;102 000,00 ₽;;;;;;;;;;;;;;
№ 0339300000121000055;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0339300000121000055;Подача заявок;Выполнение работ по благоустройству (капитальному ремонту) дворовой территории многоквартирного дома, расположенного по адресу: г.Кемерово, просп. Ленинградский, 49 Б;АДМИНИСТРАЦИЯ ГОРОДАКЕМЕРОВО;09.02.2021;5 889 435,12 ₽;;;;;;;;;;;;;;
№ 0339300000121000054;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0339300000121000054;Подача заявок;Выполнение работ по благоустройству (капитальному ремонту) дворовой территории многоквартирного дома, расположенного по адресу: г.Кемерово, просп. Московский, 13 А;АДМИНИСТРАЦИЯ ГОРОДАКЕМЕРОВО;09.02.2021;6 671 877,12 ₽;;;;;;;;;;;;;;
№ 0334100007521000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0334100007521000020;Подача заявок;"Прочая закупка для обеспечения государственных нужд - Устройство слоёв износа на автомобильнойдорогеР-255 ""Сибирь"" Новосибирск -Кемерово- Красноярск - Иркутск на участке км 1166+800 - км 1177+000, Иркутская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ КРАСНОЯРСК - ИРКУТСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";08.02.2021;83 760 000,00 ₽;;;;;;;;;;;;;;
№ 0334100007521000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0334100007521000019;Подача заявок;"Прочая закупка для обеспечения государственных нужд - Устройство слоёв износа на автомобильнойдорогеР-255 ""Сибирь"" Новосибирск -Кемерово- Красноярск - Иркутск на участке км 1389+000 - км 1398+000, Иркутская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ КРАСНОЯРСК - ИРКУТСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";08.02.2021;76 163 000,00 ₽;;;;;;;;;;;;;;
№ 0139200000121000309;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121000309;Подача заявок;Выполнение работ по содержанию автомобильныхдорог: планово-предупредительные работы на мосту через р. Исток на автомобильнойдорогеНовосибирск – Ленинск-Кузнецкий –Кемерово– Юрга, км 151+540.;ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;08.02.2021;6 046 286,90 ₽;;;;;;;;;;;;;;
№ 0139200000121000303;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121000303;Подача заявок;Выполнение работ по капитальному ремонту автомобильныхдорог: устройство наружного освещения автомобильнойдорогиНовосибирск-Ленинск-Кузнецкий-Кемерово-Юрга, км 348+000 – км 351+000.;ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА;05.02.2021;18 685 770,52 ₽;;;;;;;;;;;;;;
