Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0152200004721000028;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0152200004721000028;Подача заявок;Выполнение работ по ремонту автомобильныхдорогв городе Называевске Омской области (ул. Дорожная (от дома №26 до ул. Путевая), ул. 35 лет Победы (от пер. Спортивный до ул.Кирова)I этап, ул. 8 Марта (от ул. Первомайская до ул. Красноармейская) I этап, ул. Красноармейская (от ул. 8 Марта до ул. Энергетиков) I этап, ул. Колхозная (от ул.Кировадо ул. 2-я Рабочая))(Реестровый номер 21.33.0037);ГЛАВНОЕ УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ ОМСКОЙ ОБЛАСТИ;10.02.2021;15 931 334,06 ₽;;;;;;;;;;;;;;
№ 0140600016321000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140600016321000002;Подача заявок;Выполнение работ по дополнительному содержанию улично - дорожной сети и тротуаров в муниципальном образовании Свечинский муниципальный округКировскойобласти в зимний период 2021 года в соответствии с перечнями улично-дорожной сети Свечинского муниципального округа и тротуаров для распределения песко-соляной смеси;АДМИНИСТРАЦИЯ СВЕЧИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГАКИРОВСКОЙОБЛАСТИ;10.02.2021;196 685,00 ₽;;;;;;;;;;;;;;
№ 0120300015621000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0120300015621000006;Подача заявок;Ремонт придомовых территорий многоквартирных домов кп. Горные КлючиКировскогорайона Приморского края;АДМИНИСТРАЦИЯ ГОРНОКЛЮЧЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;10.02.2021;3 042 266,00 ₽;;;;;;;;;;;;;;
№ 0169300042921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300042921000001;Подача заявок;Ремонт проезжей части ул.Кировав пос. Ук;АДМИНИСТРАЦИЯ  УКСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;10.02.2021;2 057 405,00 ₽;;;;;;;;;;;;;;
№ 0121600023621000006;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000006;Подача заявок;выполнение подрядных работ по ремонту автомобильныхдорогобщего пользования местного значения в с. Новая Жизнь (ул. Комсомольская (от ул. Шоссейной до дома №35), ул.Кировская(от ул. Буденного до жилого дома №36 кв.2), ул. Новая, ул. Южная, ул. Центральная (от ул. Новой до жилого дома №46) (ул. Комсомольская от ул. Шоссейной до дома №35), являющихся собственностью Буденновского муниципального округа, для обеспечения муниципальных нужд Буденновского муниципального округа Ставропольского края;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ;09.02.2021;2 767 941,30 ₽;;;;;;;;;;;;;;
№ 0318300028421000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300028421000018;Подача заявок;... , ул. Дружбы, ул.Кирова, ул. Красноармейская, ул. ...;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДИНСКОЙ РАЙОН;09.02.2021;1 027 478,24 ₽;;;;;;;;;;;;;;
№ 0152200004721000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0152200004721000018;Подача заявок;Выполнение работ по ремонту автомобильныхдорогв г. Калачинске ( ... . Промышленная), ул.Кирова(от дома № 1 до ...  Калнина (от ул.Кировадо ул. Союзная) ...;ГЛАВНОЕ УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ ОМСКОЙ ОБЛАСТИ;09.02.2021;46 758 034,80 ₽;;;;;;;;;;;;;;
№ 0340200003321000781;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000781;Подача заявок;Выполнение работ по ремонтуавтодорогиот ул. Ленина  до ж/д переезда «Боево» (участок по ул. 60 лет Октября);"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";09.02.2021;66 808 424,55 ₽;;;;;;;;;;;;;;
№ 0146300006021000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300006021000005;Подача заявок;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения с  ...  покрытия по объектам: ул.Кировскаяв с. Волчье, по ...  проезду с ул.Кировскаяна ул. Зеленая в ...;АДМИНИСТРАЦИЯ ДОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;09.02.2021;13 420 887,00 ₽;;;;;;;;;;;;;;
№ 0121600011821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600011821000001;Подача заявок;Ремонт асфальтового покрытия внутридворовой территории по ул. Клубной 21/1, 21/2, 21/3 п. КомсомолецКировскогогородского округа Ставропольского края;КОМСОМОЛЬСКИЙ ТЕРРИТОРИАЛЬНЫЙ ОТДЕЛ АДМИНИСТРАЦИИКИРОВСКОГОГОРОДСКОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ;09.02.2021;798 464,00 ₽;;;;;;;;;;;;;;
