Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0340200003321000488;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000488;Подача заявок;Выполнение работ по благоустройству пешеходной зоны по адресу: ул. Рокина г. УржумаКировскойобласти (от ул. Елкина до ул. Кирова нечетная сторона);"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";03.02.2021;964 223,17 ₽;;;;;;;;;;;;;;
№ 0340200003321000478;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000478;Подача заявок;Выполнение работ по благоустройству пешеходной зоны по адресу: г. Уржум, ул. Красная (от ул. Революционная до ул. Южная, чётная сторона);"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";03.02.2021;1 397 851,00 ₽;;;;;;;;;;;;;;
№ 0340200003321000470;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000470;Подача заявок;Выполнение работ по содержанию автомобильнойдорогиобщего пользования местного значения Вятские Поляны-Лубяны Вятскополянского района в 2021 году;"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";03.02.2021;5 629 953,46 ₽;;;;;;;;;;;;;;
№ 0140300001421000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140300001421000003;Подача заявок;Выполнение работ по содержанию общественных пространств города КотельничаКировскойобласти в 2021году;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДА КОТЕЛЬНИЧАКИРОВСКОЙОБЛАСТИ;02.02.2021;820 604,92 ₽;;;;;;;;;;;;;;
№ 0140300001421000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140300001421000002;Подача заявок;Выполнение работ по содержанию тротуаров города КотельничаКировскойобласти в 2021 году;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДА КОТЕЛЬНИЧАКИРОВСКОЙОБЛАСТИ;02.02.2021;1 422 512,00 ₽;;;;;;;;;;;;;;
№ 0140300001421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140300001421000001;Подача заявок;Выполнение работ по текущему содержаниюдороги инженерных сооружений города КотельничаКировскойобласти в  2021 году;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОДА КОТЕЛЬНИЧАКИРОВСКОЙОБЛАСТИ;02.02.2021;5 375 197,00 ₽;;;;;;;;;;;;;;
№ 0140300036321000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0140300036321000002;Подача заявок;Универсальная дорожно-коммунальная машина на базе трактора;АДМИНИСТРАЦИЯ ЗАТО ПЕРВОМАЙСКИЙКИРОВСКОЙОБЛАСТИ;02.02.2021;1 788 000,00 ₽;;;;;;;;;;;;;;
№ 0120300014221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0120300014221000001;Подача заявок;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения по ул. Шмаковская, ул. Колхозная;АДМИНИСТРАЦИЯКИРОВСКОГОГОРОДСКОГО ПОСЕЛЕНИЯ;02.02.2021;8 726 702,00 ₽;;;;;;;;;;;;;;
№ 0340200003321000376;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000376;Подача заявок;Выполнение работ по ремонту автомобильнойдорогиСлободской – Нагорск в Слободском районе;"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";02.02.2021;66 658 420,74 ₽;;;;;;;;;;;;;;
№ 0340200003321000327;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000327;Подача заявок;Выполнение работ по устройству тротуаров на кадастровом участке №43:04:310110:147 от ул. Восточная до д. 95 по ул. Коммуны, протяженностью 875 м., пгт Богородское.;"КИРОВСКОЕОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";01.02.2021;1 885 225,01 ₽;;;;;;;;;;;;;;
