Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0318300225021000048;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300225021000048;Подача заявок;"Обустройство пешеходных коммуникаций, в том числе тротуара по улицам Гагарина и Красноармейской  в станице Петровской Славянского районаКраснодарскогокрая в рамках реализации муниципальной программы ""Комплексное развитие сельских территорий""";АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СЛАВЯНСКИЙ РАЙОН;10.02.2021;4 918 000,00 ₽;;;;;;;;;;;;;;
№ 0318300065121000033;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300065121000033;Подача заявок;Тротуар в станице Холмской по улице Чуприны, Абинского района,Краснодарскогокрая;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АБИНСКИЙ РАЙОН;09.02.2021;1 226 699,00 ₽;;;;;;;;;;;;;;
№ 0318300065121000032;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300065121000032;Подача заявок;Тротуар в станице Холмской по улице Толстого, Абинского района,Краснодарскогокрая;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АБИНСКИЙ РАЙОН;09.02.2021;1 069 970,00 ₽;;;;;;;;;;;;;;
№ 0818300019921000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818300019921000012;Подача заявок;Обустройство тротуара по улице  Зеленой в хуторе Беднягина Тимашевского районаКраснодарскогокрая;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ТИМАШЕВСКИЙ РАЙОН";08.02.2021;2 547 366,00 ₽;;;;;;;;;;;;;;
№ 0318300554421000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300554421000014;Подача заявок;Ремонт тротуара по ул. Афанасенко (четная сторона) от ул. Первомайской до ул. Стахановской в станице Старонижестеблиевской Красноармейского районаКраснодарскогокрая;ОТДЕЛ ПО ЗАКУПКАМ ДЛЯ МУНИЦИПАЛЬНЫХ НУЖД И ТОРГАМ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КРАСНОАРМЕЙСКИЙ РАЙОН;08.02.2021;2 495 797,00 ₽;;;;;;;;;;;;;;
№ 0318300554421000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0318300554421000013;Подача заявок;Ремонт тротуара по ул. Чигрина (четная сторона) от ул. Дорожной до ул. Кооперативной в станице Старонижестеблиевской Красноармейского районаКраснодарскогокрая;ОТДЕЛ ПО ЗАКУПКАМ ДЛЯ МУНИЦИПАЛЬНЫХ НУЖД И ТОРГАМ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КРАСНОАРМЕЙСКИЙ РАЙОН;08.02.2021;2 517 908,00 ₽;;;;;;;;;;;;;;
№ 0318300119421000054;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0318300119421000054;Подача заявок;Оказание услуг по проведению лабораторных испытаний дорожно-строительных материалов, в том числе готовых конструктивных элементов на автомобильныхдорогахместного значения в границах муниципального образования городКраснодар;УПРАВЛЕНИЕ ЗАКУПОК АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДКРАСНОДАР;05.02.2021;5 201 372,23 ₽;;;;;;;;;;;;;;
№ 0818300019921000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818300019921000011;Подача заявок;Обустройство тротуара по улице Заречная от дома № 1 до дома № 49 в  хуторе Беднягина Тимашевского районаКраснодарскогокрая;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ТИМАШЕВСКИЙ РАЙОН";05.02.2021;2 033 934,00 ₽;;;;;;;;;;;;;;
№ 0818600006121000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0818600006121000007;Подача заявок;Ремонт тротуара по ул. Кирова от ул. Овражной до ул. Западной в ст. Отрадной Отрадненского районаКраснодарскогокрая;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК И УСЛУГ""";04.02.2021;909 600,00 ₽;;;;;;;;;;;;;;
№ 32109949856;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109949856;Работа комиссии;Выполнение работ по восстановлению дорожного покрытиядорогобщего пользования, тротуаров  и благоустройству после капитального ремонта трамвайных путей;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КРАСНОДАРСКОЕТРАМВАЙНО-ТРОЛЛЕЙБУСНОЕ УПРАВЛЕНИЕ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДКРАСНОДАР";02.02.2021;5 407 008,00 ₽;;;;;;;;;;;;;;
