Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0144300041321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144300041321000001;Подача заявок;Услуги по расчистке от снега и посыпке пескосоляной смесью автомобильныхдорогобщего пользования местного значения на территории поселка им. К. Либкнехта Курчатовского районаКурскойобласти;АДМИНИСТРАЦИЯ ПОСЕЛКА ИМЕНИ К.ЛИБКНЕХТА КУРЧАТОВСКОГО РАЙОНАКУРСКОЙОБЛАСТИ;04.02.2021;400 000,00 ₽;;;;;;;;;;;;;;
№ 0144200001821000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000018;Подача заявок;"Устройство асфальтобетонного покрытия ул. Зайцы в с. Пены Беловского районаКурскойобласти (в рамках проекта ""Народный бюджет"")";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";04.02.2021;1 413 223,60 ₽;;;;;;;;;;;;;;
№ 0144200001821000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000017;Подача заявок;"Текущий ремонт автомобильнойдорогив с Мокрушино ул. Широкая Беловского районаКурскойобласти (в рамках проекта ""Народный бюджет"")";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";04.02.2021;2 569 758,59 ₽;;;;;;;;;;;;;;
№ 0144200001821000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000016;Подача заявок;"Ремонт ул. Яма в с. Озерки Беловского районаКурскойобласти (в рамках проекта ""Народный бюджет"")";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";04.02.2021;2 334 270,00 ₽;;;;;;;;;;;;;;
№ 0144200001821000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000015;Подача заявок;"Ремонтавтодорогв рамках реализации программы ""Народный бюджет""  в г. ОбояниКурскойобласти";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";03.02.2021;7 812 244,00 ₽;;;;;;;;;;;;;;
№ 0144300020421000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144300020421000002;Подача заявок;Выполнение работ по нанесению дорожной разметки  в г. ДмитриевеКурскойобласти.;АДМИНИСТРАЦИЯ ГОРОДА ДМИТРИЕВАКУРСКОЙОБЛАСТИ;03.02.2021;343 916,67 ₽;;;;;;;;;;;;;;
№ 0144300010021000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144300010021000002;Подача заявок;Ремонт автомобильнойдорогиобщего пользования местного значения ул. Мантуловка, с. Краснооктябрьское, Кореневского районаКурскойобласти.;АДМИНИСТРАЦИЯ КОРЕНЕВСКОГО РАЙОНАКУРСКОЙОБЛАСТИ;03.02.2021;4 545 643,00 ₽;;;;;;;;;;;;;;
№ 0144200001821000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000014;Подача заявок;Предоставление каналов связи для передачи данных, виртуальной закрытой сети передачи данных и портов доступа к ней;"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";02.02.2021;3 774 877,20 ₽;;;;;;;;;;;;;;
№ 0744200000221000264;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0744200000221000264;Подача заявок;"Благоустройство дворовой территории многоквартирного дома № 2 по ул. Пушкина по текущему ремонту асфальтобетонного покрытия и установке малых форм в поселке им. К. Либкнехта в рамках программы ""Формирование современной городской среды""";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОККУРСКОЙОБЛАСТИ""";02.02.2021;1 261 264,00 ₽;;;;;;;;;;;;;;
№ 0144200001821000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000013;Подача заявок;"Выполнение работ по строительству объекта: ""Проезд по х.Саблин Щетинского сельсоветаКурскогорайонаКурскойобласти""";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";01.02.2021;2 505 042,00 ₽;;;;;;;;;;;;;;
№ 0144200001821000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000012;Подача заявок;"Выполнение работ по строительству объекта: ""Проезд по д. Шеховцово Бесединского сельсоветаКурскогорайонаКурскойобласти""";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";01.02.2021;6 302 318,00 ₽;;;;;;;;;;;;;;
№ 0144200001821000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0144200001821000011;Подача заявок;"Выполнение работ по строительству объекта: ""Автомобильнаядорогапо ул. Лесная в д. Татаренкова Нижнемедведицкого сельсоветаКурскогорайонаКурскойобласти""";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ СТРОИТЕЛЬСТВА И ЭКСПЛУАТАЦИИ АВТОМОБИЛЬНЫХДОРОГ КУРСКОЙОБЛАСТИ""";01.02.2021;5 198 957,00 ₽;;;;;;;;;;;;;;
