Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0145200000421000028;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0145200000421000028;Подача заявок;Выполнение проектно-изыскательских работ по капитальному ремонту (устройство элементов обустройства) автомобильныхдорогобщего пользования регионального значения во Всеволожском районеЛенинградскойобласти на участках прохождения в населенных пунктах.;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАЛЕНИНГРАДСКОЙОБЛАСТИ;02.02.2021;5 493 079,30 ₽;;;;;;;;;;;;;;
№ 0845300015021000009;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0845300015021000009;Подача заявок;Оказание услуг по содержанию технических средств организации дорожного движения;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНОЕ УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКАЗАМИ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЫБОРГСКИЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";02.02.2021;16 000 000,00 ₽;;;;;;;;;;;;;;
№ 0145300006221000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300006221000013;Подача заявок;Ремонт автомобильныхдорог(ремонт дорожного покрытиядорог, ремонт тротуаров);АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КИРИШСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОНЛЕНИНГРАДСКОЙОБЛАСТИ;02.02.2021;14 787 780,00 ₽;;;;;;;;;;;;;;
№ 0145300018621000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300018621000002;Подача заявок;выполнение работ по содержанию и механизированной уборкедороги улиц на территории г.п. Синявино Кировского районаЛенинградскойобласти по июнь 2021 года (включительно);АДМИНИСТРАЦИЯ СИНЯВИНСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ КИРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ;27.01.2021;1 575 000,00 ₽;;;;;;;;;;;;;;
№ 0145300020721000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300020721000003;Подача заявок;Выполнение работ по механизированной уборке и содержаниюдорогобщего пользования местного значения Вознесенского городского поселения;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВОЗНЕСЕНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ ПОДПОРОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ""";27.01.2021;1 300 000,00 ₽;;;;;;;;;;;;;;
№ 0145300010121000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0145300010121000002;Подача заявок;Ремонт дорожного покрытия проезда к многоквартирным домам №50,53 по ул.Центральная в п.Семиозерье Выборгского районаЛенинградскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОЛЯНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" ВЫБОРГСКОГО РАЙОНАЛЕНИНГРАДСКОЙОБЛАСТИ";27.01.2021;1 127 985,60 ₽;;;;;;;;;;;;;;
№ 0845300015021000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0845300015021000002;Подача заявок;Механизированная уборкадорог;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНОЕ УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКАЗАМИ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЫБОРГСКИЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";26.01.2021;2 233 100,00 ₽;;;;;;;;;;;;;;
№ 0118300000621000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0118300000621000006;Работа комиссии;Благоустройство сквера между улицами Братской иЛенинградской(в районе Свято-Троицкого храма) г. Гулькевичи (2 этап);АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГУЛЬКЕВИЧСКИЙ РАЙОН;25.01.2021;21 008 130,00 ₽;;;;;;;;;;;;;;
№ 0145300010321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0145300010321000001;Подача заявок;Содержание действующей сети автомобильныхдорогобщего пользования местного значения Кингисеппского районаЛенинградскойобласти в 2021 году.;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КИНГИСЕППСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";22.01.2021;3 784 151,12 ₽;;;;;;;;;;;;;;
№ 0845300015021000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0845300015021000001;Подача заявок;Оказание услуг по содержаниюдорогг. Приморск, п. Ермилово, п. Красная Долина, п. Рябово, д. Камышовка, д. Александровка, п. Заречье, п. Краснофлотское, п. Озерки, п. Глебычево, п. Прибылово, п. Ключевое, п. Вязы, п. Малышево, п. Балтийское, п. Мамонтовка, п. Мысовое, п. Лужки;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНОЕ УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКАЗАМИ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЫБОРГСКИЙ РАЙОН""ЛЕНИНГРАДСКОЙОБЛАСТИ";21.01.2021;3 830 526,48 ₽;;;;;;;;;;;;;;
