Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0146300007021000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300007021000002;Подача заявок;Выполнение работ по содержаниюдорогп. Добринка: (подметание, полив, очисткадорогот песка, грязи, снега, россыпь противогололедных материалов, приготовление ПСС, планировкадорог, окашивание обочиндорог, сбор мусора по обочинамдорог, вывоз грязи, снега, ПСС, покраска(пешеходных переходов)) на 2021 год.;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ДОБРИНСКИЙ СЕЛЬСОВЕТ ДОБРИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;04.02.2021;2 000 000,00 ₽;;;;;;;;;;;;;;
№ 0846300001921000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0846300001921000017;Подача заявок;Выполнение работ по ямочному ремонту на автомобильныхдорогахобщего пользования местного значенияЛипецкогомуниципального районаЛипецкойобласти;КОМИТЕТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И АГРАРНОЙ ПОЛИТИКИ АДМИНИСТРАЦИИЛИПЕЦКОГОМУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ;04.02.2021;7 455 467,00 ₽;;;;;;;;;;;;;;
№ 0146300004521000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300004521000004;Подача заявок;Ремонт автомобильныхдорогобщего пользования местного значения Становлнского муниципального районаЛипецкойобласти;АДМИНИСТРАЦИЯ СТАНОВЛЯНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;03.02.2021;8 222 223,97 ₽;;;;;;;;;;;;;;
№ 0146300004621000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300004621000007;Подача заявок;Выполнение работ по ямочному ремонту автомобильныхдорогобщего пользования местного значения в Чаплыгинском районеЛипецкойобласти;АДМИНИСТРАЦИЯ ЧАПЛЫГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;03.02.2021;1 000 000,00 ₽;;;;;;;;;;;;;;
№ 0146300004221000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300004221000008;Подача заявок;Выполнение работ по ямочному ремонту автомобильныхдорогобщего пользования местного значения в границах города Усмань.;АДМИНИСТРАЦИЯ УСМАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;03.02.2021;3 318 954,00 ₽;;;;;;;;;;;;;;
№ 0146600003221000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146600003221000006;Подача заявок;Выполнение работ по ремонтудорогна территории города Данкова в 2021 году;ОТДЕЛ ГОРОДСКОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ДАНКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РФ;02.02.2021;10 687 927,88 ₽;;;;;;;;;;;;;;
№ 0146300004621000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300004621000006;Подача заявок;Выполнение работ по ямочному ремонту автомобильныхдорогобщего пользования местного значения в г. ЧаплыгинеЛипецкойобласти;АДМИНИСТРАЦИЯ ЧАПЛЫГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ;02.02.2021;3 500 000,00 ₽;;;;;;;;;;;;;;
№ 0346300084821000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0346300084821000006;Подача заявок;Ремонт автомобильныхдорогобщего пользования местного значения по ул. Русановская в с. Грызлово, по ул. Солнечная в с. Большая Боевка, по ул. Архангельская в с. Стрелец Долгоруковского районаЛипецкойобласти;АДМИНИСТРАЦИЯ ДОЛГОРУКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ;01.02.2021;2 294 188,87 ₽;;;;;;;;;;;;;;
№ 0146600003221000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146600003221000005;Подача заявок;Выполнение работ по ремонту пешеходной дорожки от ул. Мичурина  до Парка Победы в г. ДанковеЛипецкойобласти;ОТДЕЛ ГОРОДСКОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ДАНКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РФ;01.02.2021;100 699,70 ₽;;;;;;;;;;;;;;
№ 0146600003221000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146600003221000004;Подача заявок;Выполнение работ по ремонту (устройству щебеночного покрытия)автодорогипо ул. Данковская в г. ДанковеЛипецкойобласти;ОТДЕЛ ГОРОДСКОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ДАНКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЛИПЕЦКОЙОБЛАСТИ РФ;01.02.2021;987 964,66 ₽;;;;;;;;;;;;;;
