Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0311100007221000010;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000010;Подача заявок;"Устройство защитных слоев на автомобильнойдорогеР-176 ""Вятка"" Чебоксары -  Йошкар-Ола - Киров - Сыктывкар на участках км 19+008 - км 31+500, км 46+000 - км 51+000, км 59+000 - км 79+000, РеспубликаМарийЭл";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;20 000 000,00 ₽;;;;;;;;;;;;;;
№ 0308200000121000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0308200000121000005;Подача заявок;Выполнение работ по содержанию автомобильнойдорогиЯльчикский – Яльчик  на участке км 0+000 – км 6+088;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИМАРИЙЭЛ ""МАРИЙСКАВТОДОР""";05.02.2021;54 257 555,00 ₽;;;;;;;;;;;;;;
№ 0108300014821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300014821000002;Подача заявок;"""Дорогане роскошь, а необходимость"" - ремонт улично-дорожной сети в дер. Мари-Ляжмарь";РУССКО-ЛЯЖМАРИНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ПАРАНЬГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;05.02.2021;1 158 950,00 ₽;;;;;;;;;;;;;;
№ 0108300007021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300007021000001;Подача заявок;Капитальный ремонт грунтового проезда по д. Ершово Килемарского района;АРДИНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ КИЛЕМАРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;04.02.2021;990 340,00 ₽;;;;;;;;;;;;;;
№ 0108300013521000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300013521000005;Подача заявок;Ремонт автомобильнойдорогиместного значения д.Ананур;АДМИНИСТРАЦИЯ СЕРНУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;02.02.2021;3 782 855,82 ₽;;;;;;;;;;;;;;
№ 0108300013521000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300013521000004;Подача заявок;Ремонт участка автомобильнойдорогиместного значения д.Б.Сердеж;АДМИНИСТРАЦИЯ СЕРНУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;02.02.2021;1 557 168,23 ₽;;;;;;;;;;;;;;
№ 0108300014821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300014821000001;Определение поставщика отменено;Ремонт улично-дорожной сети д.Мари-Ляжмарь;РУССКО-ЛЯЖМАРИНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ПАРАНЬГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;02.02.2021;1 158 950,00 ₽;;;;;;;;;;;;;;
№ 0108300011421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300011421000001;Работа комиссии;"Выполнение работ по благоустройству территории прилегающей к лыжной базе г. Волжск, РеспубликиМарийЭл: устройство асфальтобетонного покрытия тротуара ""Здоровье""";"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ВОЛЖСК""";01.02.2021;14 806 512,00 ₽;;;;;;;;;;;;;;
№ 0108300013521000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300013521000003;Подача заявок;Ремонт автомобильнойдорогиместного значения д.Калеево;АДМИНИСТРАЦИЯ СЕРНУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;01.02.2021;1 196 839,72 ₽;;;;;;;;;;;;;;
№ 0108300013521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300013521000002;Подача заявок;Ремонт автомобильнойдорогиместного значения д.Б.Коклала;АДМИНИСТРАЦИЯ СЕРНУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;01.02.2021;1 788 810,29 ₽;;;;;;;;;;;;;;
№ 0108300013521000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0108300013521000001;Подача заявок;Ремонт автомобильнойдорогиместного значения д.Йошкар-Памаш;АДМИНИСТРАЦИЯ СЕРНУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМАРИЙЭЛ;01.02.2021;3 083 079,64 ₽;;;;;;;;;;;;;;
