Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0109300037721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0109300037721000001;Подача заявок;Выполнение работ по текущему ремонту внутрипоселенческойдорогипо ул. Советская до ул. Новостроящаяся в р.п. Умет Зубово-Полянского района РеспубликиМордовия.;АДМИНИСТРАЦИЯ УМЕТСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ ЗУБОВО-ПОЛЯНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМОРДОВИЯ;26.02.2021;851 310,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000020;Подача заявок;Капитальный ремонт объекта: Автомобильнаядорогаподъезд к с. Кученяево на участке км 0+000 - км 3+921 в Ардатовском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";20.02.2021;41 858 530,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000019;Подача заявок;Капитальный ремонт объекта: Автомобильнаядорогас. Теньгушево – с. Башкирцы  на участках км 0+000 – км 0+462, км 0+505 – 1+000 в Теньгушевском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";20.02.2021;31 539 077,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000018;Подача заявок;Капитальный ремонт объекта: Автомобильнаядорогас. Теньгушево – с. Куликово - с. Мельсетьево - гр. Рязанской обл. на участках км 12+000 - км 12+063,6, км 12+109,1 - км 15+413, км 26+539 – км 27+820 в Теньгушевском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";20.02.2021;92 303 437,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000017;Подача заявок;"Капитальный ремонт объекта: Автомобильнаядорогаа/д ""Подъезд к г.Саранску от а/д ""Урал"" - с. Богдановка - д.Ожга 2-я на участке км 0+000 - км 5+500 в Старошайговском муниципальном районе РеспубликиМордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";20.02.2021;56 100 125,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000016;Подача заявок;Ремонт объекта: Автомобильнаядорогаг. Рузаевка - г. Ковылкино - р. п. Торбеево км 3+125 - км 4+879, км 4+935 - км 14+900 в Рузаевском муниципальном районе РеспубликиМордовия;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";20.02.2021;202 042 232,00 ₽;;;;;;;;;;;;;;
№ 0109300031621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0109300031621000001;Подача заявок;Ремонт участка автомобильнойдорогипо ул. Молодёжная в с. Кочетовка Инсарского муниципального района РеспубликиМордовия;АДМИНИСТРАЦИЯ ИНСАРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМОРДОВИЯ;19.02.2021;1 126 484,00 ₽;;;;;;;;;;;;;;
№ 0109300012621000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0109300012621000003;Подача заявок;Капитальный ремонт автомобильнойдорогипо ул. Юрасова (от ул. Петрова до ул. Мокшанская) в г. Рузаевка РеспубликиМордовия;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ РУЗАЕВКА РУЗАЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИМОРДОВИЯ;19.02.2021;47 876 133,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000015;Подача заявок;Оказание услуг по предоставлению информации о скорости движении транспортных средств на контролируемых участках автомобильныхдорогобщего пользования регионального или межмуниципального значения РеспубликиМордовия.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";18.02.2021;20 000 000,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0309200000221000014;Подача заявок;"Строительство объекта: Автомобильнаядорога""Обход г. Рузаевка"" в РеспубликеМордовия(1 этап)";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИМОРДОВИЯ""";16.02.2021;446 312 972,00 ₽;;;;;;;;;;;;;;
