Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0373200086721000083;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0373200086721000083;Подача заявок;Поставка почвогрунта, удобрений и семян газонных трав для выполнения озеленительных работ в городеМоскве;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДАМОСКВЫ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ЮЖНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";10.02.2021;2 728 000,00 ₽;;;;;;;;;;;;;;
№ 0330100010521000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010521000012;Подача заявок;"Выполнение работ по содержанию (устройство слоев износа) наавтомобильнойдорогеМ-8 ""Холмогоры""Москва- Ярославль - Вологда -Архангельск на участке км 155+000 - км 160+900, Ярославская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИМОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;118 000 000,00 ₽;;;;;;;;;;;;;;
№ 0373200017521000046;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0373200017521000046;Подача заявок;"Выполнение  проектно-изыскательских работ озелененной территории сквера у метро Свиблово, СВАО, ул. Радужная и озелененной территории сквера ""Знаки зодиака"" СВАО, район Бабушкинский";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДАМОСКВЫ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА СЕВЕРО-ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";10.02.2021;5 990 000,00 ₽;;;;;;;;;;;;;;
№ 0148300008321000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0148300008321000010;Подача заявок;"Выполнение работ по устройству тротуара вдольдорогипо адресу: г.Москва, поселение Сосенское, поселок Коммунарка, вдоль ЖК ""Бунин парк""";АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ СОСЕНСКОЕ;10.02.2021;7 333 206,02 ₽;;;;;;;;;;;;;;
№ 0373200017521000044;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0373200017521000044;Подача заявок;Подготовка проекта организации дорожного движения на территории ЖК района Отрадное, ограниченной Алтуфьевским ш., ул. Римского-Корсакова, Проектируемым пр. 6185 и Высоковольтным пр.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДАМОСКВЫ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА СЕВЕРО-ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";10.02.2021;2 433 003,50 ₽;;;;;;;;;;;;;;
№ 0128200000121000518;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000518;Подача заявок;Ремонт автомобильнойдорогиобщего пользования местного значения  Александровского  района Владимирской области в 2021 году (ул.Центральная (от дома №60 до пересечения с а/д «Москва-Ярославль» - Рупусово, от автобусной остановки до дома №82/2) пос.Красное Пламя);ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;10.02.2021;3 502 281,85 ₽;;;;;;;;;;;;;;
№ 0373200032221000120;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0373200032221000120;Подача заявок;Выполнение работ по ремонту контрольно-пропускного пункта по адресу: городМосква, ул. Намёткина, д. 10Г.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДАМОСКВЫ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ЮГО-ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";10.02.2021;6 561 988,12 ₽;;;;;;;;;;;;;;
№ 32109975282;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975282;Подача заявок;Выполнение работ по установке надземных пешеходных переходов из модульных конструкций на объекте «Оказание услуг по содержанию участка автомобильнойдорогиобщего пользования федерального значения и искусственных дорожных сооружений на ней М-5 «Урал»Москва– Рязань – Пенза – Самара – Уфа – Челябинск (подъезд к пункту пропуска «Орск») км 10+600 – км 293+410, Оренбургская область».;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ОРЕНБУРГРЕМДОРСТРОЙ""";09.02.2021;83 526 971,00 ₽;;;;;;;;;;;;;;
№ 0373200018821000122;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0373200018821000122;Подача заявок;Поставка бортового камня для текущего ремонта объектов дорожного хозяйства для нужд ГБУ «АвтомобильныедорогиСАО» в 2021 году;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДАМОСКВЫ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА СЕВЕРНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";09.02.2021;226 000,00 ₽;;;;;;;;;;;;;;
№ 0373200307321000021;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0373200307321000021;Подача заявок;Аукцион в электронной форме на право заключения контракта на поставку средств индивидуальной защиты для нужд ГБУ «Автомобильныедороги» (Закупка 2) среди субъектов малого предпринимательства и социально ориентированных некоммерческих организаций;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДАМОСКВЫ""АВТОМОБИЛЬНЫЕДОРОГИ""";09.02.2021;108 600,00 ₽;;;;;;;;;;;;;;
