Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0149300005021000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149300005021000002;Подача заявок;Выполнение работ по содержанию улично-дорожной сети муниципального образования ЗАТО г. Островной на март 2021 года;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ  ГОРОД ОСТРОВНОЙМУРМАНСКОЙОБЛАСТИ;29.01.2021;3 487 481,00 ₽;;;;;;;;;;;;;;
№ 0349300046721000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0349300046721000005;Подача заявок;Выполнение работ по благоустройству городских территорий в г. КолаМурманскойобласти;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ КОЛЬСКОГО РАЙОНА""";29.01.2021;3 415 460,00 ₽;;;;;;;;;;;;;;
№ 32109935655;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109935655;Подача заявок;"Аукцион с ограниченным участием в электронной форме № 2/АОЭ-ОКТ/21 на право заключения договора оказания услуг по охране имущества на объектах Октябрьской железнойдороги- филиала ОАО ""РЖД"", расположенных на территорииМурманскойобласти";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";28.01.2021;39 989 376,00 ₽;;;;;;;;;;;;;;
№ 0149200002321000023;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149200002321000023;Работа комиссии;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения в городе КолаМурманскойобласти;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕМУРМАНСКОЙОБЛАСТИ;23.01.2021;66 847 341,00 ₽;;;;;;;;;;;;;;
№ 32109908175;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109908175;Закупка завершена;Оказание услуг по предоставлению канатно-буксировочнойдорогии специально подготовленных участков склона с определённым профилем для проведения Чемпионата и Первенства СЗФО по горнолыжному спорту (технические виды);"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕМУРМАНСКОЙОБЛАСТИ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ""";20.01.2021;161 680,00 ₽;;;;;;;;;;;;;;
№ 32109900335;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109900335;Закупка завершена;"Оказание услуг по предоставлению канатно-буксировочнойдорогии специально подготовленных участков склона с определенным профилем для проведения Чемпионата и Первенства СЗФО по горнолыжному спорту (ГК ""Большой Вудъявр"")";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕМУРМАНСКОЙОБЛАСТИ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ""";18.01.2021;168 000,00 ₽;;;;;;;;;;;;;;
№ 32109900298;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109900298;Закупка завершена;"Оказание услуг по предоставлению канатно-буксировочнойдорогии специально подготовленных участков склона с определенным профилем для проведения Чемпионата и ПервенстваМурманскойобласти по горнолыжному спорту (ГК ""Большой Вудъявр"")";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕМУРМАНСКОЙОБЛАСТИ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ""";18.01.2021;210 000,00 ₽;;;;;;;;;;;;;;
№ 0149300005021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0149300005021000001;Определение поставщика завершено;Выполнение работ по содержанию улично-дорожной сети муниципального образования ЗАТО г. Островной на февраль 2021 года;АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ  ГОРОД ОСТРОВНОЙМУРМАНСКОЙОБЛАСТИ;15.01.2021;3 672 041,87 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0149300005021000001;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ГОРОДСКОГО ХОЗЯЙСТВА ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ОСТРОВНОЙ МУРМАНСКОЙ ОБЛАСТИ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИО-РИТА""";;3 672 041,87;;;;;;
№ 32109890678;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109890678;Закупка завершена;Оказание услуг по охране объекта – туристической базы, расположенной по адресу:Мурманскаяобласть, Кольский район, 37-й кмавтодороги «Мурманск– граница Финляндии», турбаза «Сосновая роща»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕР""";14.01.2021;1 492 258,86 ₽;;;;;;;;;;;;;;
№ 32109890355;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109890355;Закупка завершена;Аренда канатно-буксировочныхдорогс прилегающими земельными участками (гора Айкуайвенчорр);"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕМУРМАНСКОЙОБЛАСТИ ""КИРОВСКАЯ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ГОРНОЛЫЖНОМУ СПОРТУ""";14.01.2021;3 091 528,00 ₽;;;;;;;;;;;;;;
