Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0128200000121000430;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0128200000121000430;Подача заявок;Ремонт автомобильнойдорогиобщего пользования местного значения по ул. Пресненская (от ул. Курская до ул.Нижегородская)муниципального образования город Гусь-Хрустальный Владимирской области;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;08.02.2021;1 438 938,00 ₽;;;;;;;;;;;;;;
№ 0132300003621000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300003621000010;Подача заявок;Ремонтдорогипо ул. Садовая в пос.НижегородецДальнеконстантиновского районаНижегородскойобласти;АДМИНИСТРАЦИЯ ДАЛЬНЕКОНСТАНТИНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;07.02.2021;1 952 796,00 ₽;;;;;;;;;;;;;;
№ 0132300003621000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300003621000009;Подача заявок;Ремонт  участкадорогис. Борисово- Покровское (дом 22-дом 1) Дальнеконстантиновского районаНижегородскойобласти;АДМИНИСТРАЦИЯ ДАЛЬНЕКОНСТАНТИНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;07.02.2021;795 400,00 ₽;;;;;;;;;;;;;;
№ 0132300003621000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300003621000008;Подача заявок;Ремонт тротуара по ул. Шоссейная в селе Богоявление Дальнеконстантиновского муниципального районаНижегородскойобласти;АДМИНИСТРАЦИЯ ДАЛЬНЕКОНСТАНТИНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;07.02.2021;2 136 542,00 ₽;;;;;;;;;;;;;;
№ 0132300003621000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300003621000007;Подача заявок;Ремонт автомобильныхдорогпо ул. Дружбы и ул. Ветеринарной на участке от поворота на ул. Дружбы до дома № 34 в рабочем поселке Дальнее Константиново Дальнеконстантиновского муниципального районаНижегородскойобласти;АДМИНИСТРАЦИЯ ДАЛЬНЕКОНСТАНТИНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;05.02.2021;2 438 061,00 ₽;;;;;;;;;;;;;;
№ 0132300003621000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300003621000006;Подача заявок;Капитальный ремонт тротуара по ул. Советской от дома 46 до хлебозавода (дом 49) в рабочем поселке Дальнее Константиново Дальнеконстантиновского муниципального районаНижегородскойобласти;АДМИНИСТРАЦИЯ ДАЛЬНЕКОНСТАНТИНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;05.02.2021;2 318 862,00 ₽;;;;;;;;;;;;;;
№ 0132300003621000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0132300003621000005;Подача заявок;Ремонтдорогиул. Луговая с. Татарское Дальнеконстантиновского района;АДМИНИСТРАЦИЯ ДАЛЬНЕКОНСТАНТИНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;05.02.2021;2 321 182,00 ₽;;;;;;;;;;;;;;
№ 0332300026621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0332300026621000001;Подача заявок;Зимнее содержаниедорогв р.п. Шаранга, Шарангского муниципального района;АДМИНИСТРАЦИЯ ШАРАНГСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;04.02.2021;350 000,00 ₽;;;;;;;;;;;;;;
№ 32109955995;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109955995;Подача заявок;Выполнение работ по содержанию автомобильныхдороги элементов обустройства автомобильныхдорог(ручная уборка) на территории Автозаводского, Ленинского, Московского, Советского иНижегородскогорайонов г. Н. Новгорода;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА НИЖНЕГО НОВГОРОДА ""РЕМОНТ И ЭКСПЛУАТАЦИЯДОРОГ""";03.02.2021;7 073 292,00 ₽;;;;;;;;;;;;;;
№ 0340200003321000307;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0340200003321000307;Подача заявок;Ремонт автомобильнойдорогиЯранск – Кикнур – границаНижегородскойобласти в Кикнурском районе;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";01.02.2021;76 089 738,34 ₽;;;;;;;;;;;;;;
№ 0332300214721000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0332300214721000004;Подача заявок;"Проектные и изыскательские работы ""Реконструкция асфальтированнойдорогив . Новоселки на участке ""Подъезд к школе"" отавтодороги""Подъезд к с. Новоселки"" в Вознесенском районеНижегородскойобласти""";АДМИНИСТРАЦИЯ ВОЗНЕСЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАНИЖЕГОРОДСКОЙОБЛАСТИ;01.02.2021;1 600 600,00 ₽;;;;;;;;;;;;;;
