Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0336100012521000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000005;Подача заявок;Строительный контроль при проведении работ по объекту: «Капитальный ремонт мостов через реку Мста на км 501+878 (левый, правый) автомобильнойдорогиМ-10 «Россия» Москва - Тверь - Великий Новгород - Санкт-Петербург,Новгородскаяобласть (Устройство локальных очистных сооружений)»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";05.02.2021;1 403 980,67 ₽;;;;;;;;;;;;;;
№ 0336100012521000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0336100012521000004;Подача заявок;Оказание услуг по содержанию комплексных постов дорожного контроля метеосистемыНовгородскаяобласть. Оказание услуг по содержанию пунктов учета интенсивности дорожного движенияНовгородскаяобласть.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";04.02.2021;17 509 862,82 ₽;;;;;;;;;;;;;;
№ 0150300002421000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0150300002421000005;Подача заявок;Выполнение работ по ремонту автомобильныхдороггорода БоровичиНовгородскойобласти;АДМИНИСТРАЦИЯ БОРОВИЧСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;03.02.2021;19 285 264,00 ₽;;;;;;;;;;;;;;
№ 0336100012521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0336100012521000002;Работа комиссии;Капитальный ремонт мостов через реку Мста на км 501+878 (левый, правый) автомобильнойдорогиМ-10 «Россия» Москва - Тверь - Великий Новгород - Санкт-Петербург,Новгородскаяобласть (Устройство локальных очистных сооружений);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";27.01.2021;36 659 930,00 ₽;;;;;;;;;;;;;;
№ 0150300002421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0150300002421000001;Подача заявок;Выполнение работ по ремонту автомобильныхдороггородаБоровичиНовгородскойобласти.;АДМИНИСТРАЦИЯ БОРОВИЧСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;27.01.2021;21 515 152,00 ₽;;;;;;;;;;;;;;
№ 0150300018621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0150300018621000001;Определение поставщика завершено;Выполнение работ по ремонту автомобильныхдорогпо переулку Юности и ул. Князева п. Пролетарий,Новгородскогорайона,Новгородскойобласти;АДМИНИСТРАЦИЯ ПРОЛЕТАРСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;14.01.2021;3 215 503,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0150300018621000001;АДМИНИСТРАЦИЯ ПРОЛЕТАРСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВГОРОДСКАЯ ПМК""";1 - Победитель;2 749 254,92;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ-КАПИТАЛ""";2 - Второй номер;2 765 332,44;01.09.2021;05.02.2021;;173526, ОБЛ НОВГОРОДСКАЯ 53, Р-Н НОВГОРОДСКИЙ, - ПАНКОВКА, УЛ ПРОМЫШЛЕННАЯ, 1;5310018960;7-8162-791998slfpmk@mail.ru
№ 0336100012520000149;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000149;Работа комиссии;Строительный контроль при проведении работ по объекту: «Ремонт моста через реку Ситня на км 102+022 автомобильнойдорогиР-56 Великий Новгород – Сольцы – Порхов - Псков,Новгородскаяобласть»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;2 031 645,25 ₽;;;;;;;;;;;;;;
№ 0336100012520000147;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000147;Работа комиссии;Строительный контроль при проведении работ по объекту: «Ремонт автомобильнойдорогиР-56 Великий Новгород – Сольцы – Порхов – Псков на участке км 90+000 – км 101+400,Новгородскаяобласть»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.12.2020;3 163 040,80 ₽;;;;;;;;;;;;;;
№ 0350300001620000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0350300001620000013;Определение поставщика завершено;Выполнение работ по содержаниюдорогв населенных пунктах Неболчского сельского поселения Любытинского районаНовгородскойобласти;АДМИНИСТРАЦИЯ НЕБОЛЧСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;24.12.2020;600 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0350300001620000013;АДМИНИСТРАЦИЯ НЕБОЛЧСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕБОЛЧСКАЯ ДОРОЖНАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""";;600 000,00;;;;;;
№ 0336100012520000145;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012520000145;Определение поставщика завершено;Строительный контроль при проведении работ по объекту: «Капитальный ремонт автомобильнойдорогиР-56 Великий Новгород – Сольцы – Порхов – Псков на участке км 4+397 – км 38+650,Новгородскаяобласть. II этап км 17+667 – км 38+650»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.12.2020;23 923 839,40 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0336100012520000145;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""";1 - Победитель;22 727 626,40;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТ ГРУПП""";2 - Второй номер;10 765 727,00;;;;;;
