Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0154300014621000034;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000034;Подача заявок;Выполнение работ по ямочному ремонту асфальтобетонного покрытияавтодорогобщего пользования местного значения на территории Заводского района г.Орла(в рамках содержания улично-дорожной сети городаОрла);АДМИНИСТРАЦИЯ ГОРОДАОРЛА;09.02.2021;2 999 956,26 ₽;;;;;;;;;;;;;;
№ 0154300014621000033;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000033;Подача заявок;Выполнение работ по ямочному ремонту асфальтобетонного покрытияавтодорогобщего пользования местного значения на территории Северного района г.Орла(в рамках содержания улично-дорожной сети городаОрла);АДМИНИСТРАЦИЯ ГОРОДАОРЛА;09.02.2021;2 999 956,26 ₽;;;;;;;;;;;;;;
№ 0154300014621000032;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000032;Подача заявок;Выполнение работ по ямочному ремонту асфальтобетонного покрытияавтодорогобщего пользования местного значения на территории Железнодорожного района г.Орла(в рамках содержания улично-дорожной сети городаОрла);АДМИНИСТРАЦИЯ ГОРОДАОРЛА;09.02.2021;2 999 956,26 ₽;;;;;;;;;;;;;;
№ 0154300014621000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000031;Подача заявок;Выполнение работ по ямочному ремонту асфальтобетонного покрытияавтодорогобщего пользования местного значения на территории Советского района г.Орла(в рамках содержания улично-дорожной сети городаОрла);АДМИНИСТРАЦИЯ ГОРОДАОРЛА;09.02.2021;2 999 956,26 ₽;;;;;;;;;;;;;;
№ 0154300014621000030;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000030;Подача заявок;Выполнение работ по ремонту автомобильнойдорогипо ул.Солнцевская от д.1 до ул.Спивака  (восстановление электроосвещения);АДМИНИСТРАЦИЯ ГОРОДАОРЛА;08.02.2021;940 301,93 ₽;;;;;;;;;;;;;;
№ 0154300014621000027;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000027;Подача заявок;Выполнение работ по объекту: «Благоустройство дворовых территорий многоквартирных домов в Северном  районе г.Орлапо ул. Бурова, дом №14»;АДМИНИСТРАЦИЯ ГОРОДАОРЛА;08.02.2021;4 893 390,00 ₽;;;;;;;;;;;;;;
№ 0154300014621000026;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000026;Подача заявок;Выполнение работ по объекту: «Благоустройство дворовых территорий многоквартирных домов в Северном  районе г.Орлапо Московскому шоссе, дом №167, дом №169»;АДМИНИСТРАЦИЯ ГОРОДАОРЛА;08.02.2021;11 384 899,00 ₽;;;;;;;;;;;;;;
№ 0154300014621000025;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000025;Подача заявок;Выполнение работ по объекту: «Благоустройство дворовых территорий многоквартирных домов в Железнодорожном  районе г.Орлапо ул. Паровозная, дом №97, ул. Высокая, дом №1»;АДМИНИСТРАЦИЯ ГОРОДАОРЛА;08.02.2021;5 080 636,00 ₽;;;;;;;;;;;;;;
№ 0154300014621000024;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000024;Подача заявок;Поставка вакуумной подметально- уборочной машины с двумя всасывающими узлами на базе КАМАЗ;АДМИНИСТРАЦИЯ ГОРОДАОРЛА;05.02.2021;7 700 000,00 ₽;;;;;;;;;;;;;;
№ 0154300014621000023;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014621000023;Подача заявок;Выполнение работ по объекту: «Благоустройство дворовых территорий многоквартирных домов в Заводском  районе  г.Орлапо ул. Комсомольская, дом №144»;АДМИНИСТРАЦИЯ ГОРОДАОРЛА;05.02.2021;3 514 018,00 ₽;;;;;;;;;;;;;;
