Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0154300014221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014221000002;Подача заявок;Содержание автомобильныхдорогобщего пользования местного значения вне границ населенных пунктов в границах Ливенского района (выкашивание обочин);УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ИМУЩЕСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ЛИВЕНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;04.02.2021;247 328,35 ₽;;;;;;;;;;;;;;
№ 0154300017121000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000005;Подача заявок;Ремонт улично-дорожной сети поселка Верховье Верховского районаОрловскойобласти, участок ул. Королёва от переезда до жилого дома №2;АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;490 000,00 ₽;;;;;;;;;;;;;;
№ 0154300017121000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000004;Подача заявок;Ремонт улично-дорожной сети с. Русский Брод Русско-Бродского сельского поселения Верховского районаОрловскойобласти (ул.А.Гайтеровой);АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;2 100 000,00 ₽;;;;;;;;;;;;;;
№ 0154300017121000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000003;Подача заявок;Ремонт улично-дорожной сети поселка Верховье Верховского районаОрловскойобласти, ул. Паровозная;АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;1 970 000,00 ₽;;;;;;;;;;;;;;
№ 0154300017121000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000002;Подача заявок;Ремонт улично-дорожной сети в пгт Верховье Верховского районаОрловскойобласти, ул. Ленина (от ул. Курчатова до ул. Победы);АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;2 600 000,00 ₽;;;;;;;;;;;;;;
№ 0354300068021000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300068021000002;Подача заявок;"Выполнение работ по объектам ремонта: ""Благоустройство  дворовой территории многоквартирного жилого дома №5 по улице Чкалова пгт. Колпна Колпнянского районаОрловскойобласти"", ""Благоустройство  дворовой территории многоквартирного жилого дома №7 по улице Чкалова пгт. Колпна Колпнянского районаОрловскойобласти""";АДМИНИСТРАЦИЯ КОЛПНЯНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;339 004,00 ₽;;;;;;;;;;;;;;
№ 0154300000421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300000421000001;Подача заявок;Благоустройство общественной территории прилегающей к Воинскому дому культуры по адресу:Орловскаяобл-ть, Мценский р-н, д.Первый Воин, ул.Тюленина, д.1;АДМИНИСТРАЦИЯ ВОИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МЦЕНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;1 395 413,00 ₽;;;;;;;;;;;;;;
№ 0354300068021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300068021000001;Подача заявок;"Выполнение работ по объекту ремонта: ""Благоустройство дворовой территории многоквартирного жилого дома №6 по улице Советская пгт. Колпна Колпнянского районаОрловскойобласти""";АДМИНИСТРАЦИЯ КОЛПНЯНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;277 441,00 ₽;;;;;;;;;;;;;;
№ 0154300015621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300015621000001;Подача заявок;Ремонт дорожного покрытия ул. Сельзозтехника с. Дроково Покровского районаОрловскойобласти;АДМИНИСТРАЦИЯ ПОКРОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;1 496 010,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000032;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000032;Подача заявок;Капитальный ремонтавтодорогипо ул.Орловской(от ул. 3-го Интернационала до ул. Металлистов) в  Бежицком  районе г. Брянска;БРЯНСКАЯ ГОРОДСКАЯ АДМИНИСТРАЦИЯ;02.02.2021;23 479 283,00 ₽;;;;;;;;;;;;;;
№ 0354300020221000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300020221000008;Подача заявок;Содержание автомобильныхдорогна территории Малахово-Слободского сельского поселения Троснянского районаОрловскойобласти на 2021 год.;АДМИНИСТРАЦИЯ ТРОСНЯНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;01.02.2021;500 000,00 ₽;;;;;;;;;;;;;;
№ 0154300014221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014221000001;Подача заявок;Содержание автомобильныхдорогобщего пользования местного значения вне границ населенных пунктов в границах Ливенского района (оказание услуг автогрейдера);УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ИМУЩЕСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ЛИВЕНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;01.02.2021;223 851,77 ₽;;;;;;;;;;;;;;
№ 0354300026721000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300026721000003;Подача заявок;Ремонт участка автомобильнойдорогив с. Кирики Хворостянского с/п Новосильского районаОрловскойобласти;АДМИНИСТРАЦИЯ НОВОСИЛЬСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;28.01.2021;392 660,00 ₽;;;;;;;;;;;;;;
№ 0354300026721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300026721000001;Определение поставщика завершено;Выполнение работ по содержанию автомобильныхдорог;АДМИНИСТРАЦИЯ НОВОСИЛЬСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;27.01.2021;659 199,20 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354300026721000001;АДМИНИСТРАЦИЯ НОВОСИЛЬСКОГО РАЙОНА ОРЛОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО ""НОВОСИЛЬСКОЕ""";;659 199,20;;;;;;
№ 32109915633;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109915633;Работа комиссии;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 8/ЗКТЭ-ДЖВ/21 на право заключения договора оказания услуг по вывозу и утилизации ртутных люминесцентных и ультрафиолетовых бактерицидных ламп на вокзалах Московской региональной дирекции железнодорожных вокзалов (вокзалы Белорусский, Казанский, Киевский, Павелецкий, Рижский, Савеловский, Ярославский, Брянск-Орловский, Калуга-1, Курск, Орел, Рязань-1,2, Смоленск, Тула).;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.01.2021;1 023 514,80 ₽;;;;;;;;;;;;;;
№ 0158200000521000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0158200000521000003;Подача заявок;Ремонт автомобильныхдорогобщегопользования регионального и межмуниципального значения в Азовском, Аксайском,Багаевском, Веселовском, Волгодонском, Егорлыкском, Зерноградском,Кагальницком, Мартыновском, Мясниковском, Неклиновском,Орловском,Песчанокопском, Пролетарском, Сальском, Семикаракорском, Целинском, Цимлянском,Тацинском районах Ростовской области;МИНИСТЕРСТВО ТРАНСПОРТА РОСТОВСКОЙ ОБЛАСТИ;18.01.2021;1 147 637 617,00 ₽;;;;;;;;;;;;;;
№ 0354300020221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300020221000001;Определение поставщика завершено;Содержание автомобильныхдорогна территории Троснянского сельского поселения Троснянского районаОрловскойобласти на 2021 год.;АДМИНИСТРАЦИЯ ТРОСНЯНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;18.01.2021;1 953 274,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354300020221000001;АДМИНИСТРАЦИЯ ТРОСНЯНСКОГО РАЙОНА ОРЛОВСКОЙ ОБЛАСТИ;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ТРОСНЯНСКОГО РАЙОНА;;1 953 274,00;;;;;;
№ 32109894809;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109894809;Закупка завершена;выполнение работы по обустройству автомобильныхдорогвОрловскойобласти (в рамках капитального ремонта) автомобильнаядорогарегионального значения Горки – Шаблыкино в Шаблыкинском районе в границах н.п. Молодовое (за исключением разметки и искусственного освещения);"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕОРЛОВСКОЙОБЛАСТИ ""ДОРОЖНАЯ СЛУЖБА""";15.01.2021;3 954 179,00 ₽;;;;;;;;;;;;;;
№ 0158300026921000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300026921000002;Определение поставщика завершено;Содержание и текущее обслуживание светофорных объектов в п.Орловский.;АДМИНИСТРАЦИЯОРЛОВСКОГОСЕЛЬСКОГО ПОСЕЛЕНИЯ;13.01.2021;400 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0158300026921000002;АДМИНИСТРАЦИЯ ОРЛОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОСЕРВИС""";1 - Победитель;372 000,00;Хиврич Е. А.;2 - Второй номер;374 000,00;31.12.2021;02.02.2021;;"347510, ОБЛ РОСТОВСКАЯ 61, Р-Н ОРЛОВСКИЙ, - ОРЛОВСКИЙ, УЛ КОММУНАЛЬНАЯ, ДОМ 79 ""Б""";6126011530;субъект малого предпринимательства
№ 0358300077221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0358300077221000001;Подача заявок;Поставка шлагбаума автоматического;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""ОРЛОВСКОГОРАЙОНА РОСТОВСКОЙ ОБЛАСТИ";12.01.2021;49 818,33 ₽;;;;;;;;;;;;;;
№ 0354100008420000120;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100008420000120;Определение поставщика завершено;Оказание услуг по содержанию систем видеоконтроля (камер фото-видеофиксации нарушений правил дорожного движения) на автомобильныхдорогахобщего пользования федерального значения вОрловскойобласти;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;19 272 420,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354100008420000120;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;Принято решение о признании только одного участника закупки, подавшего заявку на участие в электронном аукционе, его участником. По результатам рассмотрения заявки единственного участника, данная заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. (п. 3 ч.2 ст. 71);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР""";;19 272 420,00;31.01.2022;03.02.2021;;302525, ОБЛ ОРЛОВСКАЯ 57, С/П ПЛАТОНОВСКОЕ, УЛ РАЗДОЛЬНАЯ, ДОМ 111;5720022409;7-4862-781782vector-r57@yandex.ru
