Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0154300010121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300010121000001;Подача заявок;"Выполнение работ по объекту текущего ремонта: ""Ремонт автомобильнойдорогиместного значения по адресу:Орловскаяобласть, Свердловский район, Новопетровское сельское поселение, д.Никуличи, ул.Верхняя от дома №1 до дома №17""";АДМИНИСТРАЦИЯ НОВОПЕТРОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ СВЕРДЛОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;10.02.2021;1 349 610,00 ₽;;;;;;;;;;;;;;
№ 0191300041621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0191300041621000001;Подача заявок;Дорогиавтомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходныедороги, не включенные в другие группировки;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""НОВООРЛОВСК""";09.02.2021;2 976 590,00 ₽;;;;;;;;;;;;;;
№ 0354100013321000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100013321000002;Подача заявок;Работы по капитальному ремонту асфальтового покрытия промышленной зоны;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПООРЛОВСКОЙОБЛАСТИ""";08.02.2021;6 570 836,00 ₽;;;;;;;;;;;;;;
№ 0354100013321000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100013321000001;Подача заявок;Работы по капитальному ремонту асфальтового покрытия жилой зоны и покрытия перед штабом;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПООРЛОВСКОЙОБЛАСТИ""";08.02.2021;7 695 293,00 ₽;;;;;;;;;;;;;;
№ 0154300014221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300014221000002;Подача заявок;Содержание автомобильныхдорогобщего пользования местного значения вне границ населенных пунктов в границах Ливенского района (выкашивание обочин);УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ИМУЩЕСТВА И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ЛИВЕНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;04.02.2021;247 328,35 ₽;;;;;;;;;;;;;;
№ 0154300017121000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000005;Подача заявок;Ремонт улично-дорожной сети поселка Верховье Верховского районаОрловскойобласти, участок ул. Королёва от переезда до жилого дома №2;АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;490 000,00 ₽;;;;;;;;;;;;;;
№ 0154300017121000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000004;Подача заявок;Ремонт улично-дорожной сети с. Русский Брод Русско-Бродского сельского поселения Верховского районаОрловскойобласти (ул.А.Гайтеровой);АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;2 100 000,00 ₽;;;;;;;;;;;;;;
№ 0154300017121000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000003;Подача заявок;Ремонт улично-дорожной сети поселка Верховье Верховского районаОрловскойобласти, ул. Паровозная;АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;1 970 000,00 ₽;;;;;;;;;;;;;;
№ 0154300017121000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300017121000002;Подача заявок;Ремонт улично-дорожной сети в пгт Верховье Верховского районаОрловскойобласти, ул. Ленина (от ул. Курчатова до ул. Победы);АДМИНИСТРАЦИЯ  ВЕРХОВСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;2 600 000,00 ₽;;;;;;;;;;;;;;
№ 0354300068021000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354300068021000002;Подача заявок;"Выполнение работ по объектам ремонта: ""Благоустройство  дворовой территории многоквартирного жилого дома №5 по улице Чкалова пгт. Колпна Колпнянского районаОрловскойобласти"", ""Благоустройство  дворовой территории многоквартирного жилого дома №7 по улице Чкалова пгт. Колпна Колпнянского районаОрловскойобласти""";АДМИНИСТРАЦИЯ КОЛПНЯНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;339 004,00 ₽;;;;;;;;;;;;;;
№ 0154300000421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0154300000421000001;Подача заявок;Благоустройство общественной территории прилегающей к Воинскому дому культуры по адресу:Орловскаяобл-ть, Мценский р-н, д.Первый Воин, ул.Тюленина, д.1;АДМИНИСТРАЦИЯ ВОИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МЦЕНСКОГО РАЙОНАОРЛОВСКОЙОБЛАСТИ;02.02.2021;1 395 413,00 ₽;;;;;;;;;;;;;;
