Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0855200000521000232;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0855200000521000232;Подача заявок;Замена барьерного ограждения на автомобильнойдороге«р.п. Лунино - р.п. Исса» км 49+468 - км 49+500 (лево, право), км 49+564 - км 49+596 (лево, право) Иссинского районаПензенскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕПЕНЗЕНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОСУЩЕСТВЛЕНИЮ ЗАКУПОКПЕНЗЕНСКОЙОБЛАСТИ""";26.02.2021;473 008,88 ₽;;;;;;;;;;;;;;
№ 0164200003021000467;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000467;Подача заявок;выполнение проектно-изыскательских работ, обустройство и содержание наружного освещения участков автомобильнойдороги«Тамбов-Пенза»-Бондари-Пичаево-Вернадовка» км 78+134- км 79+040 (с.Вернадовка), Пичаевский район;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТАМБОВСКОЙ ОБЛАСТИ;25.02.2021;7 815 360,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000465;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000465;Подача заявок;выполнение проектно-изыскательских работ, обустройство и содержание  наружного освещения участка автомобильнойдороги«Тамбов-Пенза»-«Калаис»-Шиновка-Кирсанов км 14+136- км 15+956 (г.Кирсанов), Кирсановский район;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТАМБОВСКОЙ ОБЛАСТИ;25.02.2021;16 487 905,00 ₽;;;;;;;;;;;;;;
№ 0855300002821000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0855300002821000015;Подача заявок;Выполнение работ по Текущему ремонту асфальтного покрытия территории МБОУ СОШ № 64 г.Пензы;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК ГОРОДАПЕНЗЫ""";25.02.2021;2 371 128,00 ₽;;;;;;;;;;;;;;
№ 0855200000521000212;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0855200000521000212;Подача заявок;Обустройство нерегулируемого пешеходного перехода на км 4+280 автомобильнойдорогиг.Пенза– р. п. Шемышейка – с. Лопатино»ПензенскогорайонаПензенскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕПЕНЗЕНСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ ПО ОСУЩЕСТВЛЕНИЮ ЗАКУПОКПЕНЗЕНСКОЙОБЛАСТИ""";24.02.2021;928 836,97 ₽;;;;;;;;;;;;;;
№ 0355300008721000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0355300008721000020;Подача заявок;Оказание услуг по осуществлению строительного контроля за выполнением работ по ремонтуавтодорогипо ул. Ленина, на участке  от пересечения с ул. Дзержинского до дома № 85 по ул. Ленина,автодорогипо ул. Лесная ПК 0+00-ПК 5+50,  р.п. Шемышейка  Шемышейского районаПензенскойобласти  расположенной по адресу:Пензенскаяобласть, Шемышейский район;АДМИНИСТРАЦИЯ ШЕМЫШЕЙСКОГО РАЙОНА;24.02.2021;180 000,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000021;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000021;Подача заявок;Проведение строительного контроля при осуществлении капитального ремонта объекта: «Капитальный ремонт автомобильнойдорогиР-208 Тамбов -Пензасеверный обход г. Тамбова на участке км 0+000 - км 9+500, Тамбовская область. 2 этап - путепровод через железнуюдорогу(Мичуринск - Уральский - Тамбов - 1 на км 4+304)»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.02.2021;4 165 131,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000020;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000020;Подача заявок;Капитальный ремонт автомобильнойдорогиР-208 Тамбов -Пензасеверный обход г. Тамбова на участке км 0+000 - км 9+500, Тамбовская область. 2 этап - путепровод через железнуюдорогу(Мичуринск - Уральский - Тамбов - 1 на км 4+304);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.02.2021;128 983 147,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000408;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0164200003021000408;Подача заявок;"Оказание услуг по строительному контролю по объекту ""Строительствоавтодороги""Тамбов-Пенза""- подъезд к детскому саду в с. Платоновка Рассказовского района Тамбовской области";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТАМБОВСКОЙ ОБЛАСТИ;20.02.2021;2 058 770,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000407;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0164200003021000407;Подача заявок;"Строительствоавтодороги""Тамбов-Пенза""- подъезд к детскому саду в с. Платоновка Рассказовского района Тамбовской области";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТАМБОВСКОЙ ОБЛАСТИ;20.02.2021;67 703 773,00 ₽;;;;;;;;;;;;;;
№ 0155300002321000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300002321000007;Подача заявок;Ремонтдорог:  по ул. Л.Толстого (от пересечения с ул. Лермонтова до моста на ул. Новогодняя) и по ул. Лермонтова города Никольска Никольского районаПензенскойобласти;АДМИНИСТРАЦИЯ НИКОЛЬСКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ;20.02.2021;24 329 665,68 ₽;;;;;;;;;;;;;;
№ 0155300021921000024;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300021921000024;Подача заявок;"Выполнение работ по ремонту автомобильнойдорогиобщего пользования местного значения ""Подъезд к с. Первое Тарлаково"" Кузнецкого районаПензенскойобласти";АДМИНИСТРАЦИЯ КУЗНЕЦКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ;20.02.2021;10 493 364,67 ₽;;;;;;;;;;;;;;
№ 0301100012721000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0301100012721000004;Подача заявок;"Содержание действующей сети автомобильныхдорогобщего пользования федерального значения (устройство защитных слоев, слоев износа и поверхностной обработки) по объектам: Устройство слоев износа на автомобильнойдорогеМ-5 Урал Москва РязаньПензаСамара Уфа Челябинск на участке км 1494+000 км 1515+000, Республика Башкортостан»; Устройство слоев износа на автомобильнойдорогеМ-5 Урал Москва РязаньПензаСамара Уфа Челябинск на участке км 1530+000 км 1548+651, Республика Башкортостан».";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ПРИУРАЛЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА """;19.02.2021;357 691 570,00 ₽;;;;;;;;;;;;;;
№ 0360200054021000017;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0360200054021000017;Подача заявок;"Выполнение проектно-изыскательских работ по капитальному ремонту автоподъезда к с. Елизаветино - с. Вяжля от автомобильнойдороги""Р-208 ""Тамбов -Пенза"" – Саратов – Пристанное – Ершов – Озинки – граница с Республикой Казахстан"" на участке водопропускной трубы на км 10+673 в Аткарском районе Саратовской области.";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";19.02.2021;2 213 557,85 ₽;;;;;;;;;;;;;;
№ 0155300001021000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300001021000008;Подача заявок;Обустройство внутри дворовых территорий по улице Театральная, 5, 6, 8 в городе Спасске Спасского районаПензенскойобласти;АДМИНИСТРАЦИЯ СПАССКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ (ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН СПАССКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ);19.02.2021;615 723,11 ₽;;;;;;;;;;;;;;
№ 0155300002121000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0155300002121000008;Подача заявок;Ремонт автомобильныхдорогобщего пользования с. Вадинск Вадинского районаПензенскойобласти: ул. 9 Мая, ул. Ярморочная, ул. Томская, ул. Жидкова;АДМИНИСТРАЦИЯ ВАДИНСКОГО РАЙОНАПЕНЗЕНСКОЙОБЛАСТИ;19.02.2021;1 190 416,91 ₽;;;;;;;;;;;;;;
№ 0860400000321000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000321000014;Подача заявок;Выполнение работ по объекту: «Капитальный ремонт автомобильнойдорогиР-158 Нижний Новгород – Арзамас – Саранск – Исса –Пенза– Саратов на участке км 574+800 – км 583+000, Саратовская область»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";18.02.2021;443 766 539,00 ₽;;;;;;;;;;;;;;
