Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0156300000321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156300000321000004;Подача заявок;"Ремонт автомобильнойдороги№ 7420002170 НП ЧС 572200085 от 5 км автомобильнойдороги""Бершеть-Юг"" до танкодрома в/ч 32755, участки: ПК0+00 - ПК1+08, ПК1+28-ПК 2+02";АДМИНИСТРАЦИЯ ЗАКРЫТОГО АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОГО ОБРАЗОВАНИЯ ЗВЁЗДНЫЙПЕРМСКОГОКРАЯ;10.02.2021;1 629 363,17 ₽;;;;;;;;;;;;;;
№ 0156600015521000026;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600015521000026;Подача заявок;Ремонт автомобильныхдорогп.Октябрьский: ул.Железнодорожная от  ...;АДМИНИСТРАЦИЯ ОКТЯБРЬСКОГО ГОРОДСКОГО ОКРУГАПЕРМСКОГОКРАЯ;10.02.2021;6 505 987,64 ₽;;;;;;;;;;;;;;
№ 0156600044221000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600044221000008;Подача заявок;Ремонт  ул. Юбилейная с. Дуброво;АДМИНИСТРАЦИЯ ЕЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;10.02.2021;2 500 000,00 ₽;;;;;;;;;;;;;;
№ 0156600044221000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600044221000007;Подача заявок;Ремонт  ул. Ленина с. Елово, от пересечения с ул. Комсомольская до здания р. вокзала;АДМИНИСТРАЦИЯ ЕЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;10.02.2021;7 000 000,00 ₽;;;;;;;;;;;;;;
№ 0156600044221000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600044221000006;Подача заявок;Ремонт автомобильныхдорог: д. Норочье (ул. Лесная), с. М. Уса (ул. Гладкова от д. № 6 до пересечения с ул. Запрудная до д. № 18), д. Куштомак (ул. Центральная), д. Кижи (ул. Полевая, от д. № 1а до д. № 12, до кладбища), с. Плишкари (ул. Комсомольская), с. Елово (ул. Молодежная, ул. Е.Пугачева, ул. Злыгостева, пер. Коммунальный, ул. Мира );АДМИНИСТРАЦИЯ ЕЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;10.02.2021;6 631 400,75 ₽;;;;;;;;;;;;;;
№ 32109976186;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109976186;Подача заявок;Поставка углекислоты жидкой для нуждПермскогоотряда филиала ФГП ВО ЖДТ России на Свердловской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";10.02.2021;84 000,00 ₽;;;;;;;;;;;;;;
№ 32109975728;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975728;Закупка завершена;оказание комплекса услуг по содержанию территории, уборке, погрузке и вывозу снега с территории основной производственной площадки площадью 1,351 га;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОТОН-ПЕРМСКИЕМОТОРЫ""";10.02.2021;1 243 904,00 ₽;;;;;;;;;;;;;;
№ 0315100000321000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0315100000321000004;Подача заявок;Выполнение работ по объекту: «Устройство защитных слоев на автомобильнойдорогеА-153 Нытва - Кудымкар на участке км 98+000 - км 107+000,Пермскийкрай. Устройство защитных слоев на автомобильнойдорогеА-153 Нытва - Кудымкар на участке км 65+000 - км 75+000,Пермскийкрай»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""ПРИКАМЬЕ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";09.02.2021;20 579 490,00 ₽;;;;;;;;;;;;;;
№ 0156600044221000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600044221000005;Подача заявок;Ремонт автомобильнойдорогиподъезд к д. Барановка;АДМИНИСТРАЦИЯ ЕЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;09.02.2021;12 000 000,00 ₽;;;;;;;;;;;;;;
№ 0156600044221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0156600044221000002;Подача заявок;Ремонт  автомобильнойдороги«Барановка-Дуброво», км 0+109 - км 3+200, км 8+500 – км 10+000;АДМИНИСТРАЦИЯ ЕЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАПЕРМСКОГОКРАЯ;09.02.2021;5 721 000,00 ₽;;;;;;;;;;;;;;
