Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32009875231;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009875231;Подача заявок;Открытый конкурс среди субъектов малого и среднего предпринимательства в электронной форме № 833/ОКЭ-ЦДПО/20 на право заключения договора оказания услуг по комплексной уборке пассажирских обустройств Октябрьской дирекции пассажирских обустройств;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";31.12.2020;;;;;;;;;;;;;;;
№ 32009867707;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867707;Работа комиссии;Открытый конкурс в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства № 3840/ОКЭ-АО «РЖДстрой»/2020/Д на право заключения договора для выполнения комплекса строительно-монтажных работ на объектах Октябрьской железнойдороги.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";29.12.2020;;;;;;;;;;;;;;;
№ 32009867601;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867601;Закупка завершена;Запрос котировок в электронной форме № 3692/ЗКТЭ-АО «РЖДстрой»/2020 на право заключения договора,  на  выполнение  комплекса строительно-монтажных работ на объектах Октябрьской ж. д.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";29.12.2020;;;;;;;;;;;;;;;
№ 0372100009920000117;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009920000117;Определение поставщика завершено;"...  автомобильныхдорогобщего пользования федерального значения в Ленинградской области: автомобильнаядорогаР ...  Республикой Белоруссия, Гатчинский  район; автомобильнаядорогаА-120 «Санкт-Петербургское южное ... , Ломоносовский и Кировский районы; автомобильнаядорогаА-121 «Сортавала» Санкт-Петербург ...  - Сортавала - автомобильнаядорогаР-21 «Кола», Приозерский район ... ; автомобильнаядорогаА-181 «Скандинавия» Санкт-Петербург ...  Финляндской Республикой, Выборгский район; автомобильнаядорогаМ-10 «Россия» Москва - Тверь ...  - Санкт-Петербург, Тосненский район; автомобильнаядорогаА-180 «Нарва» Санкт-Петербург ...  Кингисеппский районы; автомобильнаядорогаР-21 «Кола» Санкт-Петербург -Петрозаводск- Мурманск - Печенга ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";23.12.2020;128 058 371,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0372100009920000117;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХ ДОРОГ ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТРАНССТРОЙ""";;128 058 371,00;27.02.2023;28.01.2021;;125167, г. Москва, Ленинградский проспект д.37, пом. 46, комн. 21;7734590878;7-495-2801000coordinator@esp-plus.ru
№ 32009831819;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009831819;Закупка завершена;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 6743/ОАЭ-ЦД/20 на право заключения договора поставки воды питьевой;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.12.2020;;;;;;;;;;;;;;;
№ 0330100010520000133;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0330100010520000133;Определение поставщика завершено;Оказание услуг по содержанию автомобильнойдорогиобщего пользованияфедерального значения А-215 Лодейное Поле – Вытегра – Прокшино – Плесецк – Брин-Наволок сподъездом к г.Петрозаводсккм 0+012 – км 2+838 (в Вологодской области);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";22.12.2020;6 719 578,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0330100010520000133;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОРОГИ ВЫТЕГРА""";;6 719 578,00;31.12.2022;27.01.2021;;31.12.2021;3508009560;01.11.2021
№ 32009817119;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009817119;Работа комиссии;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 6670/ОАЭ-ЦДТВ/20 на право заключения договора оказания услуг по организации технологического процесса работы обьектов теплоснабжения;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";17.12.2020;;;;;;;;;;;;;;;
№ 32009816423;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009816423;Работа комиссии;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 6664/ОАЭ-ЦДТВ/20 на право заключения договора выполнения работ по текущему ремонту объектов водоснабженияПетрозаводскоготерриториального участка;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";17.12.2020;8 738 346,00 ₽;;;;;;;;;;;;;;
№ 0806300011820000669;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0806300011820000669;Определение поставщика завершено;Выполнение работ по ремонту автомобильныхдорогобщего пользования местного значения в границахПетрозаводскогогородского округа;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕПЕТРОЗАВОДСКОГОГОРОДСКОГО ОКРУГА ""ПЕТРОСНАБ""";09.12.2020;944 277 617,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0806300011820000669;АДМИНИСТРАЦИЯ ПЕТРОЗАВОДСКОГО ГОРОДСКОГО ОКРУГА;;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АБЗ-ДОРСТРОЙ""";;944 277 617,00;;;;;;
№ 32009782336;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009782336;Закупка завершена;Оказание профилактических услуг по дезинфекции в зданииПетрозаводскогопроизводственного участка Административно-хозяйственного центраОктябрьской железнойдороги– филиала ОАО «РЖД»;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";09.12.2020;189 390,00 ₽;;;;;;;;;;;;;;
