Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0158300035921000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0158300035921000007;Подача заявок;Реконструкция  автомобильнойдорогипо ул. 7-я линия в п. Целина Целинского районаРостовскойобласти;АДМИНИСТРАЦИЯ ЦЕЛИНСКОГО РАЙОНА;04.02.2021;272 147 600,00 ₽;;;;;;;;;;;;;;
№ 0158300053921000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300053921000003;Подача заявок;"""Ремонт светофорного объекта, расположенного по адресуРостовскаяобласть, Егорлыкский район, ст. Егорлыкская ул. Ворошилова 81""";АДМИНИСТРАЦИЯ ЕГОРЛЫКСКОГО РАЙОНА;03.02.2021;71 648,00 ₽;;;;;;;;;;;;;;
№ 0158300018921000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300018921000005;Подача заявок;Разработка проектов организации дорожного движения автомобильныхдорогобщего пользования местного значения, расположенных на территории Зимовниковского районаРостовскойобласти;АДМИНИСТРАЦИЯ ЗИМОВНИКОВСКОГО РАЙОНАРОСТОВСКОЙОБЛАСТИ;03.02.2021;1 175 318,45 ₽;;;;;;;;;;;;;;
№ 0158300018921000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300018921000004;Подача заявок;Установка светофорного объекта по адресу:Ростовскаяобласть, п. Зимовники, перекресток пер. 87-й Стрелковой дивизии - ул. Рабочая;АДМИНИСТРАЦИЯ ЗИМОВНИКОВСКОГО РАЙОНАРОСТОВСКОЙОБЛАСТИ;03.02.2021;1 140 068,00 ₽;;;;;;;;;;;;;;
№ 0158200000521000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158200000521000012;Подача заявок;Содержание автомобильныхдорог– установка мостовых и дорожных ограждений в Волгодонском районе.;МИНИСТЕРСТВО ТРАНСПОРТАРОСТОВСКОЙОБЛАСТИ;03.02.2021;5 021 250,00 ₽;;;;;;;;;;;;;;
№ 0158300018921000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300018921000002;Подача заявок;Выполнение работ по нанесению дорожной разметки 1.14.1 (пешеходные переходы) на территории Зимовниковского районаРостовскойобласти;АДМИНИСТРАЦИЯ ЗИМОВНИКОВСКОГО РАЙОНАРОСТОВСКОЙОБЛАСТИ;03.02.2021;3 800 134,97 ₽;;;;;;;;;;;;;;
№ 0158300033621000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300033621000009;Подача заявок;Валка и обрезка деревьев  вдоль  автомобильныхдорогобщего пользования местного значения г. СальскаРостовскойобласти;АДМИНИСТРАЦИЯ САЛЬСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;03.02.2021;1 000 000,00 ₽;;;;;;;;;;;;;;
№ 0158300033621000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300033621000008;Подача заявок;Поставка дорожных знаков для обустройства автомобильныхдорогобщего пользования местного значения в г. СальскеРостовскойобласти;АДМИНИСТРАЦИЯ САЛЬСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;03.02.2021;3 500 000,00 ₽;;;;;;;;;;;;;;
№ 0158300033621000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300033621000007;Подача заявок;Содержание автомобильныхдорогобщего пользования местного значения г. СальскаРостовскойобласти;АДМИНИСТРАЦИЯ САЛЬСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;02.02.2021;15 000 000,00 ₽;;;;;;;;;;;;;;
№ 0158300000121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300000121000001;Подача заявок;Реконструкция автомобильнойдорогиобщего пользования ст. Тацинская - х. Исаев Тацинского районаРостовскойобласти (1-й пусковой комплекс);АДМИНИСТРАЦИЯ ТАЦИНСКОГО РАЙОНА;02.02.2021;308 560 600,00 ₽;;;;;;;;;;;;;;
№ 0158300053921000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300053921000002;Подача заявок;"""Ремонт дорожного освещения, расположенного по адресу:Ростовскаяобласть, Егорлыкский район, х. Кавалерский ул. Южная""";АДМИНИСТРАЦИЯ ЕГОРЛЫКСКОГО РАЙОНА;02.02.2021;95 575,00 ₽;;;;;;;;;;;;;;
№ 32109948193;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109948193;Подача заявок;Оказание услуг по разработке природоохранной документации для нуждРостовскогоотряда филиала ФГП ВО ЖДТ России на Северо-Кавказской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";01.02.2021;120 600,00 ₽;;;;;;;;;;;;;;
№ 0158600001221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158600001221000002;Подача заявок;разработка проектной документации по объекту: «Реконструкция мостового перехода через канал на км 2+091 автомобильнойдорогиподъезд от а/д «г.Ростов-на-Дону (от магистрали «Дон» - г.Семикаракорск – г.Волгодонск» -х.Титов – х.Потапов» к п.Крымский»;УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА, АРХИТЕКТУРЫ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ СЕМИКАРАКОРСКОГО РАЙОНА;01.02.2021;3 184 530,00 ₽;;;;;;;;;;;;;;
№ 0158300040121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300040121000001;Подача заявок;Выполнение работ  по  содержаниюдорогобщего пользования местного значения  в границах Багаевского района, расположенных на территории Елкинского сельского поселения Багаевского районаРостовскойобласти  на 2021 год.;АДМИНИСТРАЦИЯ ЕЛКИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ БАГАЕВСКОГО РАЙОНАРОСТОВСКОЙОБЛАСТИ;01.02.2021;615 200,00 ₽;;;;;;;;;;;;;;
№ 0158300002221000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0158300002221000004;Подача заявок;Выполнение работ по содержанию муниципальных автомобильныхдорогв Мартыновском районеРостовскойобласти.;АДМИНИСТРАЦИЯ МАРТЫНОВСКОГО РАЙОНА;31.01.2021;16 000 000,00 ₽;;;;;;;;;;;;;;
№ 0358300284521000008;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0358300284521000008;Подача заявок;"Строительство автомобильнойдорогиобщего пользования местного значения по ул. Еременко (пр. Солженицына-ул. Жданова) микрорайона №5 жилого района ""Левенцовский""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ  УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО СТРОИТЕЛЬСТВУ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ Г.РОСТОВА-НА-ДОНУ""";29.01.2021;119 807 760,00 ₽;;;;;;;;;;;;;;
