Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32109975282;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975282;Подача заявок;Выполнение работ по установке надземных пешеходных переходов из модульных конструкций на объекте «Оказание услуг по содержанию участка автомобильнойдорогиобщего пользования федерального значения и искусственных дорожных сооружений на ней М-5 «Урал» Москва –Рязань– Пенза – Самара – Уфа – Челябинск (подъезд к пункту пропуска «Орск») км 10+600 – км 293+410, Оренбургская область».;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ОРЕНБУРГРЕМДОРСТРОЙ""";09.02.2021;83 526 971,00 ₽;;;;;;;;;;;;;;
№ 0859200001121000591;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000591;Подача заявок;Ремонт автомобильнойдорогипо улице Пролетарская в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;1 886 254,08 ₽;;;;;;;;;;;;;;
№ 0859200001121000590;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000590;Подача заявок;Ремонт автомобильнойдорогипо улице Спартака в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;1 736 401,59 ₽;;;;;;;;;;;;;;
№ 0859200001121000587;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000587;Подача заявок;Ремонт участка автомобильнойдорогипо улице Интернациональная в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;909 273,64 ₽;;;;;;;;;;;;;;
№ 0859200001121000585;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000585;Подача заявок;Ремонт автомобильнойдорогипо улице Революционная в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;1 964 294,45 ₽;;;;;;;;;;;;;;
№ 0859200001121000580;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000580;Подача заявок;Ремонт автомобильнойдорогипо улице Нижне-Реченская в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;1 554 665,02 ₽;;;;;;;;;;;;;;
№ 0859200001121000578;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000578;Подача заявок;Ремонт автомобильнойдорогипо улице Коржевин Извоз в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;1 599 922,03 ₽;;;;;;;;;;;;;;
№ 0859200001121000574;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000574;Подача заявок;Ремонт автомобильнойдорогипо улице Окская в р.п. Елатьма Касимовского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";09.02.2021;655 878,84 ₽;;;;;;;;;;;;;;
№ 0859200001121000415;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0859200001121000415;Подача заявок;Ремонт автомобильнойдорогиулица Заречная города Новомичуринск Пронского районаРязанскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕРЯЗАНСКОЙОБЛАСТИ ""ЦЕНТР ЗАКУПОКРЯЗАНСКОЙОБЛАСТИ""";04.02.2021;12 403 317,60 ₽;;;;;;;;;;;;;;
№ 0459000000521000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0459000000521000003;Подача заявок;Оказание услуг поосуществлению строительного контроля при строительстве пути необщегопользования АО «Корпорация развитияРязанскойобласти», примыкающего кжелезнодорожной станции Дягилево Московской железнойдороги;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОРПОРАЦИЯ РАЗВИТИЯРЯЗАНСКОЙОБЛАСТИ""";04.02.2021;8 245 283,00 ₽;;;;;;;;;;;;;;
