Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32110029718;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110029718;Подача заявок;Оказание услуг по обучению, проверки знаний работниковСамарскогоотряда (Ульяновское направление) филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;13 480,00 ₽;;;;;;;;;;;;;;
№ 32110029704;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110029704;Подача заявок;Поставка расходных материалов для технического обслуживания пожарной автотехники для нуждСамарскогоотряда (Ульяновское направление) филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;40 111,30 ₽;;;;;;;;;;;;;;
№ 32110029691;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110029691;Подача заявок;Оказание услуг по обучению персонала обслуживающего  сосуды, работающие под давлением для нуждСамарскогоотряда (Ульяновское направление) филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;41 600,00 ₽;;;;;;;;;;;;;;
№ 32110029677;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110029677;Подача заявок;Оказание услуг по проведению дератизации, для нуждСамарскогоотряда (Ульяновское направление) филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;162 848,45 ₽;;;;;;;;;;;;;;
№ 32110029657;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110029657;Подача заявок;Поставка электротоваров для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;142 600,00 ₽;;;;;;;;;;;;;;
№ 32110029645;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110029645;Подача заявок;Поставка фотоаппаратов  для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";26.02.2021;63 920,00 ₽;;;;;;;;;;;;;;
№ 0142300025621000010;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0142300025621000010;Подача заявок;Выполнение работ по ремонту  автомобильныхдорогобщего пользования местного значения на территории сельского поселения Муранка муниципального района ШигонскийСамарскойобласти;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ШИГОНСКИЙСАМАРСКОЙОБЛАСТИ;25.02.2021;3 108 031,22 ₽;;;;;;;;;;;;;;
№ 0842200002121000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0842200002121000019;Подача заявок;Ремонт автомобильнойдорогиобщего пользования межмуниципального значения вСамарскойобласти Безенчук – Александровка – Верхнепечерское на участке км 11+000 – км 24+000, расположенной в муниципальном районе БезенчукскийСамарскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСАМАРСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИ САМАРСКОЙОБЛАСТИ""";24.02.2021;293 201 278,73 ₽;;;;;;;;;;;;;;
№ 0842200002121000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0842200002121000018;Подача заявок;Ремонт автомобильнойдорогиобщего пользования межмуниципального значения вСамарскойобласти «Большая Глушица – Пестравка» - Березовка – Большая Дергуновка на участке км 0+000 – км 12+337, расположенной в муниципальном районе  БольшеглушицкийСамарскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСАМАРСКОЙОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИДОРОГАМИ САМАРСКОЙОБЛАСТИ""";24.02.2021;256 622 965,22 ₽;;;;;;;;;;;;;;
№ 0342300000121000150;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0342300000121000150;Определение поставщика отменено;Выполнение работ по обеспечению эксплуатационного состояния и ремонту автомобильныхдорог, пешеходных зон и элементов их обустройства на территории Куйбышевского, Ленинского, Железнодорожного, Советского, Октябрьского, Промышленного и Красноглинского внутригородских районов городского округаСамара;ДЕПАРТАМЕНТ ФИНАНСОВ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГАСАМАРА;24.02.2021;451 277 211,81 ₽;;;;;;;;;;;;;;
№ 32110015713;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110015713;Подача заявок;Открытый конкурс с предварительной квалификацией в электронной форме для заключения договоров на выполнение работ по устранению наледи надорогахи ремонту асфальтобетонного покрытия для нужд ООО «Самарскиекоммунальные системы» в 2021 г.(СКС-2033);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМАРСКИЕКОММУНАЛЬНЫЕ СИСТЕМЫ""";20.02.2021;;;;;;;;;;;;;;;
№ 32110014479;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110014479;Подача заявок;Поставка кулера и  емкостей для воды для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";20.02.2021;40 176,00 ₽;;;;;;;;;;;;;;
№ 32110014453;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110014453;Подача заявок;Поставка пломб для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";20.02.2021;34 000,00 ₽;;;;;;;;;;;;;;
№ 32110014425;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110014425;Подача заявок;Поставка аккумуляторов для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";20.02.2021;16 000,00 ₽;;;;;;;;;;;;;;
№ 32110014401;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110014401;Подача заявок;Поставка жидкого мыла для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";20.02.2021;61 590,78 ₽;;;;;;;;;;;;;;
