Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Поле 1;Поле 2;Поле 3;Поле 4;Поле 5;Поле 6;Поле 7;ФИО Руководителя (Победитель);Контактные данные (Победитель);ИНН (Победитель);ФИО Руководителя (Второй номер);Контактные данные (Второй номер);ИНН (Второй номер)
№ 32009810192;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009810192;Работа комиссии;Прием снега и ледово-снежной массы от уборкидорог;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САМАРСКИЙГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""";16.12.2020;200 000,00 ₽;;;;;;;;;;;;;;
№ 0853500000320013523;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0853500000320013523;Подача заявок;"Выполнение работ по ремонту автомобильнойдорогиПодъезд к г. Новотроицку от автомобильнойдорогиМ-5 ""Урал"" Москва - Рязань - Пенза -Самара- Уфа - Челябинск (подъезд к пункту пропуска ""Орск"") км 0+045 - км 4+940 в Гайском городском округе Оренбургской области.";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";16.12.2020;70 955 018,00 ₽;;;;;;;;;;;;;;
№ 0342300000120001607;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0342300000120001607;Определение поставщика завершено;Выполнение работ по обеспечению эксплуатационного состояния и ремонту автомобильныхдорог, пешеходных зон и элементов их обустройства на территории Кировского внутригородского района городского округаСамара;ДЕПАРТАМЕНТ ФИНАНСОВ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГАСАМАРА;07.12.2020;139 227 971,11 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0342300000120001607;ДЕПАРТАМЕНТ ГОРОДСКОГО ХОЗЯЙСТВА И ЭКОЛОГИИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА САМАРА;;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕДР-1""";;138 531 831,26;;;;;;
№ 0342300000120001609;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0342300000120001609;Определение поставщика завершено;Выполнение работ по обеспечению эксплуатационного состояния и ремонту автомобильныхдорог, пешеходных зон и элементов их обустройства на территорииСамарскоговнутригородского района городского округаСамара;ДЕПАРТАМЕНТ ФИНАНСОВ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГАСАМАРА;07.12.2020;51 449 472,37 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0342300000120001609;ДЕПАРТАМЕНТ ГОРОДСКОГО ХОЗЯЙСТВА И ЭКОЛОГИИ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА САМАРА;;В течение десяти минут после начала проведения электронного аукциона было подано единственное предложение о цене контракта. По результатам рассмотрения второй части такой заявки принято решение о ее соответствии требованиям, установленным документацией об электронном аукционе (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕДР-1""";;51 192 225,02;;;;;;
№ 0142300002720000068;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0142300002720000068;Работа комиссии;Поставка кухонной  электрической плиты;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ОКТЯБРЬСКСАМАРСКОЙОБЛАСТИ;08.12.2020;87 685,00 ₽;;;;;;;;;;;;;;
№ 32009808457;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808457;Закупка завершена;Содержание а/д М-5 «Урал» Москва - Рязань – Пенза –Самара– Уфа – Челябинск (Оренбург – Орск – Подъезд к пункту пропуска «Орск», км 10+600 – км 293+410) в Оренбургской области;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ОРЕНБУРГРЕМДОРСТРОЙ""";16.12.2020;850 340,00 ₽;;;;;;;;;;;;;;
№ 32009808604;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808604;Подача заявок;Оказание услуг по проведению периодических проверок на пригодность к действиям в условиях, связанных с применением огнестрельного оружия и специальных средств для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г.Самара);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;513 240,00 ₽;;;;;;;;;;;;;;
№ 32009808657;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808657;Подача заявок;Оказание услуг по проведению периодических проверок на пригодность к действиям в условиях, связанных с применением огнестрельного оружия и специальных средств для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г. Сызрань);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;148 992,00 ₽;;;;;;;;;;;;;;
№ 32009808522;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808522;Подача заявок;Оказание услуг по предоставлению стрелкового объекта (тира) для проведения учебно-тренировочных занятий по огневой подготовке (стрельбе) из боевого нарезного огнестрельного оружия для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г. Тольятти);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;19 996,80 ₽;;;;;;;;;;;;;;
№ 32009808443;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009808443;Подача заявок;Оказание услуг по предоставлению стрелкового объекта (тира) для проведения учебно-тренировочных занятий по огневой подготовке (стрельбе) из боевого нарезного огнестрельного оружия  для нуждСамарскогоотряда филиала ФГП ВО ЖДТ России на Куйбышевской железнойдороге(г. Сызрань);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";16.12.2020;46 800,00 ₽;;;;;;;;;;;;;;
