Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0372200191521000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372200191521000005;Подача заявок;Выполнение работ по ремонту асфальтового покрытия в ГБОУ школа  № 510 Московского районаСанкт-Петербургав 2021 году;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 510 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ АНГЛИЙСКОГО ЯЗЫКА МОСКОВСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;08.02.2021;300 708,95 ₽;;;;;;;;;;;;;;
№ 0372100009921000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372100009921000001;Подача заявок;Лот № 2: Оказание услуг по защите объектов транспортной инфраструктуры дорожного хозяйства от актов незаконного вмешательства на автомобильнойдорогеобщего пользования А-118 Кольцевая автомобильнаядорогавокруг г.Санкт-Петербурга;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГ""СЕВЕРО-ЗАПАД"" ИМЕНИ Н.В. СМИРНОВА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";08.02.2021;119 265 527,00 ₽;;;;;;;;;;;;;;
№ 0336100012521000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0336100012521000005;Подача заявок;Строительный контроль при проведении работ по объекту: «Капитальный ремонт мостов через реку Мста на км 501+878 (левый, правый) автомобильнойдорогиМ-10 «Россия» Москва - Тверь - Великий Новгород -Санкт-Петербург, Новгородская область (Устройство локальных очистных сооружений)»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";05.02.2021;1 403 980,67 ₽;;;;;;;;;;;;;;
№ 0172300009721000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0172300009721000004;Подача заявок;Выполнение работ по текущему ремонту асфальтобетонного покрытиядорог, обочин в пределах границ МО п. Усть-Ижора;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАПОСЕЛКА УСТЬ-ИЖОРА;05.02.2021;350 000,00 ₽;;;;;;;;;;;;;;
№ 0336100012521000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0336100012521000004;Подача заявок;Оказание услуг по содержанию комплексных постов дорожного контроля метеосистемы Новгородская область. Оказание услуг по содержанию пунктов учета интенсивности дорожного движения Новгородская область.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";04.02.2021;17 509 862,82 ₽;;;;;;;;;;;;;;
№ 0306100000421000001;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0306100000421000001;Подача заявок;"Разработка проектной документации: Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Устройство стационарного электрического освещения на автомобильнойдорогеР-21 ""Кола""Санкт-Петербург- Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия. Подъезд к аэропорту города Мурманск на участке км 0+200 - км 17+148, Мурманская область";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИСАНКТ-ПЕТЕРБУРГ- МУРМАНСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";04.02.2021;8 678 500,00 ₽;;;;;;;;;;;;;;
№ 32109959017;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109959017;Подача заявок;Выполнение проектно-изыскательских и строительно-монтажных работ по модернизации котельной расположенной по адресу: г.Санкт-Петербург, Колпинский район, пос. Петро-Славянка,Дорогана Петро-Славянку, дом 2 лит. Ф (ПИР, СМР, ПНР);"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКССАНКТ-ПЕТЕРБУРГА""";04.02.2021;16 320 000,00 ₽;;;;;;;;;;;;;;
№ 0336100012521000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0336100012521000003;Подача заявок;Оказание услуг по содержанию комплексных постов дорожного контроля метеосистемы Тверская область. Оказание услуг по содержанию пунктов учета интенсивности дорожного движения Тверская область.;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";03.02.2021;17 328 880,62 ₽;;;;;;;;;;;;;;
№ 32109956191;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109956191;Закупка завершена;на выполнение работ по содержанию автомобильныхдорогрегионального значения в  Калининском районеСанкт-Петербурга, включенных в Перечни автомобильныхдорогобщего и необщего пользования регионального значения вСанкт Петербургев первом полугодии 2021 года для обеспечения государственных нуждСанкт-Петербурга.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";03.02.2021;8 761 116,75 ₽;;;;;;;;;;;;;;
№ 0157200000321000015;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0157200000321000015;Подача заявок;Работы по капитальному ремонту автомобильнойдорогиобщего пользования регионального значения Опочка-а/дСанкт-Петербург-Псков-Пустошка-Невель до границы с Республикой Беларусь (М-20) км 407+672 (устройство недостающего наружного искусственного освещения) в Опочецком районе Псковской области (идентификационный номер: 017-ЭК-ГЗ (5));КОМИТЕТ ПО ЗАКУПКАМ ПСКОВСКОЙ ОБЛАСТИ;02.02.2021;42 343 919,26 ₽;;;;;;;;;;;;;;
№ 32109951744;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109951744;Подача заявок;Оказание транспортных услуг с использованием экскаваторов-погрузчиков (емкость переднего ковша от 1 м3 до 2 м3, емкость заднего ковша от 0,2 м3 до 0,5 м3) при проведении дорожно-строительных работ на автомобильныхдорогахрегионального значенияСанкт-Петербургав 2021 году.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";02.02.2021;7 066 680,00 ₽;;;;;;;;;;;;;;
№ 32109951434;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109951434;Подача заявок;Оказание услуг по работе экскаваторов гусеничных с емкостью ковша от 1 м3 до 2 м3 для дорожно-строительных работ на автомобильныхдорогахрегионального значенияСанкт-Петербургав 2021 году;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";02.02.2021;6 350 010,00 ₽;;;;;;;;;;;;;;
№ 32109947934;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109947934;Работа комиссии;Оказание транспортных услуг автомобилями-самосвалами грузоподъемностью от 20 тонн до 30 тонн для дорожно-строительных работ на автомобильныхдорогахрегионального значенияСанкт-Петербургав 2021 году;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;21 450 000,00 ₽;;;;;;;;;;;;;;
№ 32109947601;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109947601;Работа комиссии;Оказание транспортных услуг автомобилями-самосвалами грузоподъемностью от 20 тонн до 30 тонн для содержания автомобильныхдорогрегионального значения в Приморском районеСанкт-Петербургав 2021 году;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;3 575 000,00 ₽;;;;;;;;;;;;;;
