Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0157200000321000015;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0157200000321000015;Подача заявок;Работы по капитальному ремонту автомобильнойдорогиобщего пользования регионального значения Опочка-а/дСанкт-Петербург-Псков-Пустошка-Невель до границы с Республикой Беларусь (М-20) км 407+672 (устройство недостающего наружного искусственного освещения) в Опочецком районе Псковской области (идентификационный номер: 017-ЭК-ГЗ (5));КОМИТЕТ ПО ЗАКУПКАМ ПСКОВСКОЙ ОБЛАСТИ;02.02.2021;42 343 919,26 ₽;;;;;;;;;;;;;;
№ 32109951744;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109951744;Подача заявок;Оказание транспортных услуг с использованием экскаваторов-погрузчиков (емкость переднего ковша от 1 м3 до 2 м3, емкость заднего ковша от 0,2 м3 до 0,5 м3) при проведении дорожно-строительных работ на автомобильныхдорогахрегионального значенияСанкт-Петербургав 2021 году.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";02.02.2021;7 066 680,00 ₽;;;;;;;;;;;;;;
№ 32109951434;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109951434;Подача заявок;Оказание услуг по работе экскаваторов гусеничных с емкостью ковша от 1 м3 до 2 м3 для дорожно-строительных работ на автомобильныхдорогахрегионального значенияСанкт-Петербургав 2021 году;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";02.02.2021;6 350 010,00 ₽;;;;;;;;;;;;;;
№ 32109947934;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109947934;Подача заявок;Оказание транспортных услуг автомобилями-самосвалами грузоподъемностью от 20 тонн до 30 тонн для дорожно-строительных работ на автомобильныхдорогахрегионального значенияСанкт-Петербургав 2021 году;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;21 450 000,00 ₽;;;;;;;;;;;;;;
№ 32109947601;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109947601;Подача заявок;Оказание транспортных услуг автомобилями-самосвалами грузоподъемностью от 20 тонн до 30 тонн для содержания автомобильныхдорогрегионального значения в Приморском районеСанкт-Петербургав 2021 году;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;3 575 000,00 ₽;;;;;;;;;;;;;;
№ 0372200080021000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372200080021000001;Подача заявок;Выполнение  работ по текущему ремонту асфальтового покрытия территории и отмостки в ГБДОУ центр развития ребенка- детский сад №96 Фрунзенского районаСанкт- Петербургав 2021 году;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД № 96 ФРУНЗЕНСКОГО РАЙОНАСАНКТ-ПЕТЕРБУРГА;01.02.2021;914 027,00 ₽;;;;;;;;;;;;;;
№ 32109947398;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109947398;Подача заявок;Оказание транспортных услуг автомобилями-самосвалами грузоподъемностью от 20 тонн до 30 тонн для содержания автомобильныхдорогрегионального значения в Выборгском районеСанкт-Петербургав 2021;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;3 575 000,00 ₽;;;;;;;;;;;;;;
№ 32109946163;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109946163;Закупка завершена;на выполнение работ по содержанию автомобильныхдорогрегионального значения в  Калининском районеСанкт-Петербурга, включенных в Перечни автомобильныхдорогобщего и необщего пользования регионального значения вСанкт Петербургев первом полугодии 2021 года для обеспечения государственных нуждСанкт-Петербурга.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;8 761 116,75 ₽;;;;;;;;;;;;;;
№ 32109945527;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109945527;Закупка завершена;на выполнение работ по содержанию автомобильныхдорогрегионального значения в Калининском районеСанкт-Петербурга, включенных в Перечни автомобильныхдорогобщего и необщего пользования регионального значения вСанкт Петербургев первом полугодии 2021 года для обеспечения государственных нуждСанкт-Петербурга.;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛОМЯЖСКОЕ""";01.02.2021;9 916 111,70 ₽;;;;;;;;;;;;;;
№ 0372500005321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0372500005321000004;Подача заявок;"Выполнение работ по восстановлению нарушенного благоустройства покрытиядорог, тротуаров и других территорий, в местах проведения земляных работ, связанных с нарушением дорожной ""одежды"" после аварийного и планового ремонта";"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЛЕНСВЕТ""";29.01.2021;8 500 358,00 ₽;;;;;;;;;;;;;;
№ 32109941785;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109941785;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 174/ОАЭ-ЦДЗС/21 на право заключения договора выполнения работ по капитальному ремонту резервуара РВС-1000 для хранения дизельного топлива топливного склада станцииСанкт-Петербург-Витебский Октябрьской дирекции снабжения;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";29.01.2021;1 132 180,80 ₽;;;;;;;;;;;;;;
№ 32109940354;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109940354;Закупка завершена;Оказание услуг по перевозке работниковСанкт-Петербургскогоотряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";29.01.2021;344 100,00 ₽;;;;;;;;;;;;;;
№ 32109938572;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109938572;Подача заявок;Оказание услуг по проведению обязательного психиатрического освидетельствования работниковСанкт-Петербургскогоотряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге(г.Санкт-Петербург);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";29.01.2021;170 100,00 ₽;;;;;;;;;;;;;;
№ 32109938439;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109938439;Закупка завершена;Поставка технической соли (концентрат минеральный - галит, обработанный антислеживателем) для приготовления песко-соляной смеси для обработки автомобильныхдорогрегионального зна-чения в зимний период 2020-2021 гг;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ ПРЕДПРИЯТИЕ""ЦЕНТР""";29.01.2021;35 551 500,00 ₽;;;;;;;;;;;;;;
№ 32109936038;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109936038;Подача заявок;Оказание услуг по предоставлению материально-технической базы для проведения периодической проверки с огнестрельным оружием работников Бологовского отряда филиала ФГП ВО ЖДТ России на Октябрьской железнойдороге(г.Санкт Петербург);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВЕДОМСТВЕННАЯ ОХРАНА ЖЕЛЕЗНОДОРОЖНОГО ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ""";28.01.2021;535 500,00 ₽;;;;;;;;;;;;;;
№ 32109932142;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109932142;Подача заявок;Выполнение работ по комплексной уборке автомобильныхдорогобщего пользования регионального значения в Курортном районеСанкт-Петербурга;"САНКТ-ПЕТЕРБУРГСКОЕГОСУДАРСТВЕННОЕ УНИТАРНОЕ ДОРОЖНОЕ СПЕЦИАЛИЗИРОВАННОЕ ПРЕДПРИЯТИЕ ""КУРОРТНОЕ""";28.01.2021;10 107 499,15 ₽;;;;;;;;;;;;;;
№ 0172300004821000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172300004821000003;Подача заявок;Выполнение работ по благоустройству территории муниципального образования;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНЫЙ ОКРУГ ВЛАДИМИРСКИЙ ОКРУГ;27.01.2021;10 076 178,12 ₽;;;;;;;;;;;;;;
№ 0172300004821000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172300004821000002;Подача заявок;Выполнение работ по благоустройству территории муниципального образования;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНЫЙ ОКРУГ ВЛАДИМИРСКИЙ ОКРУГ;27.01.2021;12 735 484,97 ₽;;;;;;;;;;;;;;
№ 0336100012521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0336100012521000002;Подача заявок;Капитальный ремонт мостов через реку Мста на км 501+878 (левый, правый) автомобильнойдорогиМ-10 «Россия» Москва - Тверь - Великий Новгород -Санкт-Петербург, Новгородская область (Устройство локальных очистных сооружений);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ ОРДЕНА ЛЕНИНА ""МОСКВА-САНКТ-ПЕТЕРБУРГ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";27.01.2021;36 659 930,00 ₽;;;;;;;;;;;;;;
№ 0172300009621000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0172300009621000002;Подача заявок;"Выполнение работ по комплексному благоустройству внутриквартальной территории Внутригородского муниципального образованияСанкт-ПетербургаМуниципальный округ Большая Охта (включая  поставку элементов благоустройства); ремонту покрытий на внутриквартальных территориях";МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯСАНКТ-ПЕТЕРБУРГАМУНИЦИПАЛЬНЫЙ ОКРУГ БОЛЬШАЯ ОХТА;27.01.2021;32 983 011,69 ₽;;;;;;;;;;;;;;
№ 32109930195;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109930195;Подача заявок;Запрос котировок в электронной форме на право заключения Договора поставки канцелярских и хозяйственных принадлежностей для нужд обособленных подразделений ООО «Автодор – ПлатныеДороги» в  г.Санкт – Петербург(участниками которого могут являться только субъекты малого и среднего предпринимательства);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ПЛАТНЫЕДОРОГИ""";27.01.2021;1 591 937,49 ₽;;;;;;;;;;;;;;
