Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0311100007221000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000014;Подача заявок;Осуществление строительного контроля за объектом: Капитальный ремонт автомобильнойдорогиР-178Саранск- Сурское - Ульяновск на участке км 219+060- км 220+776, Ульяновская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.02.2021;7 304 120,00 ₽;;;;;;;;;;;;;;
№ 0309300012321000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309300012321000006;Определение поставщика отменено;Ямочный ремонт в г.о.Саранск;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГАСАРАНСК""ДИРЕКЦИЯ КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА""";20.02.2021;10 218 866,00 ₽;;;;;;;;;;;;;;
№ 0309200000221000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000017;Подача заявок;"Капитальный ремонт объекта: Автомобильнаядорогаа/д ""Подъезд к г.Саранскуот а/д ""Урал"" - с. Богдановка - д.Ожга 2-я на участке км 0+000 - км 5+500 в Старошайговском муниципальном районе Республики Мордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИ МОРДОВИЯ""";20.02.2021;56 100 125,00 ₽;;;;;;;;;;;;;;
№ 0860400000321000014;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0860400000321000014;Подача заявок;Выполнение работ по объекту: «Капитальный ремонт автомобильнойдорогиР-158 Нижний Новгород – Арзамас –Саранск– Исса – Пенза – Саратов на участке км 574+800 – км 583+000, Саратовская область»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ-ВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНЫХ АВТОМОБИЛЬНЫХДОРОГФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";18.02.2021;443 766 539,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000013;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000013;Подача заявок;Капитальный ремонт автомобильнойдорогиР-178Саранск- Сурское - Ульяновск на участке км 219+060- км 220+776, Ульяновская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";17.02.2021;250 309 420,00 ₽;;;;;;;;;;;;;;
№ 0355100004521000009;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0355100004521000009;Подача заявок;Устройство защитных слоев на автомобильнойдорогеР-158 Нижний Новгород - Арзамас -Саранск- Исса - Пенза - Саратов на участке км 474+830 - км 490+000, Пензенская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""БОЛЬШАЯ ВОЛГА"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";12.02.2021;135 009 832,00 ₽;;;;;;;;;;;;;;
№ 0309300032121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309300032121000001;Определение поставщика завершено;Выполнение работ по объекту капитального строительства: «Комплексная застройка многоэтажными жилыми домами на участке между ул. Волгоградская и автомобильнойдорогойна с. Кочкурово (в районе реки Тавла) г.Саранска.Проект застройки четвертого микрорайона. Детский сад»;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГАСАРАНСК""ГОРОДСКАЯ СЛУЖБА ЗАКАЗЧИКА ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ""";11.02.2021;225 804 306,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309300032121000001;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА САРАНСК ""ГОРОДСКАЯ СЛУЖБА ЗАКАЗЧИКА ПО КАПИТАЛЬНОМУ СТРОИТЕЛЬСТВУ""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТСТРОЙ""";;225 804 306,00;;;;;;
№ 0309300012321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309300012321000004;Определение поставщика завершено;Малоэтажное жилищное строительство в р.п. Николаевка (к западу от существующей застройки) городского округаСаранск.Автомобильныедороги.2 этап.;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГАСАРАНСК""ДИРЕКЦИЯ КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА""";11.02.2021;139 064 855,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0309300012321000004;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА САРАНСК ""ДИРЕКЦИЯ КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА""";;По результатам рассмотрения вторых частей заявок принято решение о соответствии указанным требованиям только одной второй части заявки на участие в нем (ч.13 ст.69 Закона № 44-ФЗ).;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАПО-ТРАНС""";;124 463 045,12;;;;;;
№ 0348100006021000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100006021000004;Подача заявок;Устройство слоев износа на автомобильнойдорогеР-158 Нижний Новгород –Арзамас –Саранск– Исса – Пенза – Саратов на участке км 303+800 – км 321+300, РеспубликаМордовия;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";04.02.2021;155 157 716,00 ₽;;;;;;;;;;;;;;
№ 0135300004521000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0135300004521000005;Работа комиссии;Капитальный ремонтдорогипо ул. Новая в п.СаранскоеПолесского городского округа Калининградской области;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОЛЕССКИЙ ГОРОДСКОЙ ОКРУГ""";02.02.2021;6 392 154,00 ₽;;;;;;;;;;;;;;
