Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32110031601;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110031601;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 761/ОАЭ-ЦДИ/21 на право заключения договора выполнения работ по капитальному ремонту нежилого здания,расположенного по адресу: ул. Орджоникидзе Г.К., 63, г.Саратов,Саратовскаяобласть;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";26.02.2021;25 688 541,60 ₽;;;;;;;;;;;;;;
№ 0160300001721000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300001721000011;Подача заявок;Выполнение работ по летнему содержанию автомобильныхдорогобщего пользования местного значения Калининского муниципального районаСаратовскойобласти(Дорогиавтомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходныедороги, не включенные в другие группировки);АДМИНИСТРАЦИЯ КАЛИНИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;25.02.2021;7 000 000,00 ₽;;;;;;;;;;;;;;
№ 0160300052621000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300052621000018;Подача заявок;Ремонт асфальтобетонного покрытия автомобильныхдорогобщего пользования местного значения, тротуарных (пешеходных) дорожек на территории муниципального образования город МарксСаратовскойобласти (для субъектов малого предпринимательства, социально ориентированных некоммерческих организаций).;АДМИНИСТРАЦИЯ МАРКСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;25.02.2021;2 872 855,00 ₽;;;;;;;;;;;;;;
№ 0160300052621000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300052621000017;Подача заявок;Ремонт автомобильныхдорогобщего пользования местного значения, улиц, тротуарных (пешеходных) дорожек на территории муниципального образования город МарксСаратовскойобласти  (для субъектов малого предпринимательства, социально ориентированных некоммерческих организаций);АДМИНИСТРАЦИЯ МАРКСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;25.02.2021;2 901 087,00 ₽;;;;;;;;;;;;;;
№ 0160300052621000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300052621000016;Подача заявок;Ремонт автомобильныхдорогмуниципального образования город МарксСаратовскойобласти (для субъектов малого предпринимательства, социально ориентированных некоммерческих организаций).;АДМИНИСТРАЦИЯ МАРКСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНАСАРАТОВСКОЙОБЛАСТИ;25.02.2021;1 073 230,00 ₽;;;;;;;;;;;;;;
№ 0129200005321000224;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0129200005321000224;Подача заявок;"Ремонт автомобильныхдорог: ""Калининск(Саратовскаяобласть)-Жирновск-Котово-Камышин"" (в границах территории Волгоградской области) (водопропускные трубы км 125+143, км 126+648, км 127+382 в Котовском муниципальном районе Волгоградской области (санация); ""Калининск(Саратовскаяобласть)-Жирновск-Котово-Камышин"" (в границах территории Волгоградской области) (водопропускные трубы км 155+787, км 157+797, км 159+437 в Камышинском муниципальном районе Волгоградской области (санация)";КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ;25.02.2021;34 459 460,00 ₽;;;;;;;;;;;;;;
№ 0160300003621000044;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300003621000044;Подача заявок;осуществление строительного контроля за ходом выполнения работ по ремонту автомобильныхдорогобщего пользования, расположенных на территории муниципального образования город Энгельс Энгельсского муниципального районаСаратовскойобласти;АДМИНИСТРАЦИЯ ЭНГЕЛЬССКОГО МУНИЦИПАЛЬНОГО РАЙОНА;24.02.2021;1 555 000,00 ₽;;;;;;;;;;;;;;
№ 0160300003621000042;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300003621000042;Подача заявок;...  в отношении автомобильныхдорогобщего пользования местного значенияСаратовскойагломерации в границах ...  проекта «Безопасные и качественные автомобильныедороги» (региональный проект в целях ...  по ремонту автомобильнойдорогиобщего пользования, расположенной на участке:Саратовскаяобласть, Энгельсский ...;АДМИНИСТРАЦИЯ ЭНГЕЛЬССКОГО МУНИЦИПАЛЬНОГО РАЙОНА;24.02.2021;40 926 294,00 ₽;;;;;;;;;;;;;;
№ 0360200054021000020;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0360200054021000020;Подача заявок;Выполнение проектно-изыскательских работ по капитальному ремонту автомобильнойдороги«Автоподъезд к г.Саратовуот автомобильнойдороги«Р-228 «Сызрань –Саратов– Волгоград». Устройство стационарного освещения на участке км 2+150 – км 6+330 вСаратовскомрайонеСаратовскойобласти.;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСАРАТОВСКОЙОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";20.02.2021;3 195 828,06 ₽;;;;;;;;;;;;;;
№ 0360200054021000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0360200054021000019;Подача заявок;"Содержание автомобильныхдорогобщего пользования регионального и межмуниципального значения и искусственных сооружений на них, находящихся в государственной собственностиСаратовскойобласти. Планово-предупредительные работы на мосту через овраг Грязнуха на км 2+645 автоподъезда к с. Новая Ивановка - с. Симоновка от автомобильнойдороги""Р-22 ""Каспий"" автомобильнаядорогаМ4 ""Дон"" - Тамбов - Волгоград - Астрахань, подъезд к г.Саратов"" в Калининском районе.";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕСАРАТОВСКОЙОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";20.02.2021;3 735 253,20 ₽;;;;;;;;;;;;;;
