Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0163300024721000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300024721000005;Подача заявок;Электронный аукцион на право заключения муниципального контракта на благоустройство Сквера боевой Славы г. ЕльниСмоленскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЕЛЬНИНСКИЙ РАЙОН""СМОЛЕНСКОЙОБЛАСТИ";10.02.2021;2 880 853,00 ₽;;;;;;;;;;;;;;
№ 0127200000221000374;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127200000221000374;Подача заявок;"Выполнение подрядных работ по объекту: ""Капитальный ремонт автомобильнойдороги""Брянск -Смоленск"" - Жирятино на участках  км 5+174 - км 10+009, км 14+123 - км 19+955 в Брянском и Жирятинском районах Брянской области""";УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;09.02.2021;128 529 144,98 ₽;;;;;;;;;;;;;;
№ 0163200000321000332;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000321000332;Подача заявок;-(0178-аэф/т) Поставка светофоров и комплектующих к ним;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;09.02.2021;1 441 777,50 ₽;;;;;;;;;;;;;;
№ 0163200000321000330;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000321000330;Подача заявок;-(0179-аэф/т) Поставка остановочных павильонов;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;09.02.2021;536 589,70 ₽;;;;;;;;;;;;;;
№ 0163200000321000329;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000321000329;Подача заявок;-(0265-аэф/т) Поставка горюче-смазочных материалов для нужд СОГБУ «Смоленскавтодор»;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;09.02.2021;77 850 000,00 ₽;;;;;;;;;;;;;;
№ 0163200000321000328;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000321000328;Подача заявок;-(0268-аэф/т) Поставка металлопроката;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;09.02.2021;1 183 598,00 ₽;;;;;;;;;;;;;;
№ 0163200000321000327;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000321000327;Подача заявок;"-(0191-аэф/т) Поставка автомобильных масел, смазок, охлаждающих жидкостей для филиалов СОГБУ ""Смоленскавтодор""";ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;09.02.2021;9 964 494,20 ₽;;;;;;;;;;;;;;
№ 0163200000321000326;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163200000321000326;Подача заявок;-(0271-аэф/т) Поставка металлопроката;ГЛАВНОЕ УПРАВЛЕНИЕСМОЛЕНСКОЙОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;09.02.2021;2 639 813,26 ₽;;;;;;;;;;;;;;
№ 0163300013121000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0163300013121000005;Подача заявок;Выполнение работ, связанных с осуществлением регулярных перевозок пассажиров и багажа автомобильным транспортом по регулируемым тарифам;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ДОРОГОБУЖСКИЙРАЙОН""СМОЛЕНСКОЙОБЛАСТИ";09.02.2021;2 306 573,54 ₽;;;;;;;;;;;;;;
№ 0163300002521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0163300002521000002;Подача заявок;Санитарная выпиловка аварийных деревьев;АДМИНИСТРАЦИЯ ВЕРХНЕДНЕПРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯДОРОГОБУЖСКОГОРАЙОНАСМОЛЕНСКОЙОБЛАСТИ;09.02.2021;414 413,00 ₽;;;;;;;;;;;;;;
