Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0121600018621000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600018621000005;Подача заявок;Ремонт тротуара по ул.Ленина (от дома №146) в селе Новомихайловское Красногвардейского округаСтавропольскогокрая;АДМИНИСТРАЦИЯ КРАСНОГВАРДЕЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;10.02.2021;2 238 804,00 ₽;;;;;;;;;;;;;;
№ 0121600003821000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600003821000020;Подача заявок;на выполнение работ по исправлению профиля оснований гравийных с добавлением нового материала по ул. Красный Пахарь ст. Григорополисской Новоалександровского районаСтавропольскогокрая;АДМИНИСТРАЦИЯ НОВОАЛЕКСАНДРОВСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;10.02.2021;249 967,20 ₽;;;;;;;;;;;;;;
№ 0121600003821000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600003821000019;Подача заявок;на выполнение работ по исправлению профиля оснований гравийных с добавлением нового материала по ул. Форштадской ст. Григорополисской Новоалександровского районаСтавропольскогокрая;АДМИНИСТРАЦИЯ НОВОАЛЕКСАНДРОВСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;10.02.2021;599 977,20 ₽;;;;;;;;;;;;;;
№ 0321500001821000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321500001821000015;Подача заявок;Поставка соли технической для содержания автомобильныхдорог;"ШПАКОВСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГОУЧРЕЖДЕНИЯСТАВРОПОЛЬСКОГОКРАЯ ""СТАВАВТОДОР"" (ШПАКОВСКИЙ ФИЛИАЛ ГБУ СК ""СТАВАВТОДОР"")";09.02.2021;1 738 260,00 ₽;;;;;;;;;;;;;;
№ 0121600023621000008;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000008;Подача заявок;...  подрядных работ по ремонту автомобильныхдорогобщего пользования местного значения: переулок ...  муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;5 600 171,00 ₽;;;;;;;;;;;;;;
№ 0121600023621000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000007;Подача заявок;выполнение подрядных работ по ремонту автомобильныхдорогобщего пользования местного значения по ул. Садовая и ул. Дзержинского села Прасковея, являющихся собственностью Буденновского муниципального округа, для обеспечения муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;10 070 458,80 ₽;;;;;;;;;;;;;;
№ 0121600023621000006;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000006;Подача заявок;выполнение подрядных работ по ремонту автомобильныхдорогобщего пользования местного значения в с. Новая Жизнь (ул. Комсомольская (от ул. Шоссейной до дома №35), ул. Кировская (от ул. Буденного до жилого дома №36 кв.2), ул. Новая, ул. Южная, ул. Центральная (от ул. Новой до жилого дома №46) (ул. Комсомольская от ул. Шоссейной до дома №35), являющихся собственностью Буденновского муниципального округа, для обеспечения муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;2 767 941,30 ₽;;;;;;;;;;;;;;
№ 0121600023621000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000005;Подача заявок;выполнение подрядных работ по ремонту автомобильнойдорогиобщего пользования местного значения по ул. Юбилейная п. Доброжеланный, являющейся собственностью Буденновского муниципального округа, для обеспечения муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;1 666 774,00 ₽;;;;;;;;;;;;;;
№ 0121600023621000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000004;Подача заявок;выполнение подрядных работ по ремонту автомобильнойдорогиобщего пользования местного значения по ул. Восточная в п.Виноградный, являющейся собственностью Буденновского муниципального округа, для обеспечения муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;1 628 820,00 ₽;;;;;;;;;;;;;;
№ 0121600023621000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000003;Подача заявок;выполнение подрядных работ по ремонту автомобильнойдорогиобщего пользования местного значения по ул. Пушкинской (в границах  проспекта Калинина -  улицы  Школьная) в г. Буденновске, являющейся собственностью Буденновского муниципального округа, для обеспечения муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;46 285 408,67 ₽;;;;;;;;;;;;;;
№ 0121600021921000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600021921000014;Подача заявок;Содержание автомобильныхдорогобщего пользования местного значения Курского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ КУРСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;6 707 093,00 ₽;;;;;;;;;;;;;;
№ 0121600023621000002;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600023621000002;Подача заявок;выполнение подрядных работ по ремонту автомобильнойдорогиобщего пользования местного значения, являющейся собственностью Буденновского муниципального округа, «Прасковея-Катасон» с км 10+275 по км 13+620 для обеспечения муниципальных нужд Буденновского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ БУДЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;13 359 223,00 ₽;;;;;;;;;;;;;;
№ 0121600021921000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600021921000013;Подача заявок;Работы по нанесению горизонтальной дорожной разметки краской на автомобильныхдорогахобщего пользования местного значения Курского муниципального округаСтавропольскогокрая;АДМИНИСТРАЦИЯ КУРСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;2 907 547,00 ₽;;;;;;;;;;;;;;
№ 0121300043821000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300043821000017;Подача заявок;"выполнение работ по разработке проектно-сметной документации по объекту ""Реконструкция внутрипоселковой автомобильнойдорогипо ул.Революции ст.Незлобная Георгиевского городского округаСтавропольскогокрая (от ул.Ленина до ул.Жукова)""";УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГЕОРГИЕВСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;1 200 000,00 ₽;;;;;;;;;;;;;;
№ 0121300043821000016;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300043821000016;Подача заявок;Выполнение работ по благоустройству тротуаров ул. Калинина от ул. Ленинградской в городе Георгиевске Георгиевского городского округаСтавропольскогокрая, в рамках реализации проектов развития территорий муниципальных образований, основанных на местных инициативах в 2021 году.;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГЕОРГИЕВСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;09.02.2021;4 495 278,98 ₽;;;;;;;;;;;;;;
