Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0121300045721000015;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121300045721000015;Подача заявок;Выполнение работ по ремонтудорогв населенных пунктах Минераловодского городского округаСтавропольскогокрая в целях реализации проектов развития территорий муниципальных образований, основанных на местных инициативах;АДМИНИСТРАЦИЯ МИНЕРАЛОВОДСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;03.02.2021;3 595 573,00 ₽;;;;;;;;;;;;;;
№ 0121600005621000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600005621000014;Подача заявок;Обустройство остановочных павильонов по улице 60 лет Октября, улице Садовая, улице Бассейная, улице Правды в городе Светлограде Петровского городского округаСтавропольскогокрая;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;03.02.2021;3 651 000,00 ₽;;;;;;;;;;;;;;
№ 0321500001821000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321500001821000007;Подача заявок;Поставка материалов для нанесения дорожной разметки для содержания автомобильныхдорог;"ШПАКОВСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГОУЧРЕЖДЕНИЯСТАВРОПОЛЬСКОГОКРАЯ ""СТАВАВТОДОР"" (ШПАКОВСКИЙ ФИЛИАЛ ГБУ СК ""СТАВАВТОДОР"")";03.02.2021;1 782 900,00 ₽;;;;;;;;;;;;;;
№ 0121600018321000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600018321000014;Подача заявок;оказание услугпо строительному контролю при выполнении работ по содержанию автомобильныхдорогобщего пользования местного значения и сооружений на них в АндроповскомрайонеСтавропольскогокрая;АДМИНИСТРАЦИЯ АНДРОПОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;03.02.2021;126 502,08 ₽;;;;;;;;;;;;;;
№ 0121600018721000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0121600018721000003;Подача заявок;ремонт и зимнее содержание автомобильныхдорогобщего пользования муниципального значения,  находящихся в собственности Труновского муниципального округа;АДМИНИСТРАЦИЯ ТРУНОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;03.02.2021;2 755 907,00 ₽;;;;;;;;;;;;;;
№ 0121600018121000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600018121000006;Подача заявок;Выполнение работ по содержанию автомобильныхдорогКочубеевского территориального отдела администрации Кочубеевского муниципального округаСтавропольскогокрая в 2021 году;АДМИНИСТРАЦИЯ КОЧУБЕЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;02.02.2021;3 152 561,00 ₽;;;;;;;;;;;;;;
№ 0321500001821000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321500001821000005;Подача заявок;Поставка масок дорожных знаков для содержания автомобильныхдорог;"ШПАКОВСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГОУЧРЕЖДЕНИЯСТАВРОПОЛЬСКОГОКРАЯ ""СТАВАВТОДОР"" (ШПАКОВСКИЙ ФИЛИАЛ ГБУ СК ""СТАВАВТОДОР"")";02.02.2021;200 000,00 ₽;;;;;;;;;;;;;;
№ 0321500001821000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321500001821000004;Подача заявок;Поставка запчастей на сушильную установку Teltomat (для содержания автомобильныхдорог);"ШПАКОВСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГОУЧРЕЖДЕНИЯСТАВРОПОЛЬСКОГОКРАЯ ""СТАВАВТОДОР"" (ШПАКОВСКИЙ ФИЛИАЛ ГБУ СК ""СТАВАВТОДОР"")";02.02.2021;930 236,01 ₽;;;;;;;;;;;;;;
№ 0121600019221000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0121600019221000003;Подача заявок;Выполнение работ по содержанию автомобильныхдорогобщего пользования муниципального значения Степновского муниципального округаСтавропольскогокрая и сооружений на них;АДМИНИСТРАЦИЯ СТЕПНОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ;02.02.2021;1 440 364,00 ₽;;;;;;;;;;;;;;
№ 0321300206621000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0321300206621000001;Подача заявок;Устройство тротуара по ул. Кирова от дома №4 до дома №34 в с. Нины Советского городского округаСтавропольскогокрая;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО КОМПЛЕКСНОМУ ОБСЛУЖИВАНИЮ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ СОВЕТСКОГО ГОРОДСКОГО ОКРУГАСТАВРОПОЛЬСКОГОКРАЯ""";01.02.2021;546 001,00 ₽;;;;;;;;;;;;;;
