Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0164200003021000559;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000559;Подача заявок;Поставка технических средств организации движения;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;26.02.2021;4 495 000,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000467;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000467;Подача заявок;выполнение проектно-изыскательских работ, обустройство и содержание наружного освещения участков автомобильнойдороги «Тамбов-Пенза»-Бондари-Пичаево-Вернадовка» км 78+134- км 79+040 (с.Вернадовка), Пичаевский район;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;25.02.2021;7 815 360,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000466;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000466;Подача заявок;выполнение проектно-изыскательских работ, обустройство и содержание наружного освещения участка автомобильнойдороги «Тамбов-Шацк»-Сосновка-Староюрьево-Первомайский км 66+136 - км 67+795, км 72+665 - км 73+364, км 84+874 - км 85+935, км 88+952 - км 90+299, км 97+456 - км 100+417, (р.п. Староюрьево, с.Новиково, с.Новосеславино, с.Никольское, р.п. Первомайский), Староюрьевский, Первомайский районы;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;25.02.2021;60 246 730,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000465;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000465;Подача заявок;выполнение проектно-изыскательских работ, обустройство и содержание  наружного освещения участка автомобильнойдороги «Тамбов-Пенза»-«Калаис»-Шиновка-Кирсанов км 14+136- км 15+956 (г.Кирсанов), Кирсановский район;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;25.02.2021;16 487 905,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000464;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000464;Подача заявок;Выполнение работ по содержанию автомобильных (муниципальных)дорогобщего пользования Мичуринского районаТамбовскойобласти протяженностью 111,83 км;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;25.02.2021;7 190 690,69 ₽;;;;;;;;;;;;;;
№ 0164200003021000463;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000463;Подача заявок;Выполнение работ по содержанию автомобильных (муниципальных)дорогобщего пользования Мичуринского районаТамбовскойобласти протяженностью 67,75 км;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;25.02.2021;4 356 256,26 ₽;;;;;;;;;;;;;;
№ 0164300030621000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164300030621000002;Подача заявок;Выполнение кадастровых работ по подготовке документов для постановки на кадастровый учет автомобильныхдорог, находящихся в муниципальной собственности Сампурского района,Тамбовскойобласти и земельных участков под ними;АДМИНИСТРАЦИЯ САМПУРСКОГО РАЙОНАТАМБОВСКОЙОБЛАСТИ;25.02.2021;486 711,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000021;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000021;Подача заявок;Проведение строительного контроля при осуществлении капитального ремонта объекта: «Капитальный ремонт автомобильнойдорогиР-208Тамбов- Пенза северный обход г.Тамбована участке км 0+000 - км 9+500,Тамбовскаяобласть. 2 этап - путепровод через железнуюдорогу(Мичуринск - Уральский -Тамбов- 1 на км 4+304)»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.02.2021;4 165 131,00 ₽;;;;;;;;;;;;;;
№ 0364100001821000020;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0364100001821000020;Подача заявок;Капитальный ремонт автомобильнойдорогиР-208Тамбов- Пенза северный обход г.Тамбована участке км 0+000 - км 9+500,Тамбовскаяобласть. 2 этап - путепровод через железнуюдорогу(Мичуринск - Уральский -Тамбов- 1 на км 4+304);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ВОЛГОГРАД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";24.02.2021;128 983 147,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000409;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0164200003021000409;Подача заявок;"оказание услуг по осуществлению строительного контроля над выполнением работ по капитальному ремонту автомобильнойдороги ""Тамбов-Котовск""-Покрово-Пригородное (через КПД) км 0+000 - км 5+430,Тамбовскийрайон";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;20.02.2021;5 446 620,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000408;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0164200003021000408;Подача заявок;"Оказание услуг по строительному контролю по объекту ""Строительствоавтодороги ""Тамбов- Пенза""- подъезд к детскому саду в с. Платоновка Рассказовского районаТамбовскойобласти";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;20.02.2021;2 058 770,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000407;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0164200003021000407;Подача заявок;"Строительствоавтодороги ""Тамбов- Пенза""- подъезд к детскому саду в с. Платоновка Рассказовского районаТамбовскойобласти";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;20.02.2021;67 703 773,00 ₽;;;;;;;;;;;;;;
№ 0164200003021000405;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0164200003021000405;Подача заявок;выполнение работ по нанесению горизонтальной дорожной разметки на автомобильныхдорогахрегионального (межмуниципального) значенияТамбовскойобласти в 2021 году;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗАТАМБОВСКОЙОБЛАСТИ;20.02.2021;47 994 339,80 ₽;;;;;;;;;;;;;;
№ 0360200054021000019;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0360200054021000019;Подача заявок;"Содержание автомобильныхдорогобщего пользования регионального и межмуниципального значения и искусственных сооружений на них, находящихся в государственной собственности Саратовской области. Планово-предупредительные работы на мосту через овраг Грязнуха на км 2+645 автоподъезда к с. Новая Ивановка - с. Симоновка от автомобильнойдороги""Р-22 ""Каспий"" автомобильнаядорогаМ4 ""Дон"" -Тамбов- Волгоград - Астрахань, подъезд к г. Саратов"" в Калининском районе.";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА""";20.02.2021;3 735 253,20 ₽;;;;;;;;;;;;;;
