Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0111300006421000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0111300006421000003;Подача заявок;Мероприятия по обеспечению безопасности дорожного движения в пгт. Рыбная Слобода на 2021 год;ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ РЫБНО-СЛОБОДСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИТАТАРСТАН;10.02.2021;354 351,07 ₽;;;;;;;;;;;;;;
№ 0111300006321000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0111300006321000002;Подача заявок;Ямочный ремонтдорогв пгт Уруссу Ютазинского муниципального района РеспубликиТатарстанв 2021г.;ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ ЮТАЗИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИТАТАРСТАН;10.02.2021;1 727 791,20 ₽;;;;;;;;;;;;;;
№ 0111300092221000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0111300092221000004;Подача заявок;"право заключения муниципального контракта на выполнение работ: «Содержание объектов улично-дорожной сети и освещения в п.г.т.Джалиль Сармановского муниципального района РеспубликиТатарстанв течение 2021г""";ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ САРМАНОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИТАТАРСТАН;10.02.2021;251 714,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000034;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0311200024921000034;Подача заявок;Выполнение работ  по капитальному ремонтуавтодорогобщего пользования РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";09.02.2021;324 943 690,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000033;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0311200024921000033;Подача заявок;Выполнение работ по объекту: Капитальный ремонт ул. Рауиса Гареева от Оренбургского проезда до д.90 Приволжского района г. Казани РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";09.02.2021;150 000 000,00 ₽;;;;;;;;;;;;;;
№ 0111300067821000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0111300067821000006;Подача заявок;Выполнение работ по нанесению разметки дорожно-уличной сети в городе Заинске для нужд Исполнительного комитета города Заинска Заинского муниципального района РеспубликиТатарстан;ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ ЗАИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИТАТАРСТАН;09.02.2021;1 500 000,00 ₽;;;;;;;;;;;;;;
№ 0111300067821000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0111300067821000005;Подача заявок;Выполнение работ по ямочному ремонту в городе Заинске на 2021г. для нужд Исполнительного комитета города Заинска Заинского муниципального района РеспубликиТатарстан;ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ ЗАИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИТАТАРСТАН;09.02.2021;1 500 000,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000032;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311200024921000032;Подача заявок;Выполнение работ по объекту: Вознесенский тракт. Строительство участка от ул.Гвардейской до проспекта Победы в Советском районе г.Казани РеспубликиТатарстан(1 очередь);"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";09.02.2021;1 393 347 730,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000007;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000007;Подача заявок;"Осуществление строительного контроля за объектом: Расходы на мероприятия по повышению уровня обустройства автомобильныхдорогфедерального значения. Устройство стационарного электрического освещения на автомобильнойдорогеМ-7 ""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа на участках км 788+300 - км 794+650, км 796+600 - км 801+900, км 802+100 - км 806+400, км 809+300 - км 813+800, км 817+100 - км 826+930, РеспубликаТатарстан";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;12 666 140,00 ₽;;;;;;;;;;;;;;
№ 0311200024921000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0311200024921000031;Определение поставщика завершено;На выполнение работ по ремонтуавтодорогобщего пользования РеспубликиТатарстан;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСАТАТАРСТАНАПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИТАТАРСТАН""";02.02.2021;151 400 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0311200024921000031;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СОДЕРЖАНИЯ И РАЗВИТИЯ ДОРОЖНО-ТРАНСПОРТНОГО КОМПЛЕКСА ТАТАРСТАНА ПРИ МИНИСТЕРСТВЕ ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА РЕСПУБЛИКИ ТАТАРСТАН""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГАДОРСТРОЙ""";;151 400 000,00;;;;;;
