Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32109978464;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109978464;Подача заявок;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 146/ЗКТЭ-ЦДЗС/21 на право заключения договора поставки пластин и сверлтвердосплавных;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";10.02.2021;1 006 004,16 ₽;;;;;;;;;;;;;;
№ 0160300053821000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0160300053821000001;Подача заявок;Выполнение работ по обустройствутвердогопокрытия дорожек дворовой территории домов по ул. Газовиков в с. Елшанка;АДМИНИСТРАЦИЯ ЕЛШАНСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ВОСКРЕСЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;09.02.2021;1 611 530,00 ₽;;;;;;;;;;;;;;
№ 0136100011821000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136100011821000005;Подача заявок;Оказание услуг по подготовке и созданию цикла информационно-пропагандистских радиопрограмм, направленных на информирование участников дорожного движения о дорожно-транспортной ситуации надорогах Тверскойобласти, для последующего размещения на региональной радиостанции;УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПОТВЕРСКОЙОБЛАСТИ;09.02.2021;400 000,00 ₽;;;;;;;;;;;;;;
№ 0146300005121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0146300005121000001;Подача заявок;Ремонт автомобильныхдорогствердымпокрытием Хлевенского района Липецкой области:Воробьевский сельсовет с.Воробьевка ул. Советская, Елецко-Лозовский сельсовет с. Елецкая Лозовка ул. Ходоковская, Фомино-Негачевский сельсовет с. Фомино-Негачевка ул. Центральная;АДМИНИСТРАЦИЯ ХЛЕВЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;12 121 676,41 ₽;;;;;;;;;;;;;;
№ 0136300001021000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300001021000004;Подача заявок;Выполнение работ по содержанию автомобильныхдорогсельских населенных пунктов Краснохолмского муниципального округаТверскойобласти;АДМИНИСТРАЦИЯ КРАСНОХОЛМСКОГО МУНИЦИПАЛЬНОГО ОКРУГАТВЕРСКОЙОБЛАСТИ;09.02.2021;1 798 143,88 ₽;;;;;;;;;;;;;;
№ 32109970383;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109970383;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 256/ОАЭ-ТЭ/21 на право заключения договора оказания услуг по разработке проектов санитарно-защитной зоны с определением размеров санитарно-защитной зоны для структурных подразделений Южно-Уральской дирекции по энергообеспечению и сопровождение вутверждениипроектов в территориальном Управлении Роспотребнадзора;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";08.02.2021;1 555 200,00 ₽;;;;;;;;;;;;;;
№ 0136300012421000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300012421000001;Подача заявок;Благоустройство тротуара по ул. Ленина, расположенной по адресу:Тверскаяобласть, пгт. Оленино, ул. Ленина.;АДМИНИСТРАЦИЯ ОЛЕНИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГАТВЕРСКОЙОБЛАСТИ;08.02.2021;1 602 451,00 ₽;;;;;;;;;;;;;;
№ 0136300000721000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300000721000008;Подача заявок;Выполнение работ по ремонту дворовых территорий многоквартирных домов, проездов к дворовым территориям многоквартирных домов населенных пунктов;АДМИНИСТРАЦИЯ КОНАКОВСКОГО РАЙОНАТВЕРСКОЙОБЛАСТИ;08.02.2021;6 530 891,00 ₽;;;;;;;;;;;;;;
№ 0816300016821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0816300016821000002;Подача заявок;"Содержаниеавтодорогиобщего пользования местного значения ствердымпокрытием Зырянка-Верхнеколымск МР ""Верхнеколымский район""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ"" МУНИЦИПАЛЬНОГО РАЙОНА ""ВЕРХНЕКОЛЫМСКИЙ УЛУС (РАЙОН)""";07.02.2021;886 867,00 ₽;;;;;;;;;;;;;;
№ 32109965798;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109965798;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 245/ОАЭ-ОКТ/21 на право заключения договора оказания услуг по техническому обслуживанию бытового, технологического и холодильного оборудования;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";05.02.2021;;;;;;;;;;;;;;;
№ 32109965135;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109965135;Подача заявок;Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 243/ОАЭ-ОКТ/21 на право заключения договора поставки продуктов питания;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";05.02.2021;;;;;;;;;;;;;;;
№ 0136300015121000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300015121000006;Подача заявок;Ремонт тротуара по ул. Советская (от ул. Советская д. 85 до пер. Свободный) в г. ТоропцеТверскойобласти;АДМИНИСТРАЦИЯ ТОРОПЕЦКОГО РАЙОНА;04.02.2021;4 348 276,00 ₽;;;;;;;;;;;;;;
№ 0136300015121000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300015121000005;Подача заявок;Выполнение работ по ремонту дворовых территорий многоквартирных домов, проездов к дворовым территориям многоквартирных домов по улице Советская домов №125 - г, д в городе ТоропцеТверскойобласти;АДМИНИСТРАЦИЯ ТОРОПЕЦКОГО РАЙОНА;04.02.2021;2 652 900,00 ₽;;;;;;;;;;;;;;
№ 0136300000721000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300000721000006;Подача заявок;Выполнение работ по ремонту дворовых территорий многоквартирных домов, проездов к дворовым территориям многоквартирных домов населенных пунктов;АДМИНИСТРАЦИЯ КОНАКОВСКОГО РАЙОНАТВЕРСКОЙОБЛАСТИ;04.02.2021;2 508 494,00 ₽;;;;;;;;;;;;;;
№ 0136300018821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300018821000002;Подача заявок;Выполнение работ по содержанию автомобильныхдорогместного значения Пеновского муниципального округа;АДМИНИСТРАЦИЯ ПЕНОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГАТВЕРСКОЙОБЛАСТИ;04.02.2021;3 044 450,68 ₽;;;;;;;;;;;;;;
№ 0136300027521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0136300027521000002;Подача заявок;Проведение мероприятий в целях обеспечения безопасности дорожного движения на автомобильныхдорогахобщего пользования местного значения городского поселения поселок Спирово Спировского района (замена барьерного ограждения по ул. Речная) 2 этап;АДМИНИСТРАЦИЯ СПИРОВСКОГО РАЙОНАТВЕРСКОЙОБЛАСТИ;04.02.2021;999 116,47 ₽;;;;;;;;;;;;;;
№ 0373200014221000099;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0373200014221000099;Подача заявок;Поставка мыла;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";04.02.2021;518 000,00 ₽;;;;;;;;;;;;;;
