Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 32109958549;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109958549;Подача заявок;"Право заключения договора на выполнение строительных (строительно-монтажных, монтажных, пусконаладочных работ) по объекту филиала ПАО «Россети Кубань» Юго-Западные электрические сети в местах пересечения с объектами ""РЖД"": «Переустройство ВЛ 6 кВ ПР - 9 (инв.№000015301) в пролетах опор №22-№25 в рамкахтитула: «Реконструкция Крымского узла Северо-Кавказской железнойдороги1 этап»";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ КУБАНЬ""";04.02.2021;12 924 069,73 ₽;;;;;;;;;;;;;;
№ 0330100010521000008;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0330100010521000008;Подача заявок;"Оказание услуг по содержаниюавтомобильнойдорогиобщего пользования федерального значения Р-132""Золотое кольцо"" Ярославль - Кострома - Иваново - Владимир - ГусьХрустальный - Рязань - Михайлов -Тула- Калуга - Вязьма - Ржев - Тверь - Углич- Ярославль, Ярославская область (участок от границы Тверскойобласти - г. Ярославль)";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-АРХАНГЕЛЬСК ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";03.02.2021;23 926 732,00 ₽;;;;;;;;;;;;;;
№ 0167300012021000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300012021000003;Подача заявок;Техническое  обслуживание блочных станций подготовки питьевой воды ( сеть): д.Новоаптулана скважине по ул.Салавата Юлаева, д.51а, д. Юрминка на скважине  105 м от угла дома Школьная №30 в сторону  водонапорной башни, с. Малиновка рядом со скважиной по ул.Молодежная, д.3А, с.Русаково,50 м от пересечения ул. Молодежная иавтодорогис. Слободчики  напротив гаража по пер. Школьный , 6;АДМИНИСТРАЦИЯ АРОМАШЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;29.01.2021;499 261,00 ₽;;;;;;;;;;;;;;
№ 32109934671;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109934671;Закупка завершена;"Выполнение инженерно-геологических и инженерно- экологических изысканий по объектам:-  Устройство недостающего электроосвещения на автомобильнойдорогеХомяково - Архангельское (н.п. Хомяково, н.п. Архангельское) в МО г.Тула;- Устройство недостающего электроосвещения на автомобильнойдорогеАлексин - Егнышевка - Ламоново (н.п. Бунырево, н.п. Егнышевка) в МО г. Алексин Тульской области";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ  ТУЛЬСКОЙ ОБЛАСТИ  ""ПРОЕКТНАЯ КОНТОРА""";28.01.2021;956 729,53 ₽;;;;;;;;;;;;;;
№ 32109915633;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109915633;Работа комиссии;Запрос котировок среди субъектов малого и среднего предпринимательства в электронной форме № 8/ЗКТЭ-ДЖВ/21 на право заключения договора оказания услуг по вывозу и утилизации ртутных люминесцентных и ультрафиолетовых бактерицидных ламп на вокзалах Московской региональной дирекции железнодорожных вокзалов (вокзалы Белорусский, Казанский, Киевский, Павелецкий, Рижский, Савеловский, Ярославский, Брянск-Орловский, Калуга-1, Курск, Орел, Рязань-1,2, Смоленск,Тула).;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";22.01.2021;1 023 514,80 ₽;;;;;;;;;;;;;;
№ 0348100006020000065;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100006020000065;Определение поставщика завершено;"...  на сети автомобильныхдорогобщего пользования федерального значения:автомобильнаядорогаМ-7 ... +000 - км 32+239; автомобильнаядорогаМ-7 ""Волга"" Москва - Владимир ... +000 - км 20+660; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль ...  - Владимир - Гусь-Хрустальный - Рязань - Михайлов -Тула- Калуга - Вязьма - Ржев - Тверь - Углич ...  226+840, Владимирская область; автомобильнаядорогаР-132 ""Золотое кольцо"" Ярославль ...  - Владимир - Гусь-Хрустальный - Рязань - Михайлов -Тула- Калуга - Вязьма - Ржев - Тверь - Углич ...";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;51 739 634,32 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100006020000065;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТМОСТ""";;51 739 634,32;;;;;;
№ 0348100042420000141;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0348100042420000141;Определение поставщика завершено;...  сооружений на действующей сети автомобильныхдорогобщего пользования федерального значения. ...  на км 77+848 АвтомобильнаядорогаМ-5 «Урал» Москва - Рязань ...  118+453 АвтомобильнаядорогаР-22 «Каспий» автомобильнаядорогаМ-4 «Дон ...  (наддорогойпринадлежности) АвтомобильнаядорогаМ-2 «Крым» Москва -Тула- Орел ...;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.12.2020;133 092 548,04 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0348100042420000141;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""ЦЕНТРАЛЬНАЯ РОССИЯ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ЭКОЛОГИЧЕСКАЯ ЗАЩИТА""";;133 092 548,04;15.10.2022;27.01.2021;;141503, ОБЛ МОСКОВСКАЯ 50, Г СОЛНЕЧНОГОРСК, УЛ ИМ ТЕЛЬНОВА, ДОМ 1, КОМНАТА 13;5044027182;7-499-3503260zatschita@yandex.ru
№ 0177200000920004824;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0177200000920004824;Определение поставщика завершено;"Ремонт и содержание автомобильнойдороги ""Тулой-Бийка"" км 0+000 - км 15+000";МИНИСТЕРСТВО ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ АЛТАЙ;25.12.2020;79 967 238,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0177200000920004824;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АЛТАЙ ""РЕСПУБЛИКАНСКОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ ""ГОРНО-АЛТАЙАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКИЙ КОНТИНЕНТ""";1 - Победитель;79 960 000,00;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАМБОВИНВЕСТСТРОЙ""";2 - Второй номер;79 967 238,00;;;;;;
№ 0366200035620007368;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0366200035620007368;Определение поставщика завершено;Выполнение работ по формированию современной городской среды на 2018-2024 годы по адресу: г.Тула, общественное пространство на ул. Кирова, д.10 и ул. Епифанская, д.125 в рамках реализации национального проекта «Жилье и городская среда»;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";24.12.2020;9 749 798,82 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0366200035620007368;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКАЯ СЛУЖБА ЕДИНОГО ЗАКАЗЧИКА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕСГРУПП""";1 - Победитель;9 164 810,90;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРТСТРОЙ""";2 - Второй номер;9 213 559,89;25.12.2021;04.02.2021;;Российская Федерация, 127018, Г МОСКВА, УЛ СТРЕЛЕЦКАЯ, ДОМ 8, ПОМЕЩЕНИЕ 1;7717287293;+796-874-20002aam64@list.ru
№ 0177200000920004796;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0177200000920004796;Определение поставщика завершено;"Ремонт (устройство временного) мостового перехода через р. Чуйка на км 34+747 автомобильнойдороги ""Тулой-Бийка""";МИНИСТЕРСТВО ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ АЛТАЙ;23.12.2020;27 771 580,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0177200000920004796;"КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ АЛТАЙ ""РЕСПУБЛИКАНСКОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ ""ГОРНО-АЛТАЙАВТОДОР""";;По окончании срока подачи заявок подана только одна заявка, заявка соответствует требованиям. Конкурс в электронной форме признан несостоявшимся (ч. 16 ст. 54.4 Закона № 44-ФЗ);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС""";;27 771 580,00;;;;;;
