Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0366200035621000123;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0366200035621000123;Подача заявок;Выполнение работ по ремонту автомобильнойдорогив д. Лепяги Ефремовского районаТульскойобласти;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕТУЛЬСКОЙОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";02.02.2021;2 399 604,49 ₽;;;;;;;;;;;;;;
№ 32109942961;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109942961;Подача заявок;"Открытый аукцион среди субъектов малого и среднего предпринимательства в электронной форме № 181/ОАЭ-ДКСС/21 на право заключения договора выполнения комплекса строительно-монтажных работ, включая поставку оборудования по объекту: ""«Система диспетчерского контроля и диагностики АПК-ДК (СТДМ) участка Ожерелье (искл.) - Павелец-Тульский» Московской дирекции инфраструктуры"".";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕДОРОГИ""";29.01.2021;278 114 580,00 ₽;;;;;;;;;;;;;;
№ 32109934671;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109934671;Закупка завершена;"Выполнение инженерно-геологических и инженерно- экологических изысканий по объектам:-  Устройство недостающего электроосвещения на автомобильнойдорогеХомяково - Архангельское (н.п. Хомяково, н.п. Архангельское) в МО г. Тула;- Устройство недостающего электроосвещения на автомобильнойдорогеАлексин - Егнышевка - Ламоново (н.п. Бунырево, н.п. Егнышевка) в МО г. АлексинТульскойобласти";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕТУЛЬСКОЙОБЛАСТИ  ""ПРОЕКТНАЯ КОНТОРА""";28.01.2021;956 729,53 ₽;;;;;;;;;;;;;;
№ 32109898049;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109898049;Закупка завершена;Проведение государственной экспертизы проектной документации и результатов инженерных изысканий для объекта: «Реконструкция автомобильнойдороги«Лапотково-Ефремов» - Большое Минино на участке км 0+000 – км 14+000 (подъезд к Фельдшерско-акушерскому пункту д. Крюковка 1) в Тепло-Огаревском районеТульскойобласти (2 этап)»;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕТУЛЬСКОЙОБЛАСТИ  ""ПРОЕКТНАЯ КОНТОРА""";18.01.2021;766 023,21 ₽;;;;;;;;;;;;;;
№ 32109887965;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109887965;Закупка завершена;Выполнение инженерно-гидрометеорологических изысканий по объекту:Капитальный ремонт автомобильнойдороги«Чернь-Медведки» - деревня Красивка» в Чернском районеТульскойобласти;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕТУЛЬСКОЙОБЛАСТИ  ""ПРОЕКТНАЯ КОНТОРА""";13.01.2021;165 284,00 ₽;;;;;;;;;;;;;;
№ 0354100008420000115;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0354100008420000115;Определение поставщика завершено;Оказание услуг по содержанию систем видеоконтроля (камер фото-видеофиксации нарушений правил дорожного движения) на автомобильныхдорогахобщего пользования федерального значения вТульскойобласти;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";31.12.2020;28 328 763,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0354100008420000115;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА-ХАРЬКОВ ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";;Принято решение о признании только одного участника закупки, подавшего заявку на участие в электронном аукционе, его участником. По результатам рассмотрения заявки единственного участника, данная заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. (п. 3 ч.2 ст. 71);;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР""";;28 328 763,00;31.01.2022;02.02.2021;;302525, ОБЛ ОРЛОВСКАЯ 57, С/П ПЛАТОНОВСКОЕ, УЛ РАЗДОЛЬНАЯ, ДОМ 111;5720022409;7-4862-781782vector-r57@yandex.ru
№ 32009870885;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009870885;Работа комиссии;"Конкурс в электронной форме на право заключения Договора на оказание услуг по охране Пунктов взимания платы, с находящимися на них зданиями, строениями и сооружениями Заказчика, расположенными по адресам: Московская область, г. Домодедово, 51 км автомагистрали М-4 «Дон»; Московская область, г. Домодедово, 62 км автомагистрали М-4 «Дон»; Московская область, г. Домодедово, 71 км автомагистрали М-4 «Дон»;Тульскаяобласть, Веневский р-н, 133 км автомагистрали М-4 «Дон»; Московская область, г. Солнечногорск, деревня Бухарово, 2 км ЦКАД";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОДОР-ПЛАТНЫЕДОРОГИ""";30.12.2020;38 880 000,00 ₽;;;;;;;;;;;;;;
№ 32009867876;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009867876;Закупка завершена;"Выполнение строительных работ по объекту: «Временнаядорога.ОЭЗ ППТ ""Узловая"". III этап»";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТУЛЬСКАЯРЕГИОНАЛЬНАЯ КОРПОРАЦИЯ РАЗВИТИЯ ГОСУДАРСТВЕННО-ЧАСТНОГО ПАРТНЕРСТВА""";30.12.2020;6 991 003,00 ₽;;;;;;;;;;;;;;
№ 0366200035620007284;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0366200035620007284;Определение поставщика завершено;Оказание услуг по обслуживанию и ремонту технических средств регулирования дорожного движения на региональныхдорогахвТульскойобласти в 2021 году;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕТУЛЬСКОЙОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";18.12.2020;1 350 000,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0366200035620007284;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ТУЛААВТОДОР""";;В течение десяти минут после начала проведения электронного аукциона ни один из его участников не подал предложение о цене контракта (ч.20 ст.68 44-ФЗ). По результатам рассмотрения вторых частей заявок принято решение о соответствии требованиям, установленным документацией об электронном аукционе, двух и более вторых частей заявок.;;Дронов И. В.;1 - Победитель;223 592,93;31.01.2022;29.01.2021;;300041, г. Тула, ул. Клары Цеткин 3, кв. 298;Да;792-076-5225710million@bk.ru
№ 32009815856;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32009815856;Закупка завершена;"...  объектам:Капитальный ремонт участка автомобильнойдорогиIII технической категории Чекалин-Суворов ...  в Суворовском районеТульскойобласти;  Капитальный ремонт участка автомобильнойдорогиIII технической ...  г. ТулаТульскойобласти; Капитальный ремонт участка автомобильнойдорогиIV технической ...  в МО г. АлексинТульскойобласти";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕТУЛЬСКОЙОБЛАСТИ  ""ПРОЕКТНАЯ КОНТОРА""";17.12.2020;377 649,00 ₽;;;;;;;;;;;;;;
