Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0362100008221000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0362100008221000002;Подача заявок;Устройство слоев износа автомобильнойдорогиР-351 Екатеринбург-Тюменьна участке км 2+994- км 7+378, км 8+843 - км 11+803, км 15+800 - км 23+117 (обход пгт. Белоярский), Свердловская область;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГ""УРАЛ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";10.02.2021;126 230 738,00 ₽;;;;;;;;;;;;;;
№ 0167200003421000260;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167200003421000260;Подача заявок;Оказание услуг по обслуживанию и ремонту GPS/ГЛОНАСС;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОКТЮМЕНСКОЙОБЛАСТИ;10.02.2021;150 000,00 ₽;;;;;;;;;;;;;;
№ 0167300028821000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300028821000003;Подача заявок;Содержание автозимников (автомобильныхдорог)в Тобольском районе;АДМИНИСТРАЦИЯ ТОБОЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНАТЮМЕНСКОЙОБЛАСТИ;09.02.2021;7 981 375,00 ₽;;;;;;;;;;;;;;
№ 0167300008321000035;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300008321000035;Подача заявок;№36-21-АЭМП Выполнение работ по ремонту покрытия проезжей части улицы Крупской (от ул.Тюменскаядо ул.Тобольская) в городе Ишиме;МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ ГОРОДА ИШИМА;09.02.2021;6 337 394,00 ₽;;;;;;;;;;;;;;
№ 0167200003421000245;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0167200003421000245;Подача заявок;Оказание услуг по техническому обслуживанию систем видеонаблюдения и систем контроля доступа;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОКТЮМЕНСКОЙОБЛАСТИ;09.02.2021;90 900,00 ₽;;;;;;;;;;;;;;
№ 0167300005521000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300005521000002;Подача заявок;Выполнение работ содержанию  муниципальных автомобильныхдорог;АДМИНИСТРАЦИЯ КАМЕНСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯТЮМЕНСКОГОРАЙОНАТЮМЕНСКОЙОБЛАСТИ;09.02.2021;1 066 946,88 ₽;;;;;;;;;;;;;;
№ 32109963970;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109963970;Закупка завершена;"Выполнение работ по строительству путепроводов на ПК 99+15 и ПК 38+94 на объекте: ""Строительство и реконструкция участков автомобильнойдорогиР-402Тюмень- Ялуторовск - Ишим - Омск. Реконструкция автомобильнойдорогиР-402Тюмень- Ялуторовск - Ишим - Омск, участок км 28+730 - км 39+000,Тюменскаяобласть (р.п. Винзили - п. Богандинский)"".";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЮМЕНСКОЕОБЛАСТНОЕ ДОРОЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ""";05.02.2021;323 959 727,00 ₽;;;;;;;;;;;;;;
№ 0167300000521000036;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300000521000036;Подача заявок;АЭ-0028/21 Поставка  дорожных светофоров и комплектующих к ним;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""МУНИЦИПАЛЬНЫЕ ЗАКУПКИ ГОРОДАТЮМЕНИ""";05.02.2021;1 637 792,70 ₽;;;;;;;;;;;;;;
№ 0187300019421000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0187300019421000013;Подача заявок;"Выполнение работ по ремонту асфальтобетонного покрытияавтодорогпо ул. Центральная от ул. Н. Самардакова до а/д «Тюмень-Нефтеюганск"" (включая перекресток ул. Центральная- Н. Самардакова, заездных карманов, примыкания проездов),  ул. Кедровая от ул. Советской общей протяженностью 52м. в г. Пыть-Ях.";АДМИНИСТРАЦИЯ ГОРОДА ПЫТЬ-ЯХА ИСПОЛНИТЕЛЬНО-РАСПОРЯДИТЕЛЬНЫЙ ОРГАН МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;04.02.2021;14 399 779,72 ₽;;;;;;;;;;;;;;
№ 32109957243;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109957243;Закупка завершена;Эксплуатация железнодорожного пути необщего пользования Акционерного общества «Тюменскоеобластное дорожно–эксплуатационное предприятие» при станции Омутинская Свердловской железнойдороги.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЮМЕНСКОЕОБЛАСТНОЕ ДОРОЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ""";04.02.2021;17 780 000,00 ₽;;;;;;;;;;;;;;
№ 0167300024121000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300024121000008;Подача заявок;Устройство тротуара от ул. Весенняя до ОСОШ №1 с. Омутинское;АДМИНИСТРАЦИЯ ОМУТИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАТЮМЕНСКОЙОБЛАСТИ;03.02.2021;10 924 372,00 ₽;;;;;;;;;;;;;;
№ 0167300024121000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300024121000007;Подача заявок;Ремонт автомобильнойдорогиул. Молодежная с. Шабаново;АДМИНИСТРАЦИЯ ОМУТИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАТЮМЕНСКОЙОБЛАСТИ;03.02.2021;5 904 253,20 ₽;;;;;;;;;;;;;;
№ 0167200003421000148;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0167200003421000148;Подача заявок;Выполнение комплекса кадастровых работ по объекту недвижимости (сооружение): автомобильнаядорога«Равнец-Кошкарагай», протяженностью 10 400 м.(Тюменскаяобласть, Ишимский район);УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОКТЮМЕНСКОЙОБЛАСТИ;03.02.2021;64 995,84 ₽;;;;;;;;;;;;;;
№ 0167200003421000119;https://zakupki.gov.ru//epz/order/notice/zk504/view/common-info.html?regNumber=0167200003421000119;Подача заявок;Проведение кадастровых работ, связанных с изготовлением актов обследований, подтверждающих прекращение существования сооружений (автомобильныхдорог): «Окунево-Крутоберегое» (Бердюжский район), протяженностью 7,900 км., «Подъезд к д. Черпия» (Уватский район), протяженностью 8,400 км.;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОКТЮМЕНСКОЙОБЛАСТИ;02.02.2021;44 988,00 ₽;;;;;;;;;;;;;;
№ 0127300013121000031;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0127300013121000031;Работа комиссии;Капитальный ремонтавтодорогипо ул.Тюменской(от ул. Островского до границы г. Брянска) в Бежицком районе г. Брянска;БРЯНСКАЯ ГОРОДСКАЯ АДМИНИСТРАЦИЯ;01.02.2021;2 202 460,00 ₽;;;;;;;;;;;;;;
№ 0167300024121000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0167300024121000006;Подача заявок;Ремонт участкадорогиул. Шоссейная с. Омутинское;АДМИНИСТРАЦИЯ ОМУТИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАТЮМЕНСКОЙОБЛАСТИ;01.02.2021;4 361 788,80 ₽;;;;;;;;;;;;;;
