Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0168500000621000097;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000097;Подача заявок;"Ремонт водопропускной трубы в с. Беловодье автомобильнойдороги""Карсун - Ростислаевка"" на км 25+025 в Карсунском районеУльяновскойобласти.";АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;04.02.2021;5 334 379,00 ₽;;;;;;;;;;;;;;
№ 0168300013021000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168300013021000017;Подача заявок;Выполнение работ по ремонту асфальтобетонного покрытия автомобильныхдорогобщего пользования местного значения в городе ДимитровградеУльяновскойобласти;УПРАВЛЕНИЕ ФИНАНСОВ И МУНИЦИПАЛЬНЫХ ЗАКУПОК ГОРОДА ДИМИТРОВГРАДАУЛЬЯНОВСКОЙОБЛАСТИ;03.02.2021;1 499 914,80 ₽;;;;;;;;;;;;;;
№ 0168500000621000072;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000072;Подача заявок;Обновление информационных баз программ семейства «Консультант Плюс»;АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;02.02.2021;939 716,40 ₽;;;;;;;;;;;;;;
№ 0311100007221000005;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000005;Подача заявок;"Осуществление строительного контроля за объектом: Капитальный ремонт автомобильнойдорогиМ-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, Подъезд к г.Ульяновсккм 280+000 - км 285+000 вУльяновскойобласти";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;10 730 440,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000004;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000004;Подача заявок;"Осуществление строительного контроля за объектом: Капитальный ремонт автомобильнойдорогиМ-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, Подъезд к г.Ульяновсккм 274+500 - км 280+000 вУльяновскойобласти";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";02.02.2021;10 402 850,00 ₽;;;;;;;;;;;;;;
№ 0348100006021000003;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0348100006021000003;Подача заявок;Выполнение проектно-изыскательских работ по объекту: «Ремонт моста через реку Аморда на км25+913 автомобильнойдорогиР-178 Саранск -Сурское -Ульяновск, Республика Мордовия»;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНОЙ МАГИСТРАЛИ МОСКВА - НИЖНИЙ НОВГОРОД ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";29.01.2021;1 950 000,00 ₽;;;;;;;;;;;;;;
№ 32109936481;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109936481;Подача заявок;Конкурс в электронной форме на право заключения Договора на выполнение комплекса работ по проектированию и строительству объекта: М-12 «Строящаяся скоростная автомобильнаядорогаМосква - Нижний Новгород – Казань», 7.3 этап от северной границы села Большие Кайбицы до пересечения с автомобильнойдорогойфедерального значения Р-241 «Казань – БуинскУльяновск»(с привлечением к исполнению договора субподрядчиков (соисполнителей) из числа субъектов малого и среднего предпринимательства);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АВТОДОР""";28.01.2021;24 850 931 253,20 ₽;;;;;;;;;;;;;;
№ 32109936465;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109936465;Подача заявок;Конкурс в электронной форме на право заключения Договора на выполнение комплекса работ по проектированию и строительству объекта: М-12 «Строящаяся скоростная автомобильнаядорогаМосква - Нижний Новгород – Казань», 7.1 этап от пересечения с автомобильнойдорогойфедерального значения А-151 «Цивильск –Ульяновск» до окончания восточной границы малоподберезьенского леса (с привлечением к исполнению договора субподрядчиков (соисполнителей) из числа субъектов малого и среднего предпринимательства);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""АВТОДОР""";28.01.2021;10 894 739 485,20 ₽;;;;;;;;;;;;;;
№ 0168500000621000039;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000039;Подача заявок;Ремонт автомобильнойдорогиобщего пользования регионального значения Инза – Оськино – граница области Инзенского районаУльяновскойобласти;АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;28.01.2021;75 118 520,00 ₽;;;;;;;;;;;;;;
№ 32109932585;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109932585;Закупка завершена;Услуги механизированной уборкидорог;"УЛЬЯНОВСКОЕМУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОГО ХОЗЯЙСТВА ""УЛЬЯНОВСКВОДОКАНАЛ""";28.01.2021;499 000,00 ₽;;;;;;;;;;;;;;
№ 0168500000621000035;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000035;Подача заявок;Ремонт асфальтобетонного покрытия на территориишколы МБОУ «Зерносовхозская средняя школа им. М.Н.Костина» п. НовоселкиМелекесского районаУльяновскойобласти;АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;27.01.2021;4 991 712,00 ₽;;;;;;;;;;;;;;
№ 0168300000821000002;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168300000821000002;Работа комиссии;Ремонт дорожного покрытия на участках поселковых автомобильныхдорогв с. Рязаново Мелекесского районаУльяновскойобласти;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МЕЛЕКЕССКИЙ РАЙОН""УЛЬЯНОВСКОЙОБЛАСТИ";26.01.2021;617 947,09 ₽;;;;;;;;;;;;;;
№ 0309200000221000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000003;Работа комиссии;"Ремонт объекта: Автомобильнаядорога""г. Саранск - с. Сурское - г.Ульяновск"" - р. п. Комсомольский на участке км 2+317 - км 3+800 в Чамзинском муниципальном районе Республики Мордовия";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГРЕСПУБЛИКИ МОРДОВИЯ""";26.01.2021;25 474 100,00 ₽;;;;;;;;;;;;;;
№ 0168500000621000020;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000020;Работа комиссии;Ремонт тротуара по ул. Гагарина в с.Новоселки Мелекесского районаУльяновскойобласти;АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;22.01.2021;2 471 903,00 ₽;;;;;;;;;;;;;;
№ 0815600000121000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0815600000121000003;Определение поставщика завершено;"Зимнее содержание автомобильнойдорогиобщего пользования местного значения ""Соловьевский-Сара (границаУльяновскойобласти)"" Алатырского района Чувашской Республики";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИНАНСОВОГО И ХОЗЯЙСТВЕННОГО ОБЕСПЕЧЕНИЯ"" АЛАТЫРСКОГО РАЙОНА ЧУВАШСКОЙ РЕСПУБЛИКИ";22.01.2021;75 216,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0815600000121000003;АДМИНИСТРАЦИЯ АЛАТЫРСКОГО РАЙОНА;;По окончании срока подачи заявок подана только одна заявка. Такая заявка признана соответствующей требованиям Федерального закона № 44-ФЗ и документации об аукционе. Электронный аукцион признан несостоявшимся по основанию, предусмотренному ч. 1 ст. 71 Федерального закона № 44-ФЗ;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО АЛАТЫРСКОГО РАЙОНА""";;75 216,00;;;;;;
№ 0168500000621000018;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000018;Определение поставщика завершено;Ремонт автомобильныхдорогобщего пользования местного значения, находящихся на территории муниципального образования «Мулловское городское поселение» Мелекесского районаУльяновскойобласти;АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;21.01.2021;4 256 093,61 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0168500000621000018;"АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЛЛОВСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" МЕЛЕКЕССКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИТАН-СТРОЙ""";1 - Победитель;4 022 008,44;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙИНВЕСТ""";2 - Второй номер;4 043 288,91;;;;;;
№ 0168500000621000017;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0168500000621000017;Определение поставщика завершено;Ремонт велосипедной дорожки  по ул. Красноармейская в р.п. Мулловка Мелекесского районаУльяновскойобласти;АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОКУЛЬЯНОВСКОЙОБЛАСТИ;21.01.2021;4 040 329,00 ₽;https://zakupki.gov.ru/epz/order/notice/ea44/view/supplier-results.html?regNumber=0168500000621000017;"АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУЛЛОВСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" МЕЛЕКЕССКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТА""";1 - Победитель;3 252 464,65;Смирнова Е. А.;2 - Второй номер;3 272 666,30;;;;;;
